"I will be interviewed on @foxandfriends at 6:00 A.M. Enjoy!,02-28-2017 02:43:03"
"'Immigration Ban Is One Of Trump's Most Popular Orders So Far' https://t.co/wAelwuQ4BE,02-08-2017 19:39:51"
"Thank you Brian Krzanich CEO of @Intel. A great investment ($7 BILLION) in American INNOVATION and JOBS!… https://t.co/oicfDsPKHQ,02-08-2017 19:22:33"
"Big increase in traffic into our country from certain areas while our people are far more vulnerable as we wait for what should be EASY D!,02-08-2017 17:41:09"
"'16 Fake News Stories Reporters Have Run Since Trump Won' https://t.co/0dHld5kiVc,02-08-2017 15:54:01"
"My daughter Ivanka has been treated so unfairly by @Nordstrom. She is a great person -- always pushing me to do the right thing! Terrible!,02-08-2017 15:51:01"
"Thank you to our great Police Chiefs &amp; Sheriffs for your leadership &amp; service. You have a true friend in the… https://t.co/Lysnv8ZR1h,02-08-2017 15:23:29"
"I will be speaking at 9:00 A.M. today to Police Chiefs and Sheriffs and will be discussing the horrible dangerous and wrong decision.......,02-08-2017 13:04:47"
"If the U.S. does not win this case as it so obviously should we can never have the security and safety to which we are entitled. Politics!,02-08-2017 12:03:18"
"It is a disgrace that my full Cabinet is still not in place the longest such delay in the history of our country. Obstruction by Democrats!,02-08-2017 01:04:00"
"An honor having the National Sheriffs' Assoc. join me at the @WhiteHouse. Incredible men &amp; women who protect &amp; serv… https://t.co/1LkhbCNh8L,02-07-2017 16:25:13"
"I don't know Putin have no deals in Russia and the haters are going crazy - yet Obama can make a deal with Iran #1 in terror no problem!,02-07-2017 12:11:29"
"I don't know Putin have no deals in Russia and the haters are going crazy - yet Obama can make a deal with Iran #1in terror no problem!,02-07-2017 12:04:01"
"The threat from radical Islamic terrorism is very real just look at what is happening in Europe and the Middle-East. Courts must act fast!,02-07-2017 02:49:28"
"The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!,02-07-2017 02:33:55"
"An extended interview from the Super Bowl with @oreillyfactor airs tonight at 8:00 P.M. Enjoy! https://t.co/kZdHqaNTVR,02-06-2017 23:33:52"
"The failing @nytimes writes total fiction concerning me. They have gotten it wrong for two years and now are making up stories &amp; sources!,02-06-2017 16:32:24"
"Will be interviewed on @oreillyfactor tonight at 8:00 P.M.,02-06-2017 16:27:45"
"I call my own shots largely based on an accumulation of data and everyone knows it. Some FAKE NEWS media in order to marginalize lies!,02-06-2017 12:07:55"
"Any negative polls are fake news just like the CNN ABC NBC polls in the election. Sorry people want border security and extreme vetting.,02-06-2017 12:01:53"
"What an amazing comeback and win by the Patriots. Tom Brady Bob Kraft and Coach B are total winners. Wow!,02-06-2017 03:36:54"
"Enjoy the #SuperBowl and then we continue: MAKE AMERICA GREAT AGAIN!,02-05-2017 22:49:42"
"I will be interviewed by @oreillyfactor at 4:00 P.M. (prior to the #SuperBowl Pre-game Show) on Fox Network. Enjoy!,02-05-2017 20:47:25"
"I have instructed Homeland Security to check people coming into our country VERY CAREFULLY. The courts are making the job very difficult!,02-05-2017 20:42:33"
"Just cannot  believe a judge would put our country in such peril. If something happens blame him and court system. People pouring in. Bad!,02-05-2017 20:39:05"
"The judge opens up our country to potential terrorists and others that do not have our best interests at heart. Bad people are very happy!,02-05-2017 00:48:12"
"Interview with @oreillyfactor on Fox Network - 4:00 P.M. (prior to Super Bowl). Enjoy!,02-05-2017 00:34:50"
"Why aren't the lawyers looking at and using the Federal Court decision in Boston which is at conflict with ridiculous lift ban decision?,02-04-2017 23:37:59"
"Because the ban was lifted by a judge many very bad and dangerous people may be pouring into our country. A terrible decision,02-04-2017 21:44:49"
"What is our country coming to when a judge can halt a Homeland Security travel ban and anyone even with bad intentions can come into U.S.?,02-04-2017 20:44:07"
"MAKE AMERICA GREAT AGAIN!,02-04-2017 14:26:10"
"After being forced to apologize for its bad and inaccurate coverage of me after winning the election the FAKE NEWS @nytimes is still lost!,02-04-2017 13:39:27"
"The opinion of this so-called judge which essentially takes law-enforcement away from our country is ridiculous and will be overturned!,02-04-2017 13:12:02"
