date,TY_volume_chg,US_volume_chg,C_volume_chg,S_volume_chg,W_volume_chg,CD_volume_chg,EC_volume_chg,JY_volume_chg,MP_volume_chg,NQ_volume_chg,ES_volume_chg,GC_volume_chg,CL_volume_chg,TY_opening_down,TY_opening_unch,TY_opening_up,US_opening_down,US_opening_unch,US_opening_up,C_opening_down,C_opening_unch,C_opening_up,S_opening_down,S_opening_unch,S_opening_up,W_opening_down,W_opening_unch,W_opening_up,CD_opening_down,CD_opening_unch,CD_opening_up,EC_opening_down,EC_opening_unch,EC_opening_up,JY_opening_down,JY_opening_unch,JY_opening_up,MP_opening_down,MP_opening_unch,MP_opening_up,NQ_opening_down,NQ_opening_unch,NQ_opening_up,ES_opening_down,ES_opening_unch,ES_opening_up,GC_opening_down,GC_opening_unch,GC_opening_up,CL_opening_down,CL_opening_unch,CL_opening_up
2018-02-26,16.139607167049526,14.520889810318963,10.950561261046088,5.884770220487964,0.8779253846090166,-2.316175027797771,-4.642836139468439,-7.379402363567053,-3.7148994029203637,-6.971526977810358,-6.3567895600394175,1.2254573925612644,-1.8302024161195503,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
2018-02-27,3.202659085310517,-0.44527952916901903,5.390860670163234,-6.7783337855428005,-11.288300322054594,-1.5193962053930012,-3.778550905502667,-7.5289975636822435,1.7944488332398634,1.822047890170802,3.928550831216998,-3.3073524818158853,-8.294964153461326,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
2018-02-28,-3.5478692610590494,0.034498403945438745,14.484445168217402,0.5695822449498339,22.40563859072182,-0.017677502522443628,-0.45252749945802817,-1.584747257036516,-8.58568596623146,0.984297042293528,2.797804096702242,0.6425097363556442,11.650382227597877,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
2018-03-01,2.127777344907739,-1.8334655092440386,20.427652516056863,6.480494407871841,31.44767525224702,8.591969186745505,4.715995867929024,7.849894063742659,9.121539889417223,17.20235112082095,15.913986176253845,16.492458923402094,7.726527373710658,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
2018-03-02,-4.873795529197006,-6.157016075787354,15.242490065164507,6.990913876207154,17.63118612929154,3.695446882804269,4.273032074188738,16.07819987387118,4.710212110707116,10.979640316830718,10.61290126012599,6.724788330958161,5.042301516765935,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
2018-03-05,-12.831916965939506,-16.217885441464865,-1.978834067006922,-5.51927275767485,0.08736395138855706,5.246223192760887,2.9899591828947973,1.4096425385515348,1.5541089377625017,6.532767270399803,5.492119426076324,-1.5391151351558063,4.081660636544094,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
2018-03-06,-4.935174709245705,-1.438459091048709,-3.0961398384761396,0.06704808062105272,1.810122446591133,3.7026156091918248,-5.203873456751143,2.0258114549806736,-3.5530705079605736,-2.86227959133868,-2.611071818175681,-3.3658121721420082,1.9902295481315824,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
2018-03-07,-0.0943712238353988,-3.1489863621343135,-5.9074839835327095,5.611599368741842,-3.3350735938615075,6.749752115868119,-0.8590705127066379,2.503169418868241,4.1139501703828625,1.3575064652632587,0.3124524695060662,3.2717794396978195,3.0776168065578844,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
2018-03-08,-14.792717951924269,-12.138413539499425,-1.7374825066086175,2.554788013461505,-8.016628843809759,-4.984439823271221,7.794330028059587,-12.352490321059156,-2.97930492951898,-14.408238598368328,-13.063724080404521,-10.724580863068613,-3.005122792367561,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
2018-03-09,-6.786969405788239,-4.8840771883613465,0.5022342401506533,-7.036627644073756,-7.495730961705245,0.5363533211137359,2.678366616910288,-6.786362399734511,4.066505319024749,-17.369991741274376,-7.271633343865619,6.196557571831446,-10.011463283432025,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
