date,negative_proportion_min,negative_proportion_max,negative_proportion_mean,positive_proportion_min,positive_proportion_max,positive_proportion_mean,neutral_proportion_min,neutral_proportion_max,neutral_proportion_mean,combined_score_min,combined_score_max,combined_score_mean
2010-12-24,0.0,0.0,0.0,0.747,0.747,0.747,0.253,0.253,0.253,0.8347,0.8347,0.8347
2010-12-31,0.0,0.0,0.0,0.74,0.74,0.74,0.26,0.26,0.26,0.886,0.886,0.886
2011-01-13,0.141,0.149,0.145,0.0,0.0,0.0,0.851,0.859,0.855,-0.4215,-0.4215,-0.4215
2011-01-14,0.13,0.13,0.13,0.078,0.078,0.078,0.792,0.792,0.792,-0.281,-0.281,-0.281
2011-01-22,0.0,0.106,0.053,0.055,0.162,0.1085,0.838,0.839,0.8385,-0.3252,0.4767,0.07575000000000001
2011-01-28,0.0,0.196,0.098,0.0,0.0,0.0,0.804,1.0,0.902,-0.296,0.0,-0.148
2011-01-31,0.0,0.125,0.0625,0.0,0.065,0.0325,0.81,1.0,0.905,-0.3252,0.0,-0.1626
2011-02-07,0.1,0.1,0.1,0.186,0.186,0.186,0.714,0.714,0.714,0.34,0.34,0.34
2011-02-11,0.0,0.0,0.0,0.0,0.352,0.176,0.648,1.0,0.8240000000000001,0.0,0.9081,0.45405
2011-02-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-02-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-02-17,0.0,0.0,0.0,0.0,0.335,0.1675,0.665,1.0,0.8325,0.0,0.891,0.4455
2011-02-18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-02-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-02-23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-02-24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0,0.0,0.152,0.081,0.848,1.0,0.919,0.0,0.3612,0.14613333333333334
2011-03-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
