date,W_up_gamma_5,W_down_gamma_5,W_up_diff_5,W_down_diff_5
2016-11-28,15616.711531314744,2938.5764491457066,2895.8482545352435,740.4835045014465
2016-11-29,15895.066651187652,3281.286571025549,3400.9532752617924,730.2221193421933
2016-11-30,19005.77509890541,2591.865111399836,3771.0771623796754,648.189959130933
2016-12-01,18758.334713140368,2880.5074413854795,4102.31913297792,588.2350688047377
2016-12-02,19632.880650461255,2643.2812615244247,4523.254348592989,455.13101791581266
2016-12-05,19748.263030445174,4029.398521884156,3815.515987903762,622.7674047040696
2016-12-06,17480.109464415895,4237.652697982105,3037.9443400079563,703.934038016896
2016-12-07,17079.701526279034,4551.22297683969,3228.706778582906,1068.0091034821908
2016-12-08,17740.67011263314,4562.089242732783,4229.230503943905,745.6381938364211
2016-12-09,19433.82114858931,5184.595732762724,3637.5203140157882,1628.9715738992445
2016-12-12,16069.532938244309,8245.590111184394,2937.5808296535324,2711.459413534515
2016-12-13,15914.679780094893,7283.399805411001,3266.0926049124228,2125.8956079017034
2016-12-14,17016.286351477276,7278.709413366919,3725.106558226842,1982.4564094575344
2016-12-15,17054.66121478274,8520.0329348154,4048.4183892996407,2988.8841623540593
2016-12-16,24214.71352910767,7497.255648185028,4852.405896446067,1919.7904239582294
2016-12-19,25432.330279895075,7266.168687238069,5007.879411659429,1833.1606145063497
2016-12-20,25722.746341243663,5940.456289138461,5816.3282107321465,1713.3375804300613
2016-12-21,24648.30327266666,5776.950640694104,5789.541552668066,1418.330313364284
2016-12-22,28110.475729576654,3884.868268245946,6620.660512192771,857.4127445749141
2016-12-26,28202.44592503653,4763.434810334462,6153.246019884355,918.3383884585346
2016-12-27,19086.870183681174,4108.5155420025885,3874.888691166141,758.526136223883
2016-12-28,23416.827187867097,8348.52529689525,3927.3763966144616,2435.07621750188
2016-12-29,26389.448907646503,7074.029738422279,5221.683572919275,1615.206236551262
2017-01-02,24515.055292841243,8892.764321823859,5022.5269866682465,2125.6499036443183
2017-01-03,17977.59650534974,5804.501745455141,2913.687476137853,1404.9795013477788
2017-01-04,27509.873985722432,9551.520686660755,5702.578933350138,2452.885275432799
2017-01-05,22742.87637616958,15839.53825301915,4454.3189466490185,5631.558724600009
2017-01-06,19244.422560135605,19449.045280451974,3950.88728820713,6990.209638602988
2017-01-09,19914.986155107817,18598.39319647521,4130.530370885197,6744.544787933966
2017-01-10,18051.724334642702,19267.643763664382,3750.4869556467293,7568.015814131933
2017-01-11,19019.824519909725,19229.919539272072,4371.287407514996,7188.460021713072
2017-01-12,26014.227368502747,16485.01227834916,5618.445934414085,5545.773814162614
2017-01-16,22597.830258427075,18879.130688401896,5090.067869797866,8020.0934067707985
2017-01-17,14837.623933727806,13487.999024838266,3799.856425695385,4729.008612110414
2017-01-18,18017.668216948863,18995.724676163925,4510.284688887354,8955.183620918346
2017-01-19,18331.438733777843,19364.348545737754,5010.531589742914,8899.881949616512
2017-01-20,20376.299929471083,16628.289999824327,6248.778815250542,7388.771681567756
2017-01-23,17507.02069033192,14795.17934746941,4957.385866544249,7134.061345795391
2017-01-24,16974.815203343394,18799.366026082418,4662.422473912255,9241.984196420557
2017-01-25,17230.040945077806,16626.2025744217,5943.192987349086,7831.189355566414
2017-01-26,19420.78549735888,15880.405910659863,6726.028733513367,7558.745749241178
2017-01-27,14384.809482753864,15317.537891840719,3865.821780788192,6805.82256038008
2017-01-30,14649.486278397144,12822.260090944914,4652.326578260208,5986.076187580213
2017-01-31,19024.434369511808,12244.493507680816,6203.266080604,4973.709911885928
2017-02-01,16212.340978307438,15784.2419730232,5712.895761625974,5881.084205152805
2017-02-02,17387.699747800438,18498.175760946553,4835.692554765292,8531.656234566013
2017-02-03,16102.63561014521,17340.118331498295,4039.9395556521904,8581.20928644606
2017-02-06,15673.732044841216,13731.39577694237,4925.377337074799,7426.619699360537
2017-02-07,17745.378294361475,13051.94304346374,5965.667967624942,5710.383886715866
2017-02-08,15150.671609685904,12050.13650656832,4640.097868117651,6010.683270827182
2017-02-09,15708.920382569266,16543.92306028803,4671.391960553834,7198.321243987793
2017-02-10,15203.43395896085,19835.818834398353,4297.8092844197345,10522.73501752984
2017-02-13,14575.668207823013,19114.68739614198,3743.9082398362207,10420.036062801722
2017-02-14,14970.453234769324,18621.922151323644,3480.654951722392,10346.793344101452
2017-02-15,14527.842628016171,17073.690384005535,4225.155163803405,9519.492473461374
2017-02-16,14596.090197264995,17210.786125971994,4027.6812997977668,9781.877721778856
