date,S_up_gamma_5,S_down_gamma_5,S_up_diff_5,S_down_diff_5
2017-02-20,27586.54935347399,35749.441909322864,10761.690471164111,18754.491644215905
2017-02-21,26321.954658704595,28993.450466264738,11492.616530459138,13939.53674605825
2017-02-22,32152.103516896965,29235.88246741853,15766.002650881299,11227.202924244768
2017-02-23,32339.630381710016,26545.44083150279,14310.788001955963,10443.77766958967
2017-02-24,31724.60613878349,19996.648035573115,13927.66557712691,6948.334046167674
2017-02-28,24698.60448420525,20497.698109391917,8004.631430116708,6957.087136400962
2017-03-01,22712.019265065865,25729.75705187006,6688.841921247058,8534.9023294164
2017-03-02,19912.194610686016,30435.056210272553,5123.469014326074,11079.388556523769
2017-03-03,22635.904376152077,25648.159545273524,7169.403240607871,9416.8149024184
2017-03-06,23037.496765516335,27627.552092967915,7398.804875971538,10197.21382425836
2017-03-07,23816.04270593299,27774.89590340363,7949.1752228199475,10435.938477074968
2017-03-08,27285.999602678145,22283.505059345902,9458.674413064513,7919.519410653105
2017-03-09,30039.186305072875,24125.496081047422,10098.099425055349,8370.464250152918
2017-03-10,30189.936543637723,20872.432353333163,12260.828744855935,7522.370706614476
2017-03-13,28499.714441574368,19778.59652622479,11273.680839480421,6645.470570721434
2017-03-14,28095.541177756088,20173.8807538976,11583.62521362818,6889.365293950332
2017-03-15,29965.96464386588,16640.091786809622,13156.322269560911,6351.3068404094665
2017-03-16,29628.52556269744,16361.647446991274,13266.361699576757,6177.093490042831
2017-03-17,29483.48174433923,17637.377255493888,12151.080378976869,7305.831038117232
2017-03-20,29927.357815903186,18011.38622855537,12837.341624978668,7345.522772052724
2017-03-21,28137.724225198843,18945.18044676864,11089.730962103975,7577.452365085148
2017-03-22,27624.273543824096,18665.361578454023,11181.268193024964,7812.982672367474
2017-03-23,26179.153853334115,19378.194468396374,10501.575014916956,7807.281206731968
2017-03-24,25993.509628729294,17559.357452026255,9576.804854490318,6847.186248326561
2017-03-27,28104.45192415011,17963.595379818762,11182.918034248378,5408.831398541655
2017-03-28,26463.53015713039,14978.000350125161,11024.035760719866,5338.462980188187
2017-03-29,27434.17981320399,16524.822218397596,11017.638557201008,5789.8845899626085
2017-03-30,28877.429711555553,18141.391769408474,12047.25472733775,6103.768299218264
2017-03-31,31611.86419819082,15227.973292155826,13001.767762011194,5599.518201495865
2017-04-03,31161.393000304844,12141.49843450959,15321.052211969436,4291.117726295676
2017-04-04,29755.965524214822,11811.71597084121,15502.52626250804,4163.0639511566715
2017-04-05,28241.86933747397,12587.10357348739,15037.442437119675,4541.423391022898
2017-04-06,29565.05374175099,14826.262040644075,14542.638151488029,5338.923513210055
2017-04-07,28680.546609442117,12749.370462978035,15120.174332033825,5173.087377601977
2017-04-10,29184.03681427118,12844.764684923925,15042.8966225153,5216.07669109651
2017-04-11,29191.986311139506,13578.945033839791,15225.040790482872,5614.27314400281
2017-04-12,28547.379482746503,16191.12053463193,15648.442595342676,6907.8407912533585
2017-04-14,27540.70755244157,18239.539322517303,14588.633842676994,8458.481318564976
2017-04-17,26103.65370421329,22178.8524323165,12366.014165449706,9537.321287796567
2017-04-19,27586.71118244953,21357.5239459813,13179.067693724926,9206.337694330296
2017-04-20,26283.026543363674,21478.576912237873,12546.963731375388,9706.598976007861
2017-04-21,20842.61828804879,17881.794146559394,7776.8740794330915,7116.078640552565
2017-04-24,30177.039013759077,25534.45048463365,8430.510383116918,9542.90057450754
2017-04-25,30956.623611128623,30260.06394871908,7405.801853728048,11475.775884596951
2017-04-27,32931.85221802987,25331.37629155034,9087.977711504605,8604.137893683332
