date,C_up_gamma_5,C_down_gamma_5,C_up_diff_5,C_down_diff_5
2016-11-11,51277.11082075169,51178.65897716053,23016.977842088894,22411.72170776191
2016-11-14,58401.97404027545,52597.3749265146,23780.980803404425,20922.534934994692
2016-11-15,56303.7956971434,39456.67318571333,27538.060054426598,21110.797690141917
2016-11-16,50464.97252478304,47689.28107257597,19935.657348221917,22511.863029864926
2016-11-17,60997.91995093174,47853.151987630765,28862.174028805035,26673.214047222664
2016-11-18,52107.99780561592,62043.41642464079,23996.298526014336,31518.522152092974
2016-11-21,47425.94537764077,61895.231553174744,21940.68874656315,34305.32894373802
2016-11-22,46953.19604315239,74804.48632595278,21182.261012832223,39845.849885291034
2016-11-24,42011.78627186106,74644.00884763621,16439.755496422666,34420.83211462417
2016-11-25,26887.418920729815,45166.529021014765,8865.77846040692,18073.34729989405
2016-11-28,30901.66445991102,37591.124459326355,6451.433846557422,13731.124484990378
2016-11-29,32834.37584125381,46176.39602767339,7702.416643897261,19909.886271913732
2016-11-30,40955.76823221257,29504.15767741207,10802.321824186336,7475.757041358815
2016-12-01,43130.922819994405,22476.531784286875,12007.587968493808,7443.798010671204
2016-12-02,42450.3271333531,28254.137124321744,12939.362278746841,10413.326675599208
2016-12-05,43979.3699105557,32489.019498049034,12208.813358861324,13392.839504035303
2016-12-06,35051.55534434155,58615.87304703229,7131.426436088041,20106.87992213537
2016-12-07,34360.1869438945,55504.11966718341,6633.093927257312,20432.643895208654
2016-12-08,36621.4749510603,44578.51199088886,7822.873144505815,18150.68763142981
2016-12-09,39475.486064962584,40526.657915808704,10521.900379382201,16426.77081416258
2016-12-12,33856.85591839876,55937.20983802347,7474.322064548811,21823.002012654542
2016-12-13,32217.841282416135,47605.87459921041,7187.717562455662,15591.096696166936
2016-12-14,30991.281557808557,47720.159216045984,8451.000352730469,15896.130001874008
2016-12-15,30227.349390614123,51089.77982712272,8106.769908047059,21110.104388773525
2016-12-16,46628.03453968103,36286.51621799312,13676.644180601354,11044.284493455736
2016-12-19,45114.45833002488,35532.694082638314,12977.147591175999,10428.493618014763
2016-12-20,48380.046668455994,30944.639286568676,15937.291804661287,8401.986539969726
2016-12-21,53685.49436399901,32890.92016736404,16969.371532384444,10504.522319531858
2016-12-22,53307.921726586974,25898.349237179536,16992.754693183553,8206.223837282654
2016-12-26,51296.39109306554,23212.913463575605,15111.945271784141,6883.007444020708
2016-12-27,35541.01721680664,20718.16690322723,8065.25217942115,5954.201710203974
2016-12-28,40388.395798924874,35593.68831492034,9643.34842239441,10484.456818734012
2016-12-29,51579.83441728094,25445.023108423225,13217.618321524053,8307.62988570079
2017-01-02,47231.51152686993,36159.024408694146,10649.019366569453,8998.968447652154
2017-01-03,31502.175836006445,29305.37805799589,7612.225346856361,8306.861374999546
2017-01-04,38666.85794508624,38750.44786964386,9662.237264661457,13503.5246682842
2017-01-05,36334.25511726657,58277.33422440691,8710.272556519336,16013.689084896614
2017-01-06,32016.22528601288,57259.91635110835,8753.233579756867,16254.010940669454
2017-01-09,38138.12071853425,46344.263255305304,9935.182116396438,14600.098477363746
2017-01-10,36222.53939759931,59495.50043542863,8659.439875122582,16562.551559029387
2017-01-11,40256.01244773287,46165.49480121244,11112.468481967604,15039.399219029448
2017-01-12,41316.81194184894,48654.42745332851,12981.378397629582,15556.859656009154
2017-01-16,36666.18227773801,47461.99676250877,9893.560104467928,18156.179373455092
2017-01-17,29306.265697235132,39052.53227021707,7642.757590742709,13199.489423555093
2017-01-18,33243.40027096378,62809.34405762369,10846.784776981178,24690.718421620317
2017-01-19,34189.01617296719,59585.02285874648,11720.280294751468,23496.59132122947
2017-01-20,33036.2708126933,57143.5298741686,10911.879310853183,21979.429150504933
2017-01-23,33950.521350799674,64080.44651648099,9203.28489027392,24865.676978398304
2017-01-24,34474.71719055663,65418.69106068337,10555.135912536269,26019.75680938807
2017-01-25,37289.14666487439,53189.92271161879,11794.459490841651,18846.73955606916
2017-01-26,30023.832762853162,55934.564307224755,9991.634402683023,22771.20093394388
2017-01-27,34398.03419497788,50449.77331454726,11011.309870874087,19828.99570326898
2017-01-30,35908.26783804004,53391.27477172793,12367.580646689745,19584.51036969132
2017-01-31,43283.330623507005,38885.80852280454,16850.46542303906,14084.535039073486
2017-02-01,43210.739018648,51866.958639131,15564.043046130791,16497.221508202405
2017-02-02,33401.199442780715,61640.270868373336,10921.332084089718,27366.605137506507
2017-02-03,34350.20104028758,59637.295500487824,11906.109209841012,26083.254424300823
2017-02-06,38324.20464110227,56048.03769917226,12726.291231538908,21501.386825307287
2017-02-07,37925.9437262323,47780.80870429635,14699.824244232863,18129.25470742108
2017-02-08,34180.48269642948,54886.38777811108,11543.368715006083,24660.00939461423
2017-02-09,36190.30186658744,65765.24891777539,10244.814560601357,28706.56390949269
2017-02-10,38225.852900794365,65843.20629269515,11898.720432238602,26730.460215748826
2017-02-13,29859.193634280735,73808.90542089725,8182.8178437944225,33261.145510760274
2017-02-14,24668.861354749406,70178.51980353595,4316.059790070132,36109.172441954375
2017-02-15,24494.244359135875,69772.20422384098,5352.96778407642,36989.30554631774
2017-02-16,27900.18616636052,64545.129680671955,9056.415322128185,29170.917135464522
2017-02-20,36313.4242643931,64801.846214141944,10863.550600377941,26914.701147793086
2017-02-21,38374.417852453036,63576.588718714804,13453.00068771687,28518.53659678789
2017-02-22,40822.70363107644,67071.46646145133,10839.924544614067,29678.4022014508
2017-02-23,35628.68310684153,78783.01120367047,8385.34298605963,33967.263879812024
2017-02-24,49604.010793398455,63653.4641911847,13370.205157206066,25643.39841394835
2017-02-28,47894.441729282946,39527.0554148038,10920.35629395835,9069.042648191084
2017-03-01,43895.318094211485,49317.16747512391,8407.166564802326,11421.338457239348
2017-03-02,32776.488077350245,59901.99543568328,5735.225784737817,18311.010091229546
2017-03-03,37121.15895181065,57286.60129938049,6571.747702493336,16600.720072978795
2017-03-06,34097.775197727824,60303.84316112389,6827.894433380967,18920.057011823155
2017-03-07,43300.19293084468,55320.72797759388,8801.16695099559,17721.115582808336
2017-03-08,42923.27429997555,49282.52406803256,10226.53041560137,13892.331985609184
2017-03-09,52417.70034080986,45489.45886634147,13076.27756763091,10700.055490719118
