C Corn Futures
DEC16     339'0     341'0     338'0     339'6     340'0     -'4       91916      340'4      127944      760102
4450       ----      ----      ----      ----       8'0     -'1                    8'1
4500       ----      ----      ----      ----       7'4     -'1                    7'5
4550       ----      ----      ----      ----       7'0     -'2                    7'2
4600       ----      ----      ----      ----       6'5     -'2                    6'7
4650       ----      ----      ----      ----       6'2     -'1                    6'3
4700       ----      ----      ----      ----       5'7     -'1                    6'0
4750       ----      ----      ----      ----       5'4     -'1                    5'5
4800       ----      ----      ----      ----       5'1     -'1                    5'2
4850       ----      ----      ----      ----       4'6     -'1                    4'7
4900       ----      ----      ----      ----       4'3     -'1                    4'4
4950       ----      ----      ----      ----       4'0     -'1                    4'1
5000       ----      ----      ----      ----       3'5     -'1                    3'6
5050       ----      ----      ----      ----       3'2     -'1                    3'3
5100       ----      ----      ----      ----       3'0     -'1                    3'1
5150       ----      ----      ----      ----       2'6     -'1                    2'7
5200       ----      ----      ----      ----       2'4     -'1                    2'5
5250       ----      ----      ----      ----       2'2     -'1                    2'3
CDF JLY17 Short-Dated New Crop Corn Option CALL
2700       ----      ----      ----      ----     110'0     -'6                  110'6
2750       ----      ----      ----      ----     105'1     -'6                  105'7
2800       ----      ----      ----      ----     100'2     -'6                  101'0
2850       ----      ----      ----      ----      95'4     -'5                   96'1
2900       ----      ----      ----      ----      90'6     -'5                   91'3
2950       ----      ----      ----      ----      86'0     -'5                   86'5
3000       ----      ----      ----      ----      81'2     -'5                   81'7
3050       ----      ----      ----      ----      76'5     -'5                   77'2
3100       ----      ----      ----      ----      72'0     -'6                   72'6
3150       ----      ----      ----      ----      67'4     -'6                   68'2
3200       ----      ----      ----      ----      63'2     -'5                   63'7
3250       ----      ----      ----      ----      59'0     -'5                   59'5
3300       ----      ----      ----      ----      54'7     -'5                   55'4
3350       ----      ----      ----      ----      50'7     -'5                   51'4
3400       ----      ----      ----      ----      47'1     -'5                   47'6
3450       ----      ----      ----      ----      43'5     -'4                   44'1
3500       ----      ----      ----      ----      40'3     -'3                   40'6
3550       ----      ----      ----      ----      37'2     -'3                   37'5
3600       ----      ----      ----      ----      34'3     -'3                   34'6
3650       ----      ----      ----      ----      31'5     -'4                   32'1
3700       ----      ----      ----      ----      29'2     -'4                   29'6
3750       ----      ----      ----      ----      27'0     -'4                   27'4
3800       ----      ----      ----      ----      24'7     -'4                   25'3
3850       ----      ----      ----      ----      23'0     -'3                   23'3
3900       ----      ----      ----      ----      21'1     -'3                   21'4
3950       ----      ----      ----      ----      19'4     -'3                   19'7
4000       ----      ----      ----      ----      18'0     -'3                   18'3                      27
4050       ----      ----      ----      ----      16'5     -'3                   17'0
4100       12'4      12'4      12'4      12'4      15'3     -'2          50       15'5                       4
4150       ----      ----      ----      ----      14'1     -'3                   14'4
4200       ----      ----      ----      ----      13'0     -'3                   13'3          90          90
4250       ----      ----      ----      ----      12'0     -'3                   12'3
4300       ----      ----      ----      ----      11'1     -'3                   11'4                       1
4350       ----      ----      ----      ----      10'3     -'3                   10'6
4400       ----      ----      ----      ----       9'5     -'3                   10'0
4450       ----      ----      ----      ----       8'7     -'3                    9'2
4500       ----      ----      ----      ----       8'2     -'2                    8'4
4550       ----      ----      ----      ----       7'5     -'2                    7'7
4600       ----      ----      ----      ----       7'1     -'2                    7'3
4650       ----      ----      ----      ----       6'5     -'2                    6'7
4700       ----      ----      ----      ----       6'2     -'1                    6'3
4750       ----      ----      ----      ----       5'7     -'1                    6'0
4800       ----      ----      ----      ----       5'4     -'1                    5'5
4850       ----      ----      ----      ----       5'1     -'1                    5'2
4900       ----      ----      ----      ----       4'6     -'1                    4'7
4950       ----      ----      ----      ----       4'3     -'2                    4'5
5000       ----      ----      ----      ----       4'1     -'2                    4'3
5050       ----      ----      ----      ----       3'7     -'1                    4'0
5100       ----      ----      ----      ----       3'5     -'1                    3'6
5150       ----      ----      ----      ----       3'4     -'1                    3'5
5200       ----      ----      ----      ----       3'3     -'1                    3'4
5250       ----      ----      ----      ----       3'2     -'1                    3'3
CDF SEP17 Short-Dated New Crop Corn Option CALL
