W Wheat Futures
SEP17     504'4     508'2     495'0     507'0     505'6    +2'6       65783      503'0       71108      199071
DEC17     528'2     531'4     518'6     530'4     529'2    +2'4       29922      526'6       29023      131313
MAR18     548'0     550'4     538'4     550'4     549'4    +3'0       10242      546'4        9638       51382
MAY18     558'0     560'6B    549'2     560'6B    560'0    +3'0        1834      557'0        2150       16397
JLY18     562'2     565'2B    554'2     565'2B    564'2    +2'4        3340      561'6        3508       26934
SEP18     569'0     573'6B    563'6A    573'6B    572'6    +2'4          93      570'2         186        2190
DEC18     583'2     586'6B    577'0     586'6B    585'4    +2'2         345      583'2         720        8581
MAR19      ----     590'2B     ----     590'2B    593'0    +3'0          19      590'0          15         861
MAY19      ----      ----      ----      ----     590'4    +3'0                  587'4           8          34
JLY19     578'4     580'2B    578'4     580'2B    584'6    +6'0          12      578'6          17         284
SEP19      ----      ----      ----      ----     584'6    +6'0                  578'6
5250       ----      ----      ----      ----      59'6    +1'5                   58'1
5300       ----      ----      ----      ----      57'1    +1'5                   55'4
5350       ----      ----      ----      ----      54'4    +1'5                   52'7
5400       ----      ----      ----      ----      52'0    +1'4                   50'4
5450       ----      ----      ----      ----      49'5    +1'4                   48'1
5500       ----      ----      ----      ----      47'1    +1'3                   45'6                       4
5550       ----      ----      ----      ----      44'6    +1'1                   43'5
5600       ----      ----      ----      ----      42'5    +1'2                   41'3
5650       ----      ----      ----      ----      40'3    +1'1                   39'2
5700       ----      ----      ----      ----      38'2    +1'1                   37'1
5750       ----      ----      ----      ----      36'2    +1'1                   35'1
5800       ----      ----      ----      ----      34'2    +1'0                   33'2
5850       ----      ----      ----      ----      32'3    +1'0                   31'3
5900       ----      ----      ----      ----      30'5    +1'0                   29'5
5950       ----      ----      ----      ----      28'7     +'7                   28'0
6000       ----      ----      ----      ----      27'2     +'7                   26'3                       4
6050       ----      ----      ----      ----      25'6     +'7                   24'7
6100       ----      ----      ----      ----      24'2     +'7                   23'3
6150       ----      ----      ----      ----      22'7     +'7                   22'0
6200       ----      ----      ----      ----      21'4     +'6                   20'6
6250       ----      ----      ----      ----      20'2     +'6                   19'4
6300       ----      ----      ----      ----      19'0     +'5                   18'3
6350       ----      ----      ----      ----      17'7     +'5                   17'2
6400       ----      ----      ----      ----      16'7     +'6                   16'1
6450       ----      ----      ----      ----      15'7     +'6                   15'1
6500       ----      ----      ----      ----      14'7     +'6                   14'1
6550       ----      ----      ----      ----      13'7     +'5                   13'2
6600       ----      ----      ----      ----      13'0     +'5                   12'3
6650       ----      ----      ----      ----      12'1     +'5                   11'4
6700       ----      ----      ----      ----      11'3     +'5                   10'6
6750       ----      ----      ----      ----      10'5     +'5                   10'0
6800       ----      ----      ----      ----       9'7     +'4                    9'3
6850       ----      ----      ----      ----       9'1     +'3                    8'6
6900       ----      ----      ----      ----       8'4     +'3                    8'1
6950       ----      ----      ----      ----       7'7     +'3                    7'4
7000       ----      ----      ----      ----       7'3     +'3                    7'0
7050       ----      ----      ----      ----       6'7     +'3                    6'4
7100       ----      ----      ----      ----       6'3     +'3                    6'0
7150       ----      ----      ----      ----       5'7     +'2                    5'5
7200       ----      ----      ----      ----       5'4     +'2                    5'2
7250       ----      ----      ----      ----       5'1     +'2                    4'7
7300       ----      ----      ----      ----       4'6     +'2                    4'4
7350       ----      ----      ----      ----       4'3     +'2                    4'1
7400       ----      ----      ----      ----       4'1     +'2                    3'7
7450       ----      ----      ----      ----       3'7     +'2                    3'5
7500       ----      ----      ----      ----       3'5     +'2                    3'3
7550       ----      ----      ----      ----       3'3     +'2                    3'1

WDF DEC17 Short-Dated New Crop Wheat Option PUT
3600       ----      ----      ----      ----        '1    UNCH                     '1
3650       ----      ----      ----      ----        '1    UNCH                     '1
3700       ----      ----      ----      ----        '1    UNCH                     '1
3750       ----      ----      ----      ----        '1    UNCH                     '1
3800       ----      ----      ----      ----        '1    UNCH                     '1
3850       ----      ----      ----      ----        '1    UNCH                     '1
3900       ----      ----      ----      ----        '1    UNCH                     '1
3950       ----      ----      ----      ----        '1    UNCH                     '1
4000       ----      ----      ----      ----        '1    UNCH                     '1
4050       ----      ----      ----      ----        '1    UNCH                     '1
4100       ----      ----      ----      ----        '1    UNCH                     '1
4150       ----      ----      ----      ----        '1    UNCH                     '1
4200       ----      ----      ----      ----        '1    UNCH                     '1
4250       ----      ----      ----      ----        '1    UNCH                     '1
4300       ----      ----      ----      ----        '1    UNCH                     '1
4350       ----      ----      ----      ----        '1    UNCH                     '1
4400       ----      ----      ----      ----        '1    UNCH                     '1
4450       ----      ----      ----      ----        '1    UNCH                     '1
4500       ----      ----      ----      ----        '2    UNCH                     '2
4550       ----      ----      ----      ----        '2     -'1                     '3
4600       ----      ----      ----      ----        '3     -'1                     '4
4650       ----      ----      ----      ----        '4     -'1                     '5
4700       ----      ----      ----      ----        '6     -'1                     '7
4750       ----      ----      ----      ----       1'0     -'2                    1'2
4800       ----      ----      ----      ----       1'4     -'2                    1'6
4850       ----      ----      ----      ----       2'1     -'3                    2'4
4900       ----      ----      ----      ----       2'7     -'4                    3'3
4950       ----      ----      ----      ----       3'7     -'4                    4'3
5000       ----      ----      ----      ----       5'0     -'4                    5'4
5050       ----      ----      ----      ----       6'2     -'4                    6'6
5100       ----      ----      ----      ----       7'4     -'5                    8'1
