C Corn Futures
DEC16     339'2     341'4     334'6     336'2     336'6    -3'2      112766      340'0      101255      754124
3000       ----      ----      ----      ----      78'0    -2'7                   80'7
3050       ----      ----      ----      ----      73'4    -2'6                   76'2
3100       ----      ----      ----      ----      69'0    -2'6                   71'6
3150       ----      ----      ----      ----      64'4    -2'6                   67'2
3200       ----      ----      ----      ----      60'1    -2'5                   62'6
3250       ----      ----      ----      ----      55'7    -2'5                   58'4
3300       ----      ----      ----      ----      51'6    -2'4                   54'2
3350       ----      ----      ----      ----      47'6    -2'3                   50'1
3400       ----      ----      ----      ----      43'7    -2'2                   46'1
3450       ----      ----      ----      ----      40'1    -2'2                   42'3
3500       ----      ----      ----      ----      36'4    -2'2                   38'6
3550       ----      ----      ----      ----      33'1    -2'1                   35'2
3600       ----      ----      ----      ----      29'7    -2'1                   32'0
3650       ----      ----      ----      ----      27'0    -2'0                   29'0
3700       ----      ----      ----      ----      24'3    -1'7                   26'2
3750       ----      ----      ----      ----      21'7    -1'6                   23'5
3800       ----      ----      ----      ----      19'6    -1'5                   21'3
3850       ----      ----      ----      ----      17'7    -1'4                   19'3
3900       ----      ----      ----      ----      16'2    -1'3                   17'5
3950       ----      ----      ----      ----      14'7    -1'2                   16'1
4000       ----      ----      ----      ----      13'5    -1'1                   14'6
4050       ----      ----      ----      ----      12'4    -1'1                   13'5
4100       ----      ----      ----      ----      11'5    -1'0                   12'5
4150       ----      ----      ----      ----      10'7     -'7                   11'6
4200       ----      ----      ----      ----      10'1     -'7                   11'0                       1
4250       ----      ----      ----      ----       9'4     -'6                   10'2
4300       ----      ----      ----      ----       8'7     -'6                    9'5
4350       ----      ----      ----      ----       8'3     -'5                    9'0
4400       ----      ----      ----      ----       7'7     -'5                    8'4
4450       ----      ----      ----      ----       7'3     -'5                    8'0
4500       ----      ----      ----      ----       6'7     -'5                    7'4
4550       ----      ----      ----      ----       6'4     -'4                    7'0
4600       ----      ----      ----      ----       6'1     -'4                    6'5
4650       ----      ----      ----      ----       5'6     -'4                    6'2
4700       ----      ----      ----      ----       5'3     -'4                    5'7
4750       ----      ----      ----      ----       5'0     -'4                    5'4
4800       ----      ----      ----      ----       4'5     -'4                    5'1
4850       ----      ----      ----      ----       4'2     -'4                    4'6
4900       ----      ----      ----      ----       3'7     -'4                    4'3
4950       ----      ----      ----      ----       3'4     -'4                    4'0
5000       ----      ----      ----      ----       3'2     -'3                    3'5
5050       ----      ----      ----      ----       3'0     -'2                    3'2
5100       ----      ----      ----      ----       2'6     -'2                    3'0
5150       ----      ----      ----      ----       2'4     -'2                    2'6
5200       ----      ----      ----      ----       2'2     -'2                    2'4
5250       ----      ----      ----      ----       2'0     -'2                    2'2
CDF JLY17 Short-Dated New Crop Corn Option CALL
2700       ----      ----      ----      ----     107'1    -2'7                  110'0
2750       ----      ----      ----      ----     102'2    -2'7                  105'1
2800       ----      ----      ----      ----      97'4    -2'6                  100'2
2850       ----      ----      ----      ----      92'6    -2'6                   95'4
2900       ----      ----      ----      ----      88'0    -2'6                   90'6
2950       ----      ----      ----      ----      83'2    -2'6                   86'0
3000       ----      ----      ----      ----      78'5    -2'5                   81'2
3050       ----      ----      ----      ----      74'0    -2'5                   76'5
3100       ----      ----      ----      ----      69'4    -2'4                   72'0
3150       ----      ----      ----      ----      65'1    -2'3                   67'4
3200       ----      ----      ----      ----      60'7    -2'3                   63'2
3250       ----      ----      ----      ----      56'5    -2'3                   59'0
3300       ----      ----      ----      ----      52'5    -2'2                   54'7
3350       ----      ----      ----      ----      48'6    -2'1                   50'7
3400       ----      ----      ----      ----      45'0    -2'1                   47'1
3450       ----      ----      ----      ----      41'4    -2'1                   43'5
3500       ----      ----      ----      ----      38'2    -2'1                   40'3
3550       ----      ----      ----      ----      35'2    -2'0                   37'2
3600       ----      ----      ----      ----      32'3    -2'0                   34'3
3650       ----      ----      ----      ----      29'6    -1'7                   31'5
3700       ----      ----      ----      ----      27'4    -1'6                   29'2
3750       ----      ----      ----      ----      25'2    -1'6                   27'0
3800       ----      ----      ----      ----      23'2    -1'5                   24'7
3850       ----      ----      ----      ----      21'3    -1'5                   23'0
3900       ----      ----      ----      ----      19'6    -1'3                   21'1
3950       ----      ----      ----      ----      18'1    -1'3                   19'4
4000       ----      ----      ----      ----      16'6    -1'2                   18'0                      27
4050       ----      ----      ----      ----      15'4    -1'1                   16'5
4100       ----      ----      ----      ----      14'2    -1'1                   15'3           2           6
4150       ----      ----      ----      ----      13'1    -1'0                   14'1
4200       ----      ----      ----      ----      12'1     -'7                   13'0                      90
4250       ----      ----      ----      ----      11'2     -'6                   12'0
4300       ----      ----      ----      ----      10'3     -'6                   11'1                       1
4350       ----      ----      ----      ----       9'5     -'6                   10'3
4400       ----      ----      ----      ----       8'7     -'6                    9'5
4450       ----      ----      ----      ----       8'2     -'5                    8'7
4500       ----      ----      ----      ----       7'5     -'5                    8'2
4550       ----      ----      ----      ----       7'1     -'4                    7'5
4600       ----      ----      ----      ----       6'5     -'4                    7'1
4650       ----      ----      ----      ----       6'1     -'4                    6'5
4700       ----      ----      ----      ----       5'5     -'5                    6'2
4750       ----      ----      ----      ----       5'2     -'5                    5'7
4800       ----      ----      ----      ----       4'7     -'5                    5'4
4850       ----      ----      ----      ----       4'4     -'5                    5'1
4900       ----      ----      ----      ----       4'2     -'4                    4'6
4950       ----      ----      ----      ----       4'0     -'3                    4'3
5000       ----      ----      ----      ----       3'6     -'3                    4'1
5050       ----      ----      ----      ----       3'4     -'3                    3'7
5100       ----      ----      ----      ----       3'2     -'3                    3'5
5150       ----      ----      ----      ----       3'1     -'3                    3'4
5200       ----      ----      ----      ----       3'0     -'3                    3'3
5250       ----      ----      ----      ----       2'7     -'3                    3'2
CDF SEP17 Short-Dated New Crop Corn Option CALL
