                PRELIMINARY PRICES AS OF 10/03/17 09:30 AM (CST)
JLY19      ----      ----      ----      ----      ----    UNCH                    .07
AUG19      ----      ----      ----      ----      ----    UNCH                    .06
SEP19      ----      ----      ----      ----      ----    UNCH                    .04
OCT19      ----      ----      ----      ----      ----    UNCH                    .02
NOV19      ----      ----      ----      ----      ----    UNCH                    .01
DEC19      ----      ----      ----      ----      ----    UNCH                    .06
JAN20      ----      ----      ----      ----      ----    UNCH                    .05
FEB20      ----      ----      ----      ----      ----    UNCH                    .03
MAR20      ----      ----      ----      ----      ----    UNCH                    .02
APR20      ----      ----      ----      ----      ----    UNCH                    .02
JUN20      ----      ----      ----      ----      ----    UNCH                    .02
SEP20      ----      ----      ----      ----      ----    UNCH                   -.03
OCT20      ----      ----      ----      ----      ----    UNCH                   -.03
NOV20      ----      ----      ----      ----      ----    UNCH                   -.05
DEC20      ----      ----      ----      ----      ----    UNCH                    .03
JAN21      ----      ----      ----      ----      ----    UNCH                    .01
FEB21      ----      ----      ----      ----      ----    UNCH                   -.01
MAR21      ----      ----      ----      ----      ----    UNCH                   -.02
APR21      ----      ----      ----      ----      ----    UNCH                   -.02
MAY21      ----      ----      ----      ----      ----    UNCH                   -.04
JUN21      ----      ----      ----      ----      ----    UNCH                    .02
AUG21      ----      ----      ----      ----      ----    UNCH                   -.02
SEP21      ----      ----      ----      ----      ----    UNCH                   -.04
OCT21      ----      ----      ----      ----      ----    UNCH                   -.05
NOV21      ----      ----      ----      ----      ----    UNCH                   -.06
JAN22      ----      ----      ----      ----      ----    UNCH                   -.01
FEB22      ----      ----      ----      ----      ----    UNCH                   -.01
MAR22      ----      ----      ----      ----      ----    UNCH                   -.03
APR22      ----      ----      ----      ----      ----    UNCH                   -.04
MAY22      ----      ----      ----      ----      ----    UNCH                   -.07
JUN22      ----      ----      ----      ----      ----    UNCH                    .02
JLY22      ----      ----      ----      ----      ----    UNCH                   -.01
AUG22      ----      ----      ----      ----      ----    UNCH                   -.03
SEP22      ----      ----      ----      ----      ----    UNCH                   -.04
OCT22      ----      ----      ----      ----      ----    UNCH                   -.06
BH NY Harbor ULSD Bullet Futures
NOV17      ----      ----      ----      ----      ----    UNCH                 1.7665                      69
DEC17      ----      ----      ----      ----      ----    UNCH                 1.7650                      69
JAN18      ----      ----      ----      ----      ----    UNCH                 1.7636                      18
FEB18      ----      ----      ----      ----      ----    UNCH                 1.7582                      18
MAR18      ----      ----      ----      ----      ----    UNCH                 1.7457                      18
APR18      ----      ----      ----      ----      ----    UNCH                 1.7262                      18
MAY18      ----      ----      ----      ----      ----    UNCH                 1.7122                      18
JUN18      ----      ----      ----      ----      ----    UNCH                 1.7011                      18
JLY18      ----      ----      ----      ----      ----    UNCH                 1.6965                      18
AUG18      ----      ----      ----      ----      ----    UNCH                 1.6947                      18
SEP18      ----      ----      ----      ----      ----    UNCH                 1.6955                      18
OCT18      ----      ----      ----      ----      ----    UNCH                 1.6985                      18
NOV18      ----      ----      ----      ----      ----    UNCH                 1.7031                      18
DEC18      ----      ----      ----      ----      ----    UNCH                 1.7076                      18
JAN19      ----      ----      ----      ----      ----    UNCH                 1.7116
FEB19      ----      ----      ----      ----      ----    UNCH                 1.7086
MAR19      ----      ----      ----      ----      ----    UNCH                 1.6996
APR19      ----      ----      ----      ----      ----    UNCH                 1.6861
MAY19      ----      ----      ----      ----      ----    UNCH                 1.6796
JUN19      ----      ----      ----      ----      ----    UNCH                 1.6776
JLY19      ----      ----      ----      ----      ----    UNCH                 1.6796
AUG19      ----      ----      ----      ----      ----    UNCH                 1.6826
SEP19      ----      ----      ----      ----      ----    UNCH                 1.6881
OCT19      ----      ----      ----      ----      ----    UNCH                 1.6946
NOV19      ----      ----      ----      ----      ----    UNCH                 1.7011
DEC19      ----      ----      ----      ----      ----    UNCH                 1.7066
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                                                      354
BZ1 Brent Crude Oil TAM Singapore Future
DEC17      ----      ----      ----      ----     56.13    -.47                  56.60
JAN18      ----      ----      ----      ----     55.87    -.52                  56.39
FEB18      ----      ----      ----      ----     55.66    -.57                  56.23
BZ2 Brent Crude Oil TAM LONDON Future
DEC17      ----      ----      ----      ----      ----    UNCH                  55.67
JAN18      ----      ----      ----      ----      ----    UNCH                  55.46
FEB18      ----      ----      ----      ----      ----    UNCH                  55.30
BZS BZ TAM SINGAPORE FUTURE
DEC17      ----      ----      ----      ----       .00    UNCH                    .00
JAN18      ----      ----      ----      ----       .00    UNCH                    .00
FEB18      ----      ----      ----      ----       .00    UNCH                    .00
CAY CRUDE OIL CS1 SYNTHT
NOV17      ----      ----      ----      ----      ----    UNCH                   -.32
DEC17      ----      ----      ----      ----      ----    UNCH                   -.24
JAN18      ----      ----      ----      ----      ----    UNCH                   -.13
FEB18      ----      ----      ----      ----      ----    UNCH                   -.06
MAR18      ----      ----      ----      ----      ----    UNCH                   -.02
APR18      ----      ----      ----      ----      ----    UNCH                    .04
MAY18      ----      ----      ----      ----      ----    UNCH                    .07
JUN18      ----      ----      ----      ----      ----    UNCH                    .10
JLY18      ----      ----      ----      ----      ----    UNCH                    .10
AUG18      ----      ----      ----      ----      ----    UNCH                    .09
SEP18      ----      ----      ----      ----      ----    UNCH                    .08
OCT18      ----      ----      ----      ----      ----    UNCH                    .06
NOV18      ----      ----      ----      ----      ----    UNCH                    .05
DEC18      ----      ----      ----      ----      ----    UNCH                    .10
JAN19      ----      ----      ----      ----      ----    UNCH                    .09
FEB19      ----      ----      ----      ----      ----    UNCH                    .09
MAR19      ----      ----      ----      ----      ----    UNCH                    .06
APR19      ----      ----      ----      ----      ----    UNCH                    .06
MAY19      ----      ----      ----      ----      ----    UNCH                    .03
JUN19      ----      ----      ----      ----      ----    UNCH                    .07
JLY19      ----      ----      ----      ----      ----    UNCH                    .07
AUG19      ----      ----      ----      ----      ----    UNCH                    .06
SEP19      ----      ----      ----      ----      ----    UNCH                    .04
OCT19      ----      ----      ----      ----      ----    UNCH                    .02
NOV19      ----      ----      ----      ----      ----    UNCH                    .01
DEC19      ----      ----      ----      ----      ----    UNCH                    .06
JAN20      ----      ----      ----      ----      ----    UNCH                    .05
FEB20      ----      ----      ----      ----      ----    UNCH                    .03
MAR20      ----      ----      ----      ----      ----    UNCH                    .02
APR20      ----      ----      ----      ----      ----    UNCH                    .02
JUN20      ----      ----      ----      ----      ----    UNCH                    .02
SEP20      ----      ----      ----      ----      ----    UNCH                   -.03
OCT20      ----      ----      ----      ----      ----    UNCH                   -.03
NOV20      ----      ----      ----      ----      ----    UNCH                   -.05
DEC20      ----      ----      ----      ----      ----    UNCH                    .03
JAN21      ----      ----      ----      ----      ----    UNCH                    .01
FEB21      ----      ----      ----      ----      ----    UNCH                   -.01
MAR21      ----      ----      ----      ----      ----    UNCH                   -.02
APR21      ----      ----      ----      ----      ----    UNCH                   -.02
MAY21      ----      ----      ----      ----      ----    UNCH                   -.04
JUN21      ----      ----      ----      ----      ----    UNCH                    .02
AUG21      ----      ----      ----      ----      ----    UNCH                   -.02
SEP21      ----      ----      ----      ----      ----    UNCH                   -.04
OCT21      ----      ----      ----      ----      ----    UNCH                   -.05
NOV21      ----      ----      ----      ----      ----    UNCH                   -.06
JAN22      ----      ----      ----      ----      ----    UNCH                   -.01
FEB22      ----      ----      ----      ----      ----    UNCH                   -.01
MAR22      ----      ----      ----      ----      ----    UNCH                   -.03
APR22      ----      ----      ----      ----      ----    UNCH                   -.04
MAY22      ----      ----      ----      ----      ----    UNCH                   -.07
JUN22      ----      ----      ----      ----      ----    UNCH                    .02
JLY22      ----      ----      ----      ----      ----    UNCH                   -.01
AUG22      ----      ----      ----      ----      ----    UNCH                   -.03
SEP22      ----      ----      ----      ----      ----    UNCH                   -.04
OCT22      ----      ----      ----      ----      ----    UNCH                   -.06
NOV22      ----      ----      ----      ----      ----    UNCH                   -.08
CL Light Sweet Crude Oil Futures
NOV17     50.59     50.68     50.22     50.29      ----    UNCH      153154      50.58      600933      518158
DEC17     50.92     50.99     50.55     50.62      ----    UNCH       32382      50.90      168627      351299
JAN18     51.12     51.23     50.79     50.86      ----    UNCH        9225      51.14       51198      228357
FEB18     51.20     51.35     50.92     51.01      ----    UNCH        4191      51.27       24446      116162
MAR18     51.17     51.37     50.99     51.08      ----    UNCH        4279      51.33       39365      207886
APR18     51.20     51.28     51.04     51.13      ----    UNCH        2600      51.35       15312       56811
MAY18     51.14     51.33     51.06     51.06A     ----    UNCH        1066      51.31        9735       51135
JUN18     51.16     51.27B    50.94A    51.02B     ----    UNCH        3599      51.24       31076      193246
JLY18     50.93     51.19     50.93     50.93      ----    UNCH         536      51.14        4371       46975
AUG18     50.89     50.99     50.84     50.90A     ----    UNCH         463      51.04        3265       35304
SEP18     50.93     50.93     50.75     50.82A     ----    UNCH         406      50.95        3925       63305
OCT18     50.70     50.74B    50.62A    50.65B     ----    UNCH          72      50.87        1765       36874
NOV18      ----      ----      ----      ----      ----    UNCH          54      50.81        1411       33036
DEC18     50.71     50.79     50.48     50.58      ----    UNCH        5274      50.76       39539      254905
JAN19      ----      ----     50.64A    50.64A     ----    UNCH          61      50.66         631       30186
FEB19      ----      ----      ----      ----      ----    UNCH          11      50.57         503       14664
MAR19      ----      ----      ----      ----      ----    UNCH          29      50.48        1295       22617
APR19      ----      ----      ----      ----      ----    UNCH           1      50.42          59        9864
MAY19      ----      ----      ----      ----      ----    UNCH           1      50.36          67       13188
JUN19     50.33     50.33     50.08     50.15A     ----    UNCH         198      50.33        4137       45141
JLY19      ----      ----      ----      ----      ----    UNCH                  50.26          51        5492
AUG19      ----      ----      ----      ----      ----    UNCH                  50.19          41        2732
SEP19      ----      ----      ----      ----      ----    UNCH                  50.13          50        7624
OCT19      ----      ----      ----      ----      ----    UNCH                  50.09          84        3774
NOV19      ----      ----      ----      ----      ----    UNCH           9      50.07         173        2675
DEC19     49.89     50.10     49.83     49.95A     ----    UNCH         520      50.06        4660       63811
JAN20      ----      ----      ----      ----      ----    UNCH                  50.00         100        2189
FEB20      ----      ----      ----      ----      ----    UNCH                  49.95                    1739
MAR20      ----      ----      ----      ----      ----    UNCH                  49.92                    2012
APR20      ----      ----      ----      ----      ----    UNCH                  49.90                     549
MAY20      ----      ----      ----      ----      ----    UNCH                  49.88                     157
JUN20      ----      ----      ----      ----      ----    UNCH           1      49.88         303        5060
JLY20      ----      ----      ----      ----      ----    UNCH                  49.86                     307
AUG20      ----      ----      ----      ----      ----    UNCH                  49.86                     546
SEP20      ----      ----      ----      ----      ----    UNCH                  49.86                    1489
OCT20      ----      ----      ----      ----      ----    UNCH                  49.89                     154
NOV20      ----      ----      ----      ----      ----    UNCH                  49.92                     200
DEC20     49.90     49.93B    49.79A    49.87      ----    UNCH          50      49.97         604       26441
JAN21      ----      ----      ----      ----      ----    UNCH                  49.94                      20
FEB21      ----      ----      ----      ----      ----    UNCH                  49.93
MAR21      ----      ----      ----      ----      ----    UNCH                  49.94
APR21      ----      ----      ----      ----      ----    UNCH                  49.96
MAY21      ----      ----      ----      ----      ----    UNCH                  49.98
JUN21      ----      ----      ----      ----      ----    UNCH                  50.02                     400
JLY21      ----      ----      ----      ----      ----    UNCH                  50.00
AUG21      ----      ----      ----      ----      ----    UNCH                  50.00
SEP21      ----      ----      ----      ----      ----    UNCH                  50.02
OCT21      ----      ----      ----      ----      ----    UNCH                  50.06                       1
NOV21      ----      ----      ----      ----      ----    UNCH                  50.11
DEC21      ----      ----      ----      ----      ----    UNCH           7      50.17          49        6786
JAN22      ----      ----      ----      ----      ----    UNCH                  50.17
FEB22      ----      ----      ----      ----      ----    UNCH                  50.18
MAR22      ----      ----      ----      ----      ----    UNCH                  50.19
APR22      ----      ----      ----      ----      ----    UNCH                  50.22
MAY22      ----      ----      ----      ----      ----    UNCH                  50.26
JUN22      ----      ----      ----      ----      ----    UNCH                  50.33
JLY22      ----      ----      ----      ----      ----    UNCH                  50.31
AUG22      ----      ----      ----      ----      ----    UNCH                  50.32
SEP22      ----      ----      ----      ----      ----    UNCH                  50.35
OCT22      ----      ----      ----      ----      ----    UNCH                  50.39
NOV22      ----      ----      ----      ----      ----    UNCH                  50.45
DEC22      ----      ----      ----      ----      ----    UNCH                  50.53          13         801
JUN23      ----      ----      ----      ----      ----    UNCH                  50.78
DEC23      ----      ----      ----      ----      ----    UNCH                  51.08           3         144
JUN24      ----      ----      ----      ----      ----    UNCH                  51.38
DEC24      ----      ----      ----      ----      ----    UNCH                  51.73                       9
JUN25      ----      ----      ----      ----      ----    UNCH                  52.05
DEC25      ----      ----      ----      ----      ----    UNCH                  52.37                      11
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                218189                1007791     2464236
CL1 WTI Crude Oil TAM Singapore Future
NOV17      ----      ----      ----      ----     50.57    -.91                  51.48
DEC17      ----      ----      ----      ----     50.89    -.86                  51.75
JAN18      ----      ----      ----      ----     51.13    -.81                  51.94
CL2 WTI Crude Oil TAM LONDON Future
NOV17      ----      ----      ----      ----      ----    UNCH                  50.20
DEC17      ----      ----      ----      ----      ----    UNCH                  50.53
JAN18      ----      ----      ----      ----      ----    UNCH                  50.76
CLS CRUDE OIL TAM SINGAPORE FUTURE
NOV17      ----      ----      ----      ----       .00    UNCH                    .00
DEC17      ----      ----      ----      ----       .00    UNCH                    .00
JAN18      ----      ----      ----      ----       .00    UNCH                    .00
CQ CRUDE OIL CS2 SYNTHT
NOV17      ----      ----      ----      ----      ----    UNCH                   -.56
DEC17      ----      ----      ----      ----      ----    UNCH                   -.37
JAN18      ----      ----      ----      ----      ----    UNCH                   -.19
CT CRUDE OIL CS3 SYNTHT
NOV17      ----      ----      ----      ----      ----    UNCH                   -.69
DEC17      ----      ----      ----      ----      ----    UNCH                   -.43
CV CRUDE OIL CS6 SYNTHT
NOV17      ----      ----      ----      ----      ----    UNCH                   -.73
DEC17      ----      ----      ----      ----      ----    UNCH                   -.34
FEB18      ----      ----      ----      ----      ----    UNCH                    .23
MAR18      ----      ----      ----      ----      ----    UNCH                    .38
APR18      ----      ----      ----      ----      ----    UNCH                    .48
MAY18      ----      ----      ----      ----      ----    UNCH                    .50
JUN18      ----      ----      ----      ----      ----    UNCH                    .48
JLY18      ----      ----      ----      ----      ----    UNCH                    .48
AUG18      ----      ----      ----      ----      ----    UNCH                    .47
SEP18      ----      ----      ----      ----      ----    UNCH                    .47
CX CRUDE OIL CS12SYNTHT
DEC17      ----      ----      ----      ----      ----    UNCH                    .14
FEB18      ----      ----      ----      ----      ----    UNCH                    .70
MAR18      ----      ----      ----      ----      ----    UNCH                    .85
JUN18      ----      ----      ----      ----      ----    UNCH                    .91
SEP18      ----      ----      ----      ----      ----    UNCH                    .82
DEC18      ----      ----      ----      ----      ----    UNCH                    .70
MAR19      ----      ----      ----      ----      ----    UNCH                    .56
DEC19      ----      ----      ----      ----      ----    UNCH                    .09
DEC20      ----      ----      ----      ----      ----    UNCH                   -.20
DE NG 5 MO CSO SYNTH
NOV17      ----      ----      ----      ----      ----    UNCH                    .06
DEC17      ----      ----      ----      ----      ----    UNCH                   2.25
JAN18      ----      ----      ----      ----      ----    UNCH                   3.24
FEB18      ----      ----      ----      ----      ----    UNCH                   3.04
MAR18      ----      ----      ----      ----      ----    UNCH                   2.53
APR18      ----      ----      ----      ----      ----    UNCH                   -.09
MAY18      ----      ----      ----      ----      ----    UNCH                   -.60
JUN18      ----      ----      ----      ----      ----    UNCH                   -.84
JLY18      ----      ----      ----      ----      ----    UNCH                  -1.94
AUG18      ----      ----      ----      ----      ----    UNCH                  -2.76
SEP18      ----      ----      ----      ----      ----    UNCH                  -2.74
OCT18      ----      ----      ----      ----      ----    UNCH                  -1.81
DGY NATURAL GAS CS1 SYNT
NOV17      ----      ----      ----      ----      ----    UNCH                  -.190
DEC17      ----      ----      ----      ----      ----    UNCH                  -.128
JAN18      ----      ----      ----      ----      ----    UNCH                  -.006
FEB18      ----      ----      ----      ----      ----    UNCH                   .047
MAR18      ----      ----      ----      ----      ----    UNCH                   .283
APR18      ----      ----      ----      ----      ----    UNCH                   .029
MAY18      ----      ----      ----      ----      ----    UNCH                  -.029
JUN18      ----      ----      ----      ----      ----    UNCH                  -.026
JLY18      ----      ----      ----      ----      ----    UNCH                  -.004
AUG18      ----      ----      ----      ----      ----    UNCH                   .021
SEP18      ----      ----      ----      ----      ----    UNCH                  -.022
OCT18      ----      ----      ----      ----      ----    UNCH                  -.053
NOV18      ----      ----      ----      ----      ----    UNCH                  -.136
DEC18      ----      ----      ----      ----      ----    UNCH                  -.086
JAN19      ----      ----      ----      ----      ----    UNCH                   .023
FEB19      ----      ----      ----      ----      ----    UNCH                   .071
MAR19      ----      ----      ----      ----      ----    UNCH                   .374
APR19      ----      ----      ----      ----      ----    UNCH                   .037
MAY19      ----      ----      ----      ----      ----    UNCH                  -.024
JUN19      ----      ----      ----      ----      ----    UNCH                  -.024
JLY19      ----      ----      ----      ----      ----    UNCH                  -.006
AUG19      ----      ----      ----      ----      ----    UNCH                   .014
SEP19      ----      ----      ----      ----      ----    UNCH                  -.024
OCT19      ----      ----      ----      ----      ----    UNCH                  -.065
NOV19      ----      ----      ----      ----      ----    UNCH                  -.155
DEC19      ----      ----      ----      ----      ----    UNCH                  -.106
JAN20      ----      ----      ----      ----      ----    UNCH                   .021
FEB20      ----      ----      ----      ----      ----    UNCH                   .055
MAR20      ----      ----      ----      ----      ----    UNCH                   .320
APR20      ----      ----      ----      ----      ----    UNCH                   .027
MAY20      ----      ----      ----      ----      ----    UNCH                  -.023
JUN20      ----      ----      ----      ----      ----    UNCH                  -.026
JLY20      ----      ----      ----      ----      ----    UNCH                  -.010
AUG20      ----      ----      ----      ----      ----    UNCH                   .004
SEP20      ----      ----      ----      ----      ----    UNCH                  -.028
OCT20      ----      ----      ----      ----      ----    UNCH                  -.074
NOV20      ----      ----      ----      ----      ----    UNCH                  -.150
DEC20      ----      ----      ----      ----      ----    UNCH                  -.110
JAN21      ----      ----      ----      ----      ----    UNCH                   .022
FEB21      ----      ----      ----      ----      ----    UNCH                   .058
MAR21      ----      ----      ----      ----      ----    UNCH                   .313
APR21      ----      ----      ----      ----      ----    UNCH                   .024
MAY21      ----      ----      ----      ----      ----    UNCH                  -.022
JUN21      ----      ----      ----      ----      ----    UNCH                  -.023
JLY21      ----      ----      ----      ----      ----    UNCH                  -.019
AUG21      ----      ----      ----      ----      ----    UNCH                   .002
SEP21      ----      ----      ----      ----      ----    UNCH                  -.026
OCT21      ----      ----      ----      ----      ----    UNCH                  -.074
NOV21      ----      ----      ----      ----      ----    UNCH                  -.152
DEC21      ----      ----      ----      ----      ----    UNCH                  -.111
JAN22      ----      ----      ----      ----      ----    UNCH                   .023
FEB22      ----      ----      ----      ----      ----    UNCH                   .062
MAR22      ----      ----      ----      ----      ----    UNCH                   .313
APR22      ----      ----      ----      ----      ----    UNCH                   .016
MAY22      ----      ----      ----      ----      ----    UNCH                  -.026
JUN22      ----      ----      ----      ----      ----    UNCH                  -.028
JLY22      ----      ----      ----      ----      ----    UNCH                  -.025
AUG22      ----      ----      ----      ----      ----    UNCH                  -.003
SEP22      ----      ----      ----      ----      ----    UNCH                  -.030
OCT22      ----      ----      ----      ----      ----    UNCH                  -.074
DJ NG 2 MO CSO SYNTH
NOV17      ----      ----      ----      ----      ----    UNCH                  -3.18
DEC17      ----      ----      ----      ----      ----    UNCH                  -1.34
JAN18      ----      ----      ----      ----      ----    UNCH                    .41
FEB18      ----      ----      ----      ----      ----    UNCH                   3.30
MAR18      ----      ----      ----      ----      ----    UNCH                   3.12
MAY18      ----      ----      ----      ----      ----    UNCH                   -.55
JUN18      ----      ----      ----      ----      ----    UNCH                   -.30
JLY18      ----      ----      ----      ----      ----    UNCH                    .17
AUG18      ----      ----      ----      ----      ----    UNCH                   -.01
SEP18      ----      ----      ----      ----      ----    UNCH                   -.75
OCT18      ----      ----      ----      ----      ----    UNCH                  -1.89
DM NG 6 MO CSO SYNTH
NOV17      ----      ----      ----      ----      ----    UNCH                   .035
DEC17      ----      ----      ----      ----      ----    UNCH                   .196
JAN18      ----      ----      ----      ----      ----    UNCH                   .298
FEB18      ----      ----      ----      ----      ----    UNCH                   .300
MAR18      ----      ----      ----      ----      ----    UNCH                   .274
APR18      ----      ----      ----      ----      ----    UNCH                  -.031
MAY18      ----      ----      ----      ----      ----    UNCH                  -.113
JUN18      ----      ----      ----      ----      ----    UNCH                  -.220
JLY18      ----      ----      ----      ----      ----    UNCH                  -.280
AUG18      ----      ----      ----      ----      ----    UNCH                  -.253
SEP18      ----      ----      ----      ----      ----    UNCH                  -.203
OCT18      ----      ----      ----      ----      ----    UNCH                   .193
DS NG 3 MO CSO SYNTH
NOV17      ----      ----      ----      ----      ----    UNCH                  -3.24
DEC17      ----      ----      ----      ----      ----    UNCH                   -.87
JAN18      ----      ----      ----      ----      ----    UNCH                   3.24
FEB18      ----      ----      ----      ----      ----    UNCH                   3.59
