                PRELIMINARY PRICES AS OF 01/08/18 09:30 AM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
JLY23      ----      ----      ----      ----      ----    UNCH                    .04
AUG23      ----      ----      ----      ----      ----    UNCH                   -.06
SEP23      ----      ----      ----      ----      ----    UNCH                   -.01
OCT23      ----      ----      ----      ----      ----    UNCH                    .02
NOV23      ----      ----      ----      ----      ----    UNCH                   -.04
BH NY Harbor ULSD Bullet Futures
FEB18      ----      ----      ----      ----      ----    UNCH                 2.0587                      19
MAR18      ----      ----      ----      ----      ----    UNCH                 2.0432                      19
APR18      ----      ----      ----      ----      ----    UNCH                 2.0187                      19
MAY18      ----      ----      ----      ----      ----    UNCH                 2.0007                      19
JUN18      ----      ----      ----      ----      ----    UNCH                 1.9870                      19
JLY18      ----      ----      ----      ----      ----    UNCH                 1.9811                      19
AUG18      ----      ----      ----      ----      ----    UNCH                 1.9774                      19
SEP18      ----      ----      ----      ----      ----    UNCH                 1.9759                      19
OCT18      ----      ----      ----      ----      ----    UNCH                 1.9753                      19
NOV18      ----      ----      ----      ----      ----    UNCH                 1.9757                      19
DEC18      ----      ----      ----      ----      ----    UNCH                 1.9757                      19
JAN19      ----      ----      ----      ----      ----    UNCH                 1.9753                       5
FEB19      ----      ----      ----      ----      ----    UNCH                 1.9685                       5
MAR19      ----      ----      ----      ----      ----    UNCH                 1.9548                       5
APR19      ----      ----      ----      ----      ----    UNCH                 1.9353                       5
MAY19      ----      ----      ----      ----      ----    UNCH                 1.9247                       5
JUN19      ----      ----      ----      ----      ----    UNCH                 1.9175                       5
JLY19      ----      ----      ----      ----      ----    UNCH                 1.9145                       5
AUG19      ----      ----      ----      ----      ----    UNCH                 1.9138                       5
SEP19      ----      ----      ----      ----      ----    UNCH                 1.9157                       5
OCT19      ----      ----      ----      ----      ----    UNCH                 1.9190                       5
NOV19      ----      ----      ----      ----      ----    UNCH                 1.9239                       5
DEC19      ----      ----      ----      ----      ----    UNCH                 1.9269                       5
JAN20      ----      ----      ----      ----      ----    UNCH                 1.9314
FEB20      ----      ----      ----      ----      ----    UNCH                 1.9319
MAR20      ----      ----      ----      ----      ----    UNCH                 1.9272
APR20      ----      ----      ----      ----      ----    UNCH                 1.9165
MAY20      ----      ----      ----      ----      ----    UNCH                 1.9097
JUN20      ----      ----      ----      ----      ----    UNCH                 1.9070
JLY20      ----      ----      ----      ----      ----    UNCH                 1.9087
AUG20      ----      ----      ----      ----      ----    UNCH                 1.9108
SEP20      ----      ----      ----      ----      ----    UNCH                 1.9133
OCT20      ----      ----      ----      ----      ----    UNCH                 1.9149
NOV20      ----      ----      ----      ----      ----    UNCH                 1.9166
DEC20      ----      ----      ----      ----      ----    UNCH                 1.9193
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                                                      269
BZ1 Brent Crude Oil TAM Singapore Future
MAR18      ----      ----      ----      ----     67.63    -.22                  67.85
APR18      ----      ----      ----      ----     67.12    -.17                  67.29
MAY18      ----      ----      ----      ----     66.77    -.12                  66.89
BZ2 Brent Crude Oil TAM LONDON Future
MAR18      ----      ----      ----      ----      ----    UNCH                  67.49
APR18      ----      ----      ----      ----      ----    UNCH                  66.95
MAY18      ----      ----      ----      ----      ----    UNCH                  66.57
BZS BZ TAM SINGAPORE FUTURE
MAR18      ----      ----      ----      ----       .00    UNCH                    .00
APR18      ----      ----      ----      ----       .00    UNCH                    .00
MAY18      ----      ----      ----      ----       .00    UNCH                    .00
CAY CRUDE OIL CS1 SYNTHT
FEB18      ----      ----      ----      ----      ----    UNCH                    .03
MAR18      ----      ----      ----      ----      ----    UNCH                    .11
APR18      ----      ----      ----      ----      ----    UNCH                    .15
MAY18      ----      ----      ----      ----      ----    UNCH                    .22
JUN18      ----      ----      ----      ----      ----    UNCH                    .31
JLY18      ----      ----      ----      ----      ----    UNCH                    .35
AUG18      ----      ----      ----      ----      ----    UNCH                    .34
SEP18      ----      ----      ----      ----      ----    UNCH                    .35
OCT18      ----      ----      ----      ----      ----    UNCH                    .34
NOV18      ----      ----      ----      ----      ----    UNCH                    .31
DEC18      ----      ----      ----      ----      ----    UNCH                    .32
JAN19      ----      ----      ----      ----      ----    UNCH                    .34
FEB19      ----      ----      ----      ----      ----    UNCH                    .34
MAR19      ----      ----      ----      ----      ----    UNCH                    .32
APR19      ----      ----      ----      ----      ----    UNCH                    .30
MAY19      ----      ----      ----      ----      ----    UNCH                    .26
JUN19      ----      ----      ----      ----      ----    UNCH                    .30
JLY19      ----      ----      ----      ----      ----    UNCH                    .28
AUG19      ----      ----      ----      ----      ----    UNCH                    .24
SEP19      ----      ----      ----      ----      ----    UNCH                    .22
OCT19      ----      ----      ----      ----      ----    UNCH                    .19
NOV19      ----      ----      ----      ----      ----    UNCH                    .15
DEC19      ----      ----      ----      ----      ----    UNCH                    .21
JAN20      ----      ----      ----      ----      ----    UNCH                    .21
FEB20      ----      ----      ----      ----      ----    UNCH                    .20
MAR20      ----      ----      ----      ----      ----    UNCH                    .21
APR20      ----      ----      ----      ----      ----    UNCH                    .21
MAY20      ----      ----      ----      ----      ----    UNCH                    .17
JUN20      ----      ----      ----      ----      ----    UNCH                    .20
JLY20      ----      ----      ----      ----      ----    UNCH                    .16
AUG20      ----      ----      ----      ----      ----    UNCH                    .15
SEP20      ----      ----      ----      ----      ----    UNCH                    .14
OCT20      ----      ----      ----      ----      ----    UNCH                    .15
NOV20      ----      ----      ----      ----      ----    UNCH                    .14
DEC20      ----      ----      ----      ----      ----    UNCH                    .20
JAN21      ----      ----      ----      ----      ----    UNCH                    .21
FEB21      ----      ----      ----      ----      ----    UNCH                    .08
MAR21      ----      ----      ----      ----      ----    UNCH                    .14
APR21      ----      ----      ----      ----      ----    UNCH                    .11
MAY21      ----      ----      ----      ----      ----    UNCH                    .04
JUN21      ----      ----      ----      ----      ----    UNCH                    .10
JLY21      ----      ----      ----      ----      ----    UNCH                    .07
AUG21      ----      ----      ----      ----      ----    UNCH                    .07
SEP21      ----      ----      ----      ----      ----    UNCH                    .13
OCT21      ----      ----      ----      ----      ----    UNCH                    .08
NOV21      ----      ----      ----      ----      ----    UNCH                    .06
DEC21      ----      ----      ----      ----      ----    UNCH                    .07
JAN22      ----      ----      ----      ----      ----    UNCH                    .06
FEB22      ----      ----      ----      ----      ----    UNCH                    .02
MAR22      ----      ----      ----      ----      ----    UNCH                    .03
APR22      ----      ----      ----      ----      ----    UNCH                    .02
MAY22      ----      ----      ----      ----      ----    UNCH                    .04
JUN22      ----      ----      ----      ----      ----    UNCH                    .10
