        FINAL POST-CLEARING PRICES AS OF 09/14/17 10:33 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE  ACTUAL VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
DEC17       .00       .01      -.01       .00       .00    UNCH                    .00
JAN18       .00       .01      -.01       .00A      .00    UNCH         641        .00
FEB18      ----      ----      ----      ----       .00    UNCH         111        .00
MAR18       .00       .00       .00       .00       .00    UNCH          32        .00
APR18      -.01      -.01      -.01      -.01       .00    UNCH           2        .00
MAY18      ----      ----      ----      ----       .00    UNCH                    .00
TOTAL                                                            ACTUAL VOL                 VOLUME    OPEN INT
TOTAL                                                                   786
CQ CRUDE OIL CS2 SYNTHT
OCT17      ----      ----      ----      ----      -.77    +.03                   -.80
NOV17      ----      ----      ----      ----      -.54    +.06                   -.60
DEC17      ----      ----      ----      ----      -.40    +.03                   -.43
JAN18      ----      ----      ----      ----      -.28    +.03                   -.31
CT CRUDE OIL CS3 SYNTHT
OCT17      ----      ----      ----      ----     -1.00    +.05                  -1.05
NOV17      ----      ----      ----      ----      -.71    +.07                   -.78
DEC17      ----      ----      ----      ----      -.51    +.05                   -.56
CV CRUDE OIL CS6 SYNTHT
OCT17      ----      ----      ----      ----     -1.34    +.10                  -1.44
NOV17      ----      ----      ----      ----      -.91    +.12                  -1.03
DEC17      ----      ----      ----      ----      -.61    +.09                   -.70
JAN18      ----      ----      ----      ----      -.37    +.08                   -.45
FEB18      ----      ----      ----      ----      -.19    +.09                   -.28
MAR18      ----      ----      ----      ----      -.08    +.08                   -.16
APR18      ----      ----      ----      ----      -.02    +.07                   -.09
MAY18      ----      ----      ----      ----       .01    +.07                   -.06
JUN18      ----      ----      ----      ----       .02    +.08                   -.06
JLY18      ----      ----      ----      ----       .04    +.08                   -.04
AUG18      ----      ----      ----      ----       .06    +.07                   -.01
SEP18      ----      ----      ----      ----       .09    +.07                    .02
CX CRUDE OIL CS12SYNTHT
