        FINAL POST-CLEARING PRICES AS OF 09/14/17 10:33 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE  ACTUAL VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
230        ----      ----      ----      ----     .0778  -.0020                  .0798                       4
E7 AUG19 Henry Hub Natural Gas Last Day Financial Option PUT
200        ----      ----      ----      ----     .0285  -.0009                  .0294                       2
230        ----      ----      ----      ----     .0811  -.0021                  .0832                       4
E7 SEP19 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .0871  -.0021                  .0892                       3
E7 OCT19 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .0875  -.0021                  .0896                       3
E7 NOV19 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .0817  -.0017                  .0834                       3
E7 DEC19 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .0695  -.0016                  .0711                       3
E7 JAN20 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .0738  -.0013                  .0751                       3
E7 FEB20 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .0955  -.0020                  .0975                       3
E7 MAR20 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1235  -.0025                  .1260                       3
E7 APR20 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1197  -.0038                  .1235                       3
E7 MAY20 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1152  -.0039                  .1191                       3
E7 JUN20 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1107  -.0037                  .1144                       3
E7 JLY20 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1057  -.0035                  .1092                       3
E7 AUG20 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1049  -.0033                  .1082                       3
E7 SEP20 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1086  -.0033                  .1119                       2
E7 OCT20 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1074  -.0033                  .1107                       2
E7 NOV20 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .0992  -.0029                  .1021                       2
E7 DEC20 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .0832  -.0024                  .0856                       2
E7 JAN21 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .0885  -.0023                  .0908                       2
E7 FEB21 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1125  -.0025                  .1150                       2
E7 MAR21 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1461  -.0029                  .1490                       2
E7 APR21 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1449  -.0043                  .1492                       2
E7 MAY21 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1407  -.0044                  .1451                       2
E7 JUN21 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1329  -.0042                  .1371                       2
E7 JLY21 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1294  -.0040                  .1334                       2
E7 AUG21 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1265  -.0038                  .1303                       2
E7 SEP21 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1279  -.0039                  .1318                       1
E7 OCT21 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1258  -.0036                  .1294                       1
E7 NOV21 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1247  -.0032                  .1279                       1
E7 DEC21 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1062  -.0026                  .1088                       1
E7 JAN22 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .0781  -.0026                  .0807                       1
E7 FEB22 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .0957  -.0028                  .0985                       1
E7 MAR22 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1221  -.0033                  .1254                       1
E7 APR22 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1496  -.0045                  .1541                       1
E7 MAY22 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----     .1556  -.0046                  .1602                       1
TOTAL                                                            ACTUAL VOL                 VOLUME    OPEN INT
TOTAL                                                                                                     3984
OH OCT17 NY Harbor ULSD Option CALL
12500      ----      ----      ----      ----     .5275  +.0090                  .5185                       4
13400      ----      ----      ----      ----     .4375  +.0090                  .4285                       1
13500      ----      ----      ----      ----     .4275  +.0090                  .4185
14000      ----      ----      ----      ----     .3775  +.0090                  .3685                       1
14200      ----      ----      ----      ----     .3575  +.0090                  .3485                       2
14300      ----      ----      ----      ----     .3475  +.0090                  .3385                       7
14400      ----      ----      ----      ----     .3375  +.0090                  .3285                       7
14500      ----      ----      ----      ----     .3275  +.0090                  .3185                      53
14600      ----      ----      ----      ----     .3175  +.0090                  .3085                       1
14700      ----      ----      ----      ----     .3075  +.0090                  .2985                      53
14800      ----      ----      ----      ----     .2975  +.0090                  .2885                      77
14900      ----      ----      ----      ----     .2875  +.0090                  .2785                     150
15000      ----      ----      ----      ----     .2775  +.0090                  .2685                     101
15100      ----      ----      ----      ----     .2675  +.0089                  .2586                     200
15200      ----      ----      ----      ----     .2575  +.0089                  .2486                     325
15400      ----      ----      ----      ----     .2376  +.0088                  .2288                      30
15500      ----      ----      ----      ----     .2277  +.0088                  .2189                     176
15800      ----      ----      ----      ----     .1980  +.0086                  .1894                     112
15900      ----      ----      ----      ----     .1881  +.0084                  .1797                       1
16000      ----      ----      ----      ----     .1783  +.0083                  .1700                     429
16100      ----      ----      ----      ----     .1686  +.0083                  .1603                      14
16200      ----      ----      ----      ----     .1589  +.0081                  .1508
16300      ----      ----      ----      ----     .1492  +.0080                  .1412                      11
16400      ----      ----      ----      ----     .1396  +.0078                  .1318                      44
16500     .1350     .1350     .1350     .1350     .1301  +.0077           2      .1224                     567
16600      ----      ----      ----      ----     .1207  +.0075                  .1132                     205
16700      ----      ----      ----      ----     .1114  +.0072                  .1042                      26
16800      ----      ----      ----      ----     .1022  +.0069                  .0953                      25
16900      ----      ----      ----      ----     .0933  +.0066                  .0867                       1
17000      ----      ----      ----      ----     .0846  +.0061                  .0785                     964
17100      ----      ----      ----      ----     .0762  +.0055                  .0707                       8
17200      ----      ----      ----      ----     .0683  +.0050                  .0633                       1
17300      ----      ----      ----      ----     .0607  +.0045          75      .0562                     250
17400     .0570     .0635B    .0499A    .0499A    .0536  +.0040           2      .0496                       3
17500      ----     .0560B     ----     .0437A    .0468  +.0033                  .0435                     312
17600      ----     .0490B     ----     .0380A    .0407  +.0027                  .0380                       9
17700      ----     .0425B    .0328A    .0328A    .0351  +.0022                  .0329                       8
17800      ----     .0365B    .0281A    .0281A    .0300  +.0015                  .0285                      24
17900      ----     .0310B    .0240A    .0240A    .0255  +.0010                  .0245                       1
18000      ----     .0260B    .0204A    .0204A    .0215  +.0005          75      .0210                     163
18100      ----     .0215B    .0173A    .0173A    .0181  +.0002                  .0179                       1
18400      ----     .0110B    .0106A    .0106A    .0105  -.0002                  .0107                       1
18500      ----      ----      ----      ----     .0086  -.0003          50      .0089                     261
18600      ----      ----      ----      ----     .0071  -.0003                  .0074                       1
18700      ----      ----      ----      ----     .0058  -.0003                  .0061                      27
18800      ----      ----      ----      ----     .0047  -.0003                  .0050                       2
19000      ----      ----      ----      ----     .0030  -.0003                  .0033                       8
19500      ----      ----      ----      ----     .0009  -.0002                  .0011                      57
20000      ----      ----      ----      ----     .0002  -.0001                  .0003                     280
20200      ----      ----      ----      ----     .0001  -.0001                  .0002                      10
20400      ----      ----      ----      ----     .0001    UNCH                  .0001                       1
20500      ----      ----      ----      ----     .0001    UNCH                  .0001                       3
21000      ----      ----      ----      ----     .0001    UNCH                  .0001                       2
21400      ----      ----      ----      ----     .0001    UNCH                  .0001                       1
23300      ----      ----      ----      ----     .0001    UNCH                  .0001                       2
23700      ----      ----      ----      ----     .0001    UNCH                  .0001                       1
OH NOV17 NY Harbor ULSD Option CALL
13500      ----      ----      ----      ----     .4216  +.0077                  .4139
13700      ----      ----      ----      ----     .4016  +.0077                  .3939                       4
13900      ----      ----      ----      ----     .3817  +.0077                  .3740                       1
14000      ----      ----      ----      ----     .3718  +.0077                  .3641                       1
14200      ----      ----      ----      ----     .3519  +.0076                  .3443                       1
14300      ----      ----      ----      ----     .3420  +.0076                  .3344                       1
14500      ----      ----      ----      ----     .3223  +.0076                  .3147                      54
14600      ----      ----      ----      ----     .3125  +.0076                  .3049                       1
14700      ----      ----      ----      ----     .3027  +.0075                  .2952                       3
14900      ----      ----      ----      ----     .2832  +.0075                  .2757                       3
15000      ----      ----      ----      ----     .2735  +.0074                  .2661                       7
15100      ----      ----      ----      ----     .2639  +.0075                  .2564                       2
15200      ----      ----      ----      ----     .2543  +.0074                  .2469                       1
15300      ----      ----      ----      ----     .2447  +.0073                  .2374
15400      ----      ----      ----      ----     .2352  +.0073                  .2279                       3
15500      ----      ----      ----      ----     .2258  +.0073                  .2185                      19
15600      ----      ----      ----      ----     .2165  +.0073                  .2092                       1
15700      ----      ----      ----      ----     .2072  +.0072                  .2000                       7
15800      ----      ----      ----      ----     .1980  +.0071                  .1909                       8
15900      ----      ----      ----      ----     .1888  +.0070                  .1818                       4
16000      ----      ----      ----      ----     .1798  +.0070                  .1728                     111
16100      ----      ----      ----      ----     .1709  +.0069                  .1640                       8
16200      ----      ----      ----      ----     .1621  +.0069                  .1552                     101
16300      ----      ----      ----      ----     .1534  +.0067                  .1467                       6
16400      ----      ----      ----      ----     .1448  +.0065                  .1383                       1
16500      ----      ----      ----      ----     .1365  +.0065                  .1300                     301
16600      ----      ----      ----      ----     .1283  +.0063                  .1220                       2
16700      ----      ----      ----      ----     .1203  +.0061                  .1142                       2
16800      ----      ----      ----      ----     .1125  +.0059                  .1066                       9
17000      ----      ----      ----      ----     .0976  +.0056                  .0920                      57
17100      ----     .0865B     ----     .0865B    .0906  +.0054                  .0852                       1
17300      ----     .0836B     ----     .0836B    .0772  +.0049                  .0723                       5
17500     .0670     .0740B    .0628A    .0628A    .0651  +.0044           1      .0607                     762
17600      ----     .0680B     ----     .0576A    .0595  +.0042                  .0553                       2
17800      ----     .0565B     ----     .0481A    .0493  +.0037                  .0456                       1
17900      ----     .0515B     ----     .0438A    .0447  +.0035                  .0412                       1
18000      ----     .0460B     ----     .0399A    .0404  +.0032                  .0372                       4
18500     .0230     .0270B    .0230     .0230     .0231  +.0021          10      .0210                     151
18900      ----     .0160B     ----     .0156A    .0141  +.0014                  .0127                       2
19500     .0045     .0050B    .0045     .0050B    .0061  +.0006           5      .0055                       1
OH DEC17 NY Harbor ULSD Option CALL
11200      ----      ----      ----      ----     .6440  +.0068                  .6372
12500      ----      ----      ----      ----     .5141  +.0066                  .5075                     100
12800      ----      ----      ----      ----     .4843  +.0066                  .4777                     100
13000      ----      ----      ----      ----     .4645  +.0065                  .4580                      50
13500      ----      ----      ----      ----     .4151  +.0063                  .4088                      50
13600      ----      ----      ----      ----     .4052  +.0061                  .3991                      76
13700      ----      ----      ----      ----     .3954  +.0061                  .3893                     104
13800      ----      ----      ----      ----     .3856  +.0060                  .3796                     150
13900      ----      ----      ----      ----     .3759  +.0060                  .3699                      25
14000      ----      ----      ----      ----     .3661  +.0059                  .3602
14100      ----      ----      ----      ----     .3564  +.0058                  .3506                      25
14200      ----      ----      ----      ----     .3467  +.0057                  .3410                     101
14300      ----      ----      ----      ----     .3370  +.0056                  .3314                       4
14400      ----      ----      ----      ----     .3273  +.0055                  .3218                     101
14500      ----      ----      ----      ----     .3177  +.0054                  .3123                     575
14600      ----      ----      ----      ----     .3081  +.0053                  .3028                     533
14700      ----      ----      ----      ----     .2985  +.0052                  .2933                     303
14800      ----      ----      ----      ----     .2890  +.0051                  .2839                     409
14900      ----      ----      ----      ----     .2796  +.0050                  .2746                       6
15000      ----      ----      ----      ----     .2701  +.0048                  .2653                     553
15100      ----      ----      ----      ----     .2608  +.0047                  .2561                     337
15200      ----      ----      ----      ----     .2515  +.0045                  .2470                      49
15300      ----      ----      ----      ----     .2423  +.0043                  .2380                     324
15400      ----      ----      ----      ----     .2331  +.0041                  .2290                     463
15500      ----      ----      ----      ----     .2240  +.0039                  .2201                     740
15600      ----      ----      ----      ----     .2150  +.0036                  .2114                     502
15700      ----      ----      ----      ----     .2062  +.0035                  .2027                     943
15800      ----      ----      ----      ----     .1974  +.0032                  .1942                     179
15900      ----      ----      ----      ----     .1887  +.0029                  .1858                     250
16000      ----      ----      ----      ----     .1802  +.0027                  .1775                     896
16100      ----      ----      ----      ----     .1719  +.0025                  .1694                     444
16200      ----      ----      ----      ----     .1638  +.0024                  .1614                     146
16300      ----      ----      ----      ----     .1558  +.0023                  .1535                     480
16400      ----      ----      ----      ----     .1480  +.0021                  .1459                     121
16500      ----      ----      ----      ----     .1404  +.0020                  .1384                     727
16600      ----      ----      ----      ----     .1330  +.0020                  .1310                     363
16700      ----      ----      ----      ----     .1257  +.0018                  .1239                     452
16800      ----      ----      ----      ----     .1187  +.0017                  .1170                     250
16900      ----      ----      ----      ----     .1119  +.0016                  .1103                     201
17000      ----      ----      ----      ----     .1053  +.0015                  .1038                    1064
17100      ----      ----      ----      ----     .0989  +.0014                  .0975                      72
17200      ----      ----      ----      ----     .0927  +.0012                  .0915                     448
17300      ----      ----      ----      ----     .0868  +.0012                  .0856                     150
17400      ----      ----      ----      ----     .0812  +.0012                  .0800                     100
17500      ----      ----      ----      ----     .0758  +.0011                  .0747                    1951
17600      ----      ----      ----      ----     .0706  +.0010                  .0696                     900
17700      ----      ----      ----      ----     .0657  +.0010         100      .0647           1         103
18000     .0550     .0550     .0550     .0550     .0525  +.0010          55      .0515           3        1255
18100      ----      ----      ----      ----     .0486  +.0009                  .0477                       2
18500      ----      ----      ----      ----     .0349  +.0004                  .0345         200         675
19000      ----      ----      ----      ----     .0221  -.0004                  .0225                     987
19100      ----      ----      ----      ----     .0201  -.0005                  .0206                       2
19200      ----      ----      ----      ----     .0183  -.0005                  .0188                       2
19500      ----      ----      ----      ----     .0136  -.0008          50      .0144                       3
19700      ----      ----      ----      ----     .0111  -.0009                  .0120                       1
19800      ----      ----      ----      ----     .0100  -.0009                  .0109                       6
20000      ----      ----      ----      ----     .0081  -.0009          50      .0090                    1654
20500      ----      ----      ----      ----     .0048  -.0008                  .0056                      25
21000     .0025     .0025     .0025     .0025     .0028  -.0006           1      .0034                    1475
22000      ----      ----      ----      ----     .0009  -.0003                  .0012                     150
OH JAN18 NY Harbor ULSD Option CALL
13000      ----      ----      ----      ----     .4589  +.0059                  .4530                     200
13200      ----      ----      ----      ----     .4394  +.0058                  .4336                     200
13400      ----      ----      ----      ----     .4201  +.0057                  .4144                     200
13500      ----      ----      ----      ----     .4104  +.0056                  .4048                     200
13700      ----      ----      ----      ----     .3913  +.0055                  .3858                       4
13900      ----      ----      ----      ----     .3723  +.0054                  .3669                     103
14200      ----      ----      ----      ----     .3441  +.0052                  .3389                       1
14400      ----      ----      ----      ----     .3255  +.0050                  .3205                       2
14500      ----      ----      ----      ----     .3163  +.0049                  .3114                      13
14700      ----      ----      ----      ----     .2981  +.0047                  .2934                      52
14900      ----      ----      ----      ----     .2802  +.0046                  .2756                       3
15000      ----      ----      ----      ----     .2713  +.0044                  .2669                     210
15100      ----      ----      ----      ----     .2626  +.0044                  .2582                       2
15200      ----      ----      ----      ----     .2539  +.0043                  .2496                       6
15300      ----      ----      ----      ----     .2453  +.0042                  .2411                       2
15400      ----      ----      ----      ----     .2368  +.0040                  .2328                       7
15500      ----      ----      ----      ----     .2284  +.0039                  .2245                      23
15600      ----      ----      ----      ----     .2201  +.0038                  .2163                      15
15700      ----      ----      ----      ----     .2119  +.0036                  .2083                       3
15800      ----      ----      ----      ----     .2038  +.0034                  .2004                      10
15900      ----      ----      ----      ----     .1959  +.0033                  .1926                       2
16000      ----      ----      ----      ----     .1881  +.0032                  .1849                     191
16100      ----      ----      ----      ----     .1804  +.0030                  .1774                      13
16200      ----      ----      ----      ----     .1728  +.0028                  .1700                      13
16300      ----      ----      ----      ----     .1654  +.0026                  .1628                      14
16400      ----      ----      ----      ----     .1581  +.0024                  .1557                       1
16500      ----      ----      ----      ----     .1510  +.0023                  .1487                     165
16600      ----      ----      ----      ----     .1440  +.0021                  .1419                       5
16800      ----      ----      ----      ----     .1304  +.0016                  .1288                      12
16900      ----      ----      ----      ----     .1239  +.0014                  .1225                       2
17000      ----      ----      ----      ----     .1176  +.0012                  .1164                     180
17100      ----      ----      ----      ----     .1116  +.0011                  .1105                       8
17200      ----      ----      ----      ----     .1058  +.0011                  .1047                       5
17300      ----      ----      ----      ----     .1002  +.0010                  .0992                     178
17400      ----      ----      ----      ----     .0947  +.0009                  .0938                      51
17500      ----      ----      ----      ----     .0895  +.0009                  .0886                      52
17600      ----      ----      ----      ----     .0845    ----         100       ----
18000      ----      ----      ----      ----     .0662  +.0009                  .0653                      51
18500      ----      ----      ----      ----     .0473  +.0002                  .0471                       4
19000      ----      ----      ----      ----     .0328  -.0003                  .0331                     115
20000      ----      ----      ----      ----     .0150  -.0006                  .0156                     103
22500      ----      ----      ----      ----     .0017  -.0002                  .0019                     100
OH FEB18 NY Harbor ULSD Option CALL
13700      ----      ----      ----      ----     .3818  +.0045                  .3773                       4
14200      ----      ----      ----      ----     .3363  +.0041                  .3322                       1
14400      ----      ----      ----      ----     .3185  +.0040                  .3145                       1
14500      ----      ----      ----      ----     .3097  +.0039                  .3058                       3
14600      ----      ----      ----      ----     .3010  +.0038                  .2972                       1
14700      ----      ----      ----      ----     .2923  +.0037                  .2886                       1
14800      ----      ----      ----      ----     .2838  +.0036                  .2802                       6
14900      ----      ----      ----      ----     .2753  +.0035                  .2718                       3
15000      ----      ----      ----      ----     .2669  +.0034                  .2635                       8
15100      ----      ----      ----      ----     .2586  +.0033                  .2553                       2
15200      ----      ----      ----      ----     .2504  +.0032                  .2472                       3
15300      ----      ----      ----      ----     .2423  +.0030                  .2393                       7
15400      ----      ----      ----      ----     .2343  +.0029                  .2314                      18
15500      ----      ----      ----      ----     .2265  +.0028                  .2237                      22
15600      ----      ----      ----      ----     .2187  +.0027                  .2160                      14
15700      ----      ----      ----      ----     .2111  +.0026                  .2085                       6
15800      ----      ----      ----      ----     .2036  +.0025                  .2011                      10
15900      ----      ----      ----      ----     .1962  +.0024                  .1938                      12
16000      ----      ----      ----      ----     .1889  +.0023                  .1866                     183
16100      ----      ----      ----      ----     .1817  +.0021                  .1796                       4
16200      ----      ----      ----      ----     .1747  +.0020                  .1727                      23
16300      ----      ----      ----      ----     .1678  +.0019                  .1659                       9
16400      ----      ----      ----      ----     .1611  +.0018                  .1593                       4
16500      ----      ----      ----      ----     .1545  +.0017                  .1528                      32
16600      ----      ----      ----      ----     .1480  +.0016                  .1464                       6
16700      ----      ----      ----      ----     .1417  +.0015                  .1402                       1
16800      ----      ----      ----      ----     .1355  +.0013                  .1342                      12
16900      ----      ----      ----      ----     .1295  +.0013                  .1282                      16
17000      ----      ----      ----      ----     .1236  +.0012                  .1224                      10
17100      ----      ----      ----      ----     .1178  +.0010                  .1168                       9
17200      ----      ----      ----      ----     .1123  +.0010                  .1113                       2
17300      ----      ----      ----      ----     .1068  +.0008                  .1060                       4
17500      ----      ----      ----      ----     .0965  +.0006                  .0959                     270
17700      ----      ----      ----      ----     .0868  +.0004                  .0864                       1
18000      ----      ----      ----      ----     .0736  +.0002                  .0734                      32
18500      ----      ----      ----      ----     .0544  -.0001                  .0545                       5
18600      ----      ----      ----      ----     .0510  -.0002                  .0512                       1
19000      ----      ----      ----      ----     .0391  -.0003                  .0394                      10
19500      ----      ----      ----      ----     .0274  -.0006                  .0280                       2
20000      ----      ----      ----      ----     .0192  -.0006                  .0198                     120
22500      ----      ----      ----      ----     .0029  -.0003                  .0032                     120
OH MAR18 NY Harbor ULSD Option CALL
12000      ----      ----      ----      ----     .5306  +.0044                  .5262
13000      ----      ----      ----      ----     .4361  +.0042                  .4319
13700      ----      ----      ----      ----     .3725  +.0040                  .3685                       4
14200      ----      ----      ----      ----     .3288  +.0037                  .3251                       1
14500      ----      ----      ----      ----     .3034  +.0036                  .2998                     103
14600      ----      ----      ----      ----     .2950  +.0034                  .2916                       1
14700      ----      ----      ----      ----     .2868  +.0034                  .2834                      50
14800      ----      ----      ----      ----     .2787  +.0034                  .2753                       3
14900      ----      ----      ----      ----     .2706  +.0033                  .2673                       1
15000      ----      ----      ----      ----     .2627  +.0033                  .2594                       8
15100      ----      ----      ----      ----     .2548  +.0033                  .2515                     153
15200      ----      ----      ----      ----     .2470  +.0032                  .2438                     106
15300      ----      ----      ----      ----     .2393  +.0032                  .2361                       5
15400      ----      ----      ----      ----     .2318  +.0032                  .2286                       4
15500      ----      ----      ----      ----     .2243  +.0031                  .2212                     275
15600      ----      ----      ----      ----     .2169  +.0030                  .2139                      14
15700      ----      ----      ----      ----     .2097  +.0030                  .2067                     171
15800      ----      ----      ----      ----     .2025  +.0029                  .1996                       8
15900      ----      ----      ----      ----     .1955  +.0028                  .1927                       9
16000      ----      ----      ----      ----     .1886  +.0028                  .1858                     487
16100      ----      ----      ----      ----     .1818  +.0026                  .1792                     178
16200      ----      ----      ----      ----     .1751  +.0025                  .1726                      53
16300      ----      ----      ----      ----     .1686  +.0024                  .1662                      10
16400      ----      ----      ----      ----     .1622  +.0023                  .1599                     275
16500      ----      ----      ----      ----     .1559  +.0022                  .1537                       7
16600      ----      ----      ----      ----     .1498  +.0022                  .1476                       5
16700      ----      ----      ----      ----     .1438  +.0021                  .1417                      53
16800      ----      ----      ----      ----     .1379  +.0020                  .1359                      89
16900      ----      ----      ----      ----     .1322  +.0020                  .1302                       3
17000      ----      ----      ----      ----     .1266  +.0019                  .1247                      82
17100      ----      ----      ----      ----     .1212  +.0018                  .1194                       9
17200      ----      ----      ----      ----     .1159  +.0017                  .1142                       1
17400      ----      ----      ----      ----     .1059  +.0016                  .1043                       1
17500      ----      ----      ----      ----     .1011  +.0015                  .0996                     650
17600      ----      ----      ----      ----     .0965  +.0015                  .0950                       1
17900      ----      ----      ----      ----     .0835  +.0013                  .0822                       1
18000      ----      ----      ----      ----     .0795  +.0013                  .0782                     600
18100      ----      ----      ----      ----     .0756  +.0012                  .0744                       1
18500      ----      ----      ----      ----     .0614  +.0009                  .0605                       5
19000      ----      ----      ----      ----     .0465  +.0006                  .0459                     201
19100      ----      ----      ----      ----     .0439  +.0005                  .0434                       2
19500      ----      ----      ----      ----     .0345  +.0002                  .0343                       1
20000      ----      ----      ----      ----     .0253  +.0001          50      .0252                     350
OH APR18 NY Harbor ULSD Option CALL
14400      ----      ----      ----      ----     .2970  +.0031                  .2939                       1
14500      ----      ----      ----      ----     .2890  +.0031                  .2859                       1
14800      ----      ----      ----      ----     .2656  +.0029                  .2627                       1
14900      ----      ----      ----      ----     .2580  +.0028                  .2552                       2
15000      ----      ----      ----      ----     .2505  +.0028                  .2477                       8
15100      ----      ----      ----      ----     .2431  +.0027                  .2404                       1
15200      ----      ----      ----      ----     .2358  +.0026                  .2332                       3
15300      ----      ----      ----      ----     .2286  +.0026                  .2260                       3
15400      ----      ----      ----      ----     .2215  +.0025                  .2190                       4
15500      ----      ----      ----      ----     .2145  +.0024                  .2121                      21
15600      ----      ----      ----      ----     .2076  +.0024                  .2052                      12
15700      ----      ----      ----      ----     .2007  +.0022                  .1985                       2
15800      ----      ----      ----      ----     .1940  +.0021                  .1919                      12
15900      ----      ----      ----      ----     .1875  +.0022                  .1853                       6
16000      ----      ----      ----      ----     .1810  +.0021                  .1789                     173
16100      ----      ----      ----      ----     .1746  +.0020                  .1726                      11
16200      ----      ----      ----      ----     .1684  +.0019                  .1665                      10
16300      ----      ----      ----      ----     .1623  +.0018                  .1605                      11
16400      ----      ----      ----      ----     .1564  +.0018                  .1546                       2
16500      ----      ----      ----      ----     .1505  +.0017                  .1488                      10
16600      ----      ----      ----      ----     .1448  +.0016                  .1432                       1
16700      ----      ----      ----      ----     .1393  +.0016                  .1377                       1
16800      ----      ----      ----      ----     .1338  +.0014                  .1324                      44
16900      ----      ----      ----      ----     .1285  +.0014                  .1271                       1
17000      ----      ----      ----      ----     .1234  +.0014                  .1220                      10
17100      ----      ----      ----      ----     .1183  +.0013                  .1170                       7
17300      ----      ----      ----      ----     .1086  +.0011                  .1075                       3
17600      ----      ----      ----      ----     .0951  +.0010                  .0941                       1
18000      ----      ----      ----      ----     .0788  +.0007                  .0781                       3
18500      ----      ----      ----      ----     .0611  +.0004                  .0607                       4
18600      ----      ----      ----      ----     .0581  +.0005                  .0576                       1
18700      ----      ----      ----      ----     .0551  +.0004                  .0547                       1
19700      ----      ----      ----      ----     .0320    UNCH                  .0320                       1
OH MAY18 NY Harbor ULSD Option CALL
14400      ----      ----      ----      ----     .2912  +.0032                  .2880                       1
14600      ----      ----      ----      ----     .2759  +.0031                  .2728                       2
15000      ----      ----      ----      ----     .2463  +.0028                  .2435                       4
15100      ----      ----      ----      ----     .2392  +.0028                  .2364                       1
15200      ----      ----      ----      ----     .2321  +.0027                  .2294                       2
15300      ----      ----      ----      ----     .2252  +.0026                  .2226                       1
15400      ----      ----      ----      ----     .2183  +.0025                  .2158                       2
15500      ----      ----      ----      ----     .2115  +.0024                  .2091                      31
15600      ----      ----      ----      ----     .2049  +.0024                  .2025                       9
15700      ----      ----      ----      ----     .1983  +.0023                  .1960                       1
15800      ----      ----      ----      ----     .1918  +.0022                  .1896                       1
15900      ----      ----      ----      ----     .1855  +.0022                  .1833                       7
16000      ----      ----      ----      ----     .1792  +.0021                  .1771                     106
16100      ----      ----      ----      ----     .1731  +.0020                  .1711                       4
16200      ----      ----      ----      ----     .1671  +.0019                  .1652                      11
16400      ----      ----      ----      ----     .1555  +.0018                  .1537                       4
16500      ----      ----      ----      ----     .1499  +.0018                  .1481                       3
16700      ----      ----      ----      ----     .1390  +.0016                  .1374           1           2
16800      ----      ----      ----      ----     .1337  +.0015                  .1322                       7
17000      ----      ----      ----      ----     .1236  +.0015                  .1221                       9
17200      ----      ----      ----      ----     .1138  +.0013                  .1125                       1
17600      ----      ----      ----      ----     .0959  +.0010                  .0949                       1
18000      ----      ----      ----      ----     .0801  +.0008                  .0793                       2
18200      ----      ----      ----      ----     .0730  +.0007                  .0723                       1
18500      ----      ----      ----      ----     .0633  +.0005                  .0628                       2
18700      ----      ----      ----      ----     .0575  +.0005                  .0570                       1
OH JUN18 NY Harbor ULSD Option CALL
14000      ----      ----      ----      ----     .3238  +.0036                  .3202
14400      ----      ----      ----      ----     .2924  +.0033                  .2891                       1
14900      ----      ----      ----      ----     .2552  +.0030                  .2522                     550
15000      ----      ----      ----      ----     .2480  +.0029                  .2451                     250
15100      ----      ----      ----      ----     .2409  +.0029                  .2380                     100
15200      ----      ----      ----      ----     .2339  +.0028                  .2311                     150
15300      ----      ----      ----      ----     .2269  +.0027                  .2242                      50
