DATE,LIBOR
7/13/2015,0.1873
7/14/2015,0.187
7/15/2015,0.186
7/16/2015,0.188
7/17/2015,0.1905
7/20/2015,0.189
7/21/2015,0.185
7/22/2015,0.187
7/23/2015,0.1905
7/24/2015,0.189
7/27/2015,0.189
7/28/2015,0.1908
7/29/2015,0.18955
7/30/2015,0.1885
7/31/2015,0.19175
8/3/2015,0.1905
8/4/2015,0.19075
8/5/2015,0.1935
8/6/2015,0.1915
8/7/2015,0.19125
8/10/2015,0.19255
8/11/2015,0.19345
8/12/2015,0.194
8/13/2015,0.1976
8/14/2015,0.1996
8/17/2015,0.2046
8/18/2015,0.20275
8/19/2015,0.202
8/20/2015,0.2004
8/21/2015,0.1994
8/24/2015,0.1994
8/25/2015,0.19775
8/26/2015,0.198
8/27/2015,0.197
8/28/2015,0.19855
8/31/2015,0.19855
9/1/2015,0.2012
9/2/2015,0.2028
9/3/2015,0.2043
9/4/2015,0.19925
9/7/2015,0.2027
9/8/2015,0.203
9/9/2015,0.204
9/10/2015,0.20635
9/11/2015,0.20655
9/14/2015,0.209
9/15/2015,0.20725
9/16/2015,0.2128
9/17/2015,0.216
9/18/2015,0.1958
9/21/2015,0.195
9/22/2015,0.1956
9/23/2015,0.1939
9/24/2015,0.1943
9/25/2015,0.1943
9/28/2015,0.1936
9/29/2015,0.193
9/30/2015,0.193
10/1/2015,0.194
10/2/2015,0.1947
10/5/2015,0.19375
10/6/2015,0.1941
10/7/2015,0.19605
10/8/2015,0.19545
10/9/2015,0.19685
10/12/2015,0.19325
10/13/2015,0.19575
10/14/2015,0.199
10/15/2015,0.19675
10/16/2015,0.19425
10/19/2015,0.196
10/20/2015,0.1965
10/21/2015,0.1948
10/22/2015,0.19695
10/23/2015,0.1935
10/26/2015,0.19355
10/27/2015,0.19075
10/28/2015,0.1883
10/29/2015,0.193
10/30/2015,0.192
11/2/2015,0.19
11/3/2015,0.1922
11/4/2015,0.1932
11/5/2015,0.19475
11/6/2015,0.1945
11/9/2015,0.197
11/10/2015,0.1955
11/11/2015,0.19575
11/12/2015,0.197
11/13/2015,0.19725
11/16/2015,0.19925
11/17/2015,0.2025
11/18/2015,0.20675
11/19/2015,0.21325
11/20/2015,0.2115
11/23/2015,0.221
11/24/2015,0.225
11/25/2015,0.2315
11/26/2015,0.23275
11/27/2015,0.24375
11/30/2015,0.243
12/1/2015,0.24375
12/2/2015,0.251
12/3/2015,0.2686
12/4/2015,0.2755
12/7/2015,0.287
12/8/2015,0.2931
12/9/2015,0.3005
12/10/2015,0.317
12/11/2015,0.3305
12/14/2015,0.3445
12/15/2015,0.3505
12/16/2015,0.36
