W Wheat Futures
DEC16     420'4     422'2     413'0     420'2     420'2     +'2       59981      420'0       60252      284442
MAR17     440'2     442'4     433'0     441'4     440'6     +'6       22713      440'0       22212      104419
MAY17     453'6     456'0     447'2     455'4     455'2    +1'2        5264      454'0        5751       25619
JLY17     465'4     467'2     458'4     466'2     467'0    +1'4        3391      465'4        3939       44814
SEP17     479'6     481'4B    473'4A    481'0     481'0    +1'2         971      479'6         867        5512
DEC17     496'4     498'4     490'6     497'4     497'4    +1'0         761      496'4         868        9461
MAR18      ----      ----     506'6A    509'4B    510'4     +'4          13      510'0          16        2214
6800       ----      ----      ----      ----       1'1    UNCH                    1'1
6850       ----      ----      ----      ----       1'1    UNCH                    1'1
6900       ----      ----      ----      ----       1'1     +'1                    1'0
6950       ----      ----      ----      ----       1'0    UNCH                    1'0
7000       ----      ----      ----      ----       1'0     +'1                     '7
7050       ----      ----      ----      ----       1'0     +'1                     '7
7100       ----      ----      ----      ----        '7    UNCH                     '7
7150       ----      ----      ----      ----        '7    UNCH                     '7
7200       ----      ----      ----      ----        '7     +'1                     '6
7250       ----      ----      ----      ----        '6    UNCH                     '6
7300       ----      ----      ----      ----        '6    UNCH                     '6

WDF DEC16 Short-Dated New Crop Wheat Option PUT
3300       ----      ----      ----      ----        '1    UNCH                     '1
3350       ----      ----      ----      ----        '1    UNCH                     '1
3400       ----      ----      ----      ----        '1    UNCH                     '1
3450       ----      ----      ----      ----        '1    UNCH                     '1
3500       ----      ----      ----      ----        '1    UNCH                     '1
3550       ----      ----      ----      ----        '1    UNCH                     '1
3600       ----      ----      ----      ----        '1    UNCH                     '1
3650       ----      ----      ----      ----        '1    UNCH                     '1
3700       ----      ----      ----      ----        '1    UNCH                     '1
3750       ----      ----      ----      ----        '1    UNCH                     '1
3800       ----      ----      ----      ----        '1    UNCH                     '1
3850       ----      ----      ----      ----        '1    UNCH                     '1
3900       ----      ----      ----      ----        '1    UNCH                     '1
3950       ----      ----      ----      ----        '1    UNCH                     '1
4000       ----      ----      ----      ----        '1     -'1                     '2
4050       ----      ----      ----      ----        '2    UNCH                     '2
4100       ----      ----      ----      ----        '3    UNCH                     '3
4150       ----      ----      ----      ----        '4    UNCH                     '4
4200       ----      ----      ----      ----        '5     -'1                     '6
4250       ----      ----      ----      ----       1'0    UNCH                    1'0
4300       ----      ----      ----      ----       1'3     -'1                    1'4
4350       ----      ----      ----      ----       2'0     -'1                    2'1
4400       ----      ----      ----      ----       2'6     -'3                    3'1
4450       ----      ----      ----      ----       3'7     -'4                    4'3
4500       ----      ----      ----      ----       5'3     -'4                    5'7                      80
4550       ----      ----      ----      ----       7'2     -'5                    7'7
4600       ----      ----      ----      ----       9'3     -'6                   10'1
4650       ----      ----      ----      ----      11'7     -'7                   12'6
4700       ----      ----      ----      ----      14'6     -'7                   15'5
4750       ----      ----      ----      ----      17'6    -1'0                   18'6
4800       ----      ----      ----      ----      21'1    -1'1                   22'2
4850       ----      ----      ----      ----      24'5    -1'2                   25'7
4900       ----      ----      ----      ----      28'4    -1'2                   29'6
4950       ----      ----      ----      ----      32'3    -1'3                   33'6
5000       ----      ----      ----      ----      36'5    -1'3                   38'0
5050       ----      ----      ----      ----      40'7    -1'4                   42'3
5100       ----      ----      ----      ----      45'3    -1'3                   46'6
5150       ----      ----      ----      ----      49'7    -1'4                   51'3
5200       ----      ----      ----      ----      54'4    -1'4                   56'0
5250       ----      ----      ----      ----      59'2    -1'4                   60'6
5300       ----      ----      ----      ----      64'0    -1'4                   65'4
5350       ----      ----      ----      ----      68'7    -1'4                   70'3
5400       ----      ----      ----      ----      73'6    -1'4                   75'2
5450       ----      ----      ----      ----      78'5    -1'4                   80'1
5500       ----      ----      ----      ----      83'4    -1'4                   85'0
5550       ----      ----      ----      ----      88'3    -1'4                   89'7
5600       ----      ----      ----      ----      93'2    -1'5                   94'7
5650       ----      ----      ----      ----      98'2    -1'4                   99'6
