                PRELIMINARY PRICES AS OF 01/22/19 09:30 AM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
BZS BZ TAM SINGAPORE FUTURE
MAR19      ----      ----      ----      ----       .00    UNCH                    .00
APR19      ----      ----      ----      ----       .00    UNCH                    .00
MAY19      ----      ----      ----      ----       .00    UNCH                    .00
CAY CRUDE OIL CS1 SYNTHT
MAR19      ----      ----      ----      ----      ----    UNCH                   -.26
APR19      ----      ----      ----      ----      ----    UNCH                   -.34
MAY19      ----      ----      ----      ----      ----    UNCH                   -.35
JUN19      ----      ----      ----      ----      ----    UNCH                   -.28
JLY19      ----      ----      ----      ----      ----    UNCH                   -.16
AUG19      ----      ----      ----      ----      ----    UNCH                   -.08
SEP19      ----      ----      ----      ----      ----    UNCH                   -.02
OCT19      ----      ----      ----      ----      ----    UNCH                    .02
NOV19      ----      ----      ----      ----      ----    UNCH                    .06
DEC19      ----      ----      ----      ----      ----    UNCH                    .08
JAN20      ----      ----      ----      ----      ----    UNCH                    .07
FEB20      ----      ----      ----      ----      ----    UNCH                    .06
MAR20      ----      ----      ----      ----      ----    UNCH                    .07
APR20      ----      ----      ----      ----      ----    UNCH                    .06
MAY20      ----      ----      ----      ----      ----    UNCH                    .07
JUN20      ----      ----      ----      ----      ----    UNCH                    .11
JLY20      ----      ----      ----      ----      ----    UNCH                    .09
AUG20      ----      ----      ----      ----      ----    UNCH                    .07
SEP20      ----      ----      ----      ----      ----    UNCH                    .07
OCT20      ----      ----      ----      ----      ----    UNCH                    .05
NOV20      ----      ----      ----      ----      ----    UNCH                    .03
DEC20      ----      ----      ----      ----      ----    UNCH                    .10
JAN21      ----      ----      ----      ----      ----    UNCH                    .12
FEB21      ----      ----      ----      ----      ----    UNCH                    .09
MAR21      ----      ----      ----      ----      ----    UNCH                    .10
APR21      ----      ----      ----      ----      ----    UNCH                    .06
MAY21      ----      ----      ----      ----      ----    UNCH                    .05
JUN21      ----      ----      ----      ----      ----    UNCH                    .08
JLY21      ----      ----      ----      ----      ----    UNCH                    .03
AUG21      ----      ----      ----      ----      ----    UNCH                    .04
SEP21      ----      ----      ----      ----      ----    UNCH                    .06
OCT21      ----      ----      ----      ----      ----    UNCH                    .03
NOV21      ----      ----      ----      ----      ----    UNCH                    .04
DEC21      ----      ----      ----      ----      ----    UNCH                    .09
JAN22      ----      ----      ----      ----      ----    UNCH                    .04
FEB22      ----      ----      ----      ----      ----    UNCH                    .07
MAR22      ----      ----      ----      ----      ----    UNCH                    .05
APR22      ----      ----      ----      ----      ----    UNCH                    .08
MAY22      ----      ----      ----      ----      ----    UNCH                    .00
JUN22      ----      ----      ----      ----      ----    UNCH                    .05
JLY22      ----      ----      ----      ----      ----    UNCH                    .01
AUG22      ----      ----      ----      ----      ----    UNCH                    .01
SEP22      ----      ----      ----      ----      ----    UNCH                    .00
OCT22      ----      ----      ----      ----      ----    UNCH                    .02
NOV22      ----      ----      ----      ----      ----    UNCH                    .01
DEC22      ----      ----      ----      ----      ----    UNCH                    .04
JAN23      ----      ----      ----      ----      ----    UNCH                    .03
FEB23      ----      ----      ----      ----      ----    UNCH                    .02
MAR23      ----      ----      ----      ----      ----    UNCH                    .01
APR23      ----      ----      ----      ----      ----    UNCH                    .02
MAY23      ----      ----      ----      ----      ----    UNCH                    .00
JUN23      ----      ----      ----      ----      ----    UNCH                    .02
JLY23      ----      ----      ----      ----      ----    UNCH                    .00
AUG23      ----      ----      ----      ----      ----    UNCH                    .01
SEP23      ----      ----      ----      ----      ----    UNCH                   -.02
OCT23      ----      ----      ----      ----      ----    UNCH                    .01
NOV23      ----      ----      ----      ----      ----    UNCH                   -.02
DEC23      ----      ----      ----      ----      ----    UNCH                    .00
JAN24      ----      ----      ----      ----      ----    UNCH                    .01
FEB24      ----      ----      ----      ----      ----    UNCH                    .07
MAR24      ----      ----      ----      ----      ----    UNCH                    .01
APR24      ----      ----      ----      ----      ----    UNCH                   -.01
MAY24      ----      ----      ----      ----      ----    UNCH                   -.02
