                PRELIMINARY PRICES AS OF 07/19/19 09:30 AM (CST)
SEP19      ----      ----      ----      ----      ----    UNCH                -.04750
OCT19      ----      ----      ----      ----      ----    UNCH                -.04750
NOV19      ----      ----      ----      ----      ----    UNCH                -.04250
DEC19      ----      ----      ----      ----      ----    UNCH                -.03750
JAN20      ----      ----      ----      ----      ----    UNCH                -.02750
FEB20      ----      ----      ----      ----      ----    UNCH                -.00500
A2 WTI OIL CS1 SYNTHT
AUG19      ----      ----      ----      ----      ----    UNCH                   -.12
SEP19      ----      ----      ----      ----      ----    UNCH                   -.02
OCT19      ----      ----      ----      ----      ----    UNCH                    .01
NOV19      ----      ----      ----      ----      ----    UNCH                    .07
DEC19      ----      ----      ----      ----      ----    UNCH                    .14
JAN20      ----      ----      ----      ----      ----    UNCH                    .19
FEB20      ----      ----      ----      ----      ----    UNCH                    .23
MAR20      ----      ----      ----      ----      ----    UNCH                    .24
APR20      ----      ----      ----      ----      ----    UNCH                    .23
MAY20      ----      ----      ----      ----      ----    UNCH                    .23
JUN20      ----      ----      ----      ----      ----    UNCH                    .23
JLY20      ----      ----      ----      ----      ----    UNCH                    .21
AUG20      ----      ----      ----      ----      ----    UNCH                    .20
SEP20      ----      ----      ----      ----      ----    UNCH                    .18
OCT20      ----      ----      ----      ----      ----    UNCH                    .16
NOV20      ----      ----      ----      ----      ----    UNCH                    .14
DEC20      ----      ----      ----      ----      ----    UNCH                    .19
JAN21      ----      ----      ----      ----      ----    UNCH                    .17
FEB21      ----      ----      ----      ----      ----    UNCH                    .15
MAR21      ----      ----      ----      ----      ----    UNCH                    .12
APR21      ----      ----      ----      ----      ----    UNCH                    .10
MAY21      ----      ----      ----      ----      ----    UNCH                    .09
JUN21      ----      ----      ----      ----      ----    UNCH                    .12
JLY21      ----      ----      ----      ----      ----    UNCH                    .11
AUG21      ----      ----      ----      ----      ----    UNCH                    .08
SEP21      ----      ----      ----      ----      ----    UNCH                    .06
OCT21      ----      ----      ----      ----      ----    UNCH                    .04
NOV21      ----      ----      ----      ----      ----    UNCH                    .02
DEC21      ----      ----      ----      ----      ----    UNCH                    .08
JAN22      ----      ----      ----      ----      ----    UNCH                    .07
FEB22      ----      ----      ----      ----      ----    UNCH                    .06
MAR22      ----      ----      ----      ----      ----    UNCH                    .05
APR22      ----      ----      ----      ----      ----    UNCH                    .02
MAY22      ----      ----      ----      ----      ----    UNCH                    .01
JUN22      ----      ----      ----      ----      ----    UNCH                    .05
JLY22      ----      ----      ----      ----      ----    UNCH                    .03
AUG22      ----      ----      ----      ----      ----    UNCH                   -.01
SEP22      ----      ----      ----      ----      ----    UNCH                   -.03
OCT22      ----      ----      ----      ----      ----    UNCH                   -.06
NOV22      ----      ----      ----      ----      ----    UNCH                   -.08
DEC22      ----      ----      ----      ----      ----    UNCH                   -.01
JAN23      ----      ----      ----      ----      ----    UNCH                   -.02
FEB23      ----      ----      ----      ----      ----    UNCH                   -.01
MAR23      ----      ----      ----      ----      ----    UNCH                   -.01
APR23      ----      ----      ----      ----      ----    UNCH                   -.01
MAY23      ----      ----      ----      ----      ----    UNCH                    .00
JUN23      ----      ----      ----      ----      ----    UNCH                    .01
JLY23      ----      ----      ----      ----      ----    UNCH                   -.02
AUG23      ----      ----      ----      ----      ----    UNCH                   -.05
SEP23      ----      ----      ----      ----      ----    UNCH                   -.08
OCT23      ----      ----      ----      ----      ----    UNCH                   -.10
NOV23      ----      ----      ----      ----      ----    UNCH                   -.15
DEC23      ----      ----      ----      ----      ----    UNCH                   -.06
JAN24      ----      ----      ----      ----      ----    UNCH                   -.07
FEB24      ----      ----      ----      ----      ----    UNCH                    .03
MAR24      ----      ----      ----      ----      ----    UNCH                   -.04
APR24      ----      ----      ----      ----      ----    UNCH                    .07
MAY24      ----      ----      ----      ----      ----    UNCH                   -.08
JUN24      ----      ----      ----      ----      ----    UNCH                   -.06
JLY24      ----      ----      ----      ----      ----    UNCH                   -.05
AUG24      ----      ----      ----      ----      ----    UNCH                   -.02
SEP24      ----      ----      ----      ----      ----    UNCH                   -.05
OCT24      ----      ----      ----      ----      ----    UNCH                   -.14
NOV24      ----      ----      ----      ----      ----    UNCH                    .01
BH NY Harbor ULSD Bullet Futures
AUG19      ----      ----      ----      ----      ----    UNCH                 1.8625                      13
SEP19      ----      ----      ----      ----      ----    UNCH                 1.8699                      13
OCT19      ----      ----      ----      ----      ----    UNCH                 1.8764                      13
NOV19      ----      ----      ----      ----      ----    UNCH                 1.8812                      13
DEC19      ----      ----      ----      ----      ----    UNCH                 1.8832                      13
JAN20      ----      ----      ----      ----      ----    UNCH                 1.8839                      10
FEB20      ----      ----      ----      ----      ----    UNCH                 1.8798                      10
MAR20      ----      ----      ----      ----      ----    UNCH                 1.8713                      10
APR20      ----      ----      ----      ----      ----    UNCH                 1.8584                      10
MAY20      ----      ----      ----      ----      ----    UNCH                 1.8496                      10
JUN20      ----      ----      ----      ----      ----    UNCH                 1.8438                      10
JLY20      ----      ----      ----      ----      ----    UNCH                 1.8443                      10
AUG20      ----      ----      ----      ----      ----    UNCH                 1.8462                      10
SEP20      ----      ----      ----      ----      ----    UNCH                 1.8487                      10
OCT20      ----      ----      ----      ----      ----    UNCH                 1.8507                      10
NOV20      ----      ----      ----      ----      ----    UNCH                 1.8520                      10
DEC20      ----      ----      ----      ----      ----    UNCH                 1.8512                      10
JAN21      ----      ----      ----      ----      ----    UNCH                 1.8528
FEB21      ----      ----      ----      ----      ----    UNCH                 1.8495
MAR21      ----      ----      ----      ----      ----    UNCH                 1.8407
APR21      ----      ----      ----      ----      ----    UNCH                 1.8259
MAY21      ----      ----      ----      ----      ----    UNCH                 1.8163
JUN21      ----      ----      ----      ----      ----    UNCH                 1.8119
JLY21      ----      ----      ----      ----      ----    UNCH                 1.8130
AUG21      ----      ----      ----      ----      ----    UNCH                 1.8145
SEP21      ----      ----      ----      ----      ----    UNCH                 1.8163
OCT21      ----      ----      ----      ----      ----    UNCH                 1.8195
NOV21      ----      ----      ----      ----      ----    UNCH                 1.8202
DEC21      ----      ----      ----      ----      ----    UNCH                 1.8190
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                                                      185
BZ1 Brent Crude Oil TAM Singapore Future
SEP19      ----      ----      ----      ----     62.70    -.83                  63.53
OCT19      ----      ----      ----      ----     62.41    -.70                  63.11
NOV19      ----      ----      ----      ----     62.11    -.64                  62.75
BZ2 Brent Crude Oil TAM LONDON Future
SEP19      ----      ----      ----      ----      ----    UNCH                  61.77
OCT19      ----      ----      ----      ----      ----    UNCH                  61.43
NOV19      ----      ----      ----      ----      ----    UNCH                  61.12
BZL BZ TAM LONDON FUTURE
SEP19      ----      ----      ----      ----      ----    UNCH                    .00
OCT19      ----      ----      ----      ----      ----    UNCH                    .00
NOV19      ----      ----      ----      ----      ----    UNCH                    .00
BZS BZ TAM SINGAPORE FUTURE
SEP19      ----      ----      ----      ----       .00    UNCH                    .00
OCT19      ----      ----      ----      ----       .00    UNCH                    .00
NOV19      ----      ----      ----      ----       .00    UNCH                    .00
DEC19      ----      ----      ----      ----       .00    UNCH                    .00
CAY CRUDE OIL CS1 SYNTHT
AUG19      ----      ----      ----      ----      ----    UNCH                   -.12
SEP19      ----      ----      ----      ----      ----    UNCH                   -.02
OCT19      ----      ----      ----      ----      ----    UNCH                    .01
NOV19      ----      ----      ----      ----      ----    UNCH                    .07
DEC19      ----      ----      ----      ----      ----    UNCH                    .14
JAN20      ----      ----      ----      ----      ----    UNCH                    .19
FEB20      ----      ----      ----      ----      ----    UNCH                    .23
MAR20      ----      ----      ----      ----      ----    UNCH                    .24
APR20      ----      ----      ----      ----      ----    UNCH                    .23
MAY20      ----      ----      ----      ----      ----    UNCH                    .23
JUN20      ----      ----      ----      ----      ----    UNCH                    .23
JLY20      ----      ----      ----      ----      ----    UNCH                    .21
AUG20      ----      ----      ----      ----      ----    UNCH                    .20
SEP20      ----      ----      ----      ----      ----    UNCH                    .18
OCT20      ----      ----      ----      ----      ----    UNCH                    .16
NOV20      ----      ----      ----      ----      ----    UNCH                    .14
DEC20      ----      ----      ----      ----      ----    UNCH                    .19
JAN21      ----      ----      ----      ----      ----    UNCH                    .17
FEB21      ----      ----      ----      ----      ----    UNCH                    .15
MAR21      ----      ----      ----      ----      ----    UNCH                    .12
APR21      ----      ----      ----      ----      ----    UNCH                    .10
MAY21      ----      ----      ----      ----      ----    UNCH                    .09
JUN21      ----      ----      ----      ----      ----    UNCH                    .12
JLY21      ----      ----      ----      ----      ----    UNCH                    .11
AUG21      ----      ----      ----      ----      ----    UNCH                    .08
SEP21      ----      ----      ----      ----      ----    UNCH                    .06
OCT21      ----      ----      ----      ----      ----    UNCH                    .04
NOV21      ----      ----      ----      ----      ----    UNCH                    .02
DEC21      ----      ----      ----      ----      ----    UNCH                    .08
JAN22      ----      ----      ----      ----      ----    UNCH                    .07
FEB22      ----      ----      ----      ----      ----    UNCH                    .06
MAR22      ----      ----      ----      ----      ----    UNCH                    .05
APR22      ----      ----      ----      ----      ----    UNCH                    .02
MAY22      ----      ----      ----      ----      ----    UNCH                    .01
JUN22      ----      ----      ----      ----      ----    UNCH                    .05
JLY22      ----      ----      ----      ----      ----    UNCH                    .03
AUG22      ----      ----      ----      ----      ----    UNCH                   -.01
SEP22      ----      ----      ----      ----      ----    UNCH                   -.03
OCT22      ----      ----      ----      ----      ----    UNCH                   -.06
NOV22      ----      ----      ----      ----      ----    UNCH                   -.08
DEC22      ----      ----      ----      ----      ----    UNCH                   -.01
JAN23      ----      ----      ----      ----      ----    UNCH                   -.02
FEB23      ----      ----      ----      ----      ----    UNCH                   -.01
MAR23      ----      ----      ----      ----      ----    UNCH                   -.01
APR23      ----      ----      ----      ----      ----    UNCH                   -.01
MAY23      ----      ----      ----      ----      ----    UNCH                    .00
JUN23      ----      ----      ----      ----      ----    UNCH                    .01
JLY23      ----      ----      ----      ----      ----    UNCH                   -.02
AUG23      ----      ----      ----      ----      ----    UNCH                   -.05
SEP23      ----      ----      ----      ----      ----    UNCH                   -.08
OCT23      ----      ----      ----      ----      ----    UNCH                   -.10
NOV23      ----      ----      ----      ----      ----    UNCH                   -.15
DEC23      ----      ----      ----      ----      ----    UNCH                   -.06
JAN24      ----      ----      ----      ----      ----    UNCH                   -.07
FEB24      ----      ----      ----      ----      ----    UNCH                    .03
MAR24      ----      ----      ----      ----      ----    UNCH                   -.04
APR24      ----      ----      ----      ----      ----    UNCH                    .07
MAY24      ----      ----      ----      ----      ----    UNCH                   -.08
JUN24      ----      ----      ----      ----      ----    UNCH                   -.06
JLY24      ----      ----      ----      ----      ----    UNCH                   -.05
AUG24      ----      ----      ----      ----      ----    UNCH                   -.02
SEP24      ----      ----      ----      ----      ----    UNCH                   -.05
OCT24      ----      ----      ----      ----      ----    UNCH                   -.14
NOV24      ----      ----      ----      ----      ----    UNCH                    .01
DEC24      ----      ----      ----      ----      ----    UNCH                    .08
JAN25      ----      ----      ----      ----      ----    UNCH                   -.05
FEB25      ----      ----      ----      ----      ----    UNCH                    .02
MAR25      ----      ----      ----      ----      ----    UNCH                   -.06
APR25      ----      ----      ----      ----      ----    UNCH                    .01
MAY25      ----      ----      ----      ----      ----    UNCH                   -.02
JUN25      ----      ----      ----      ----      ----    UNCH                   -.05
JLY25      ----      ----      ----      ----      ----    UNCH                   -.05
AUG25      ----      ----      ----      ----      ----    UNCH                    .03
SEP25      ----      ----      ----      ----      ----    UNCH                   -.07
OCT25      ----      ----      ----      ----      ----    UNCH                   -.05
NOV25      ----      ----      ----      ----      ----    UNCH                   -.03
DEC25      ----      ----      ----      ----      ----    UNCH                    .00
JAN26      ----      ----      ----      ----      ----    UNCH                    .01
FEB26      ----      ----      ----      ----      ----    UNCH                   -.01
MAR26      ----      ----      ----      ----      ----    UNCH                    .00
APR26      ----      ----      ----      ----      ----    UNCH                   -.01
MAY26      ----      ----      ----      ----      ----    UNCH                    .04
JUN26      ----      ----      ----      ----      ----    UNCH                    .00
JLY26      ----      ----      ----      ----      ----    UNCH                   -.01
AUG26      ----      ----      ----      ----      ----    UNCH                   -.03
SEP26      ----      ----      ----      ----      ----    UNCH                   -.02
OCT26      ----      ----      ----      ----      ----    UNCH                   -.04
NOV26      ----      ----      ----      ----      ----    UNCH                   -.05
DEC26      ----      ----      ----      ----      ----    UNCH                    .04
JAN27      ----      ----      ----      ----      ----    UNCH                    .02
FEB27      ----      ----      ----      ----      ----    UNCH                   -.06
MAR27      ----      ----      ----      ----      ----    UNCH                   -.02
APR27      ----      ----      ----      ----      ----    UNCH                   -.01
MAY27      ----      ----      ----      ----      ----    UNCH                    .05
JUN27      ----      ----      ----      ----      ----    UNCH                   -.05
JLY27      ----      ----      ----      ----      ----    UNCH                   -.01
AUG27      ----      ----      ----      ----      ----    UNCH                    .00
SEP27      ----      ----      ----      ----      ----    UNCH                   -.02
OCT27      ----      ----      ----      ----      ----    UNCH                   -.05
NOV27      ----      ----      ----      ----      ----    UNCH                    .04
DEC27      ----      ----      ----      ----      ----    UNCH                    .07
JAN28      ----      ----      ----      ----      ----    UNCH                   -.01
FEB28      ----      ----      ----      ----      ----    UNCH                    .00
MAR28      ----      ----      ----      ----      ----    UNCH                    .00
APR28      ----      ----      ----      ----      ----    UNCH                    .00
MAY28      ----      ----      ----      ----      ----    UNCH                    .00
JUN28      ----      ----      ----      ----      ----    UNCH                    .00
JLY28      ----      ----      ----      ----      ----    UNCH                    .00
AUG28      ----      ----      ----      ----      ----    UNCH                   -.01
SEP28      ----      ----      ----      ----      ----    UNCH                    .00
OCT28      ----      ----      ----      ----      ----    UNCH                    .00
NOV28      ----      ----      ----      ----      ----    UNCH                   -.05
DEC28      ----      ----      ----      ----      ----    UNCH                    .00
JAN29      ----      ----      ----      ----      ----    UNCH                    .00
FEB29      ----      ----      ----      ----      ----    UNCH                    .00
MAR29      ----      ----      ----      ----      ----    UNCH                    .00
APR29      ----      ----      ----      ----      ----    UNCH                    .00
MAY29      ----      ----      ----      ----      ----    UNCH                    .00
JUN29      ----      ----      ----      ----      ----    UNCH                    .00
JLY29      ----      ----      ----      ----      ----    UNCH                    .00
AUG29      ----      ----      ----      ----      ----    UNCH                    .00
SEP29      ----      ----      ----      ----      ----    UNCH                    .00
OCT29      ----      ----      ----      ----      ----    UNCH                    .00
NOV29      ----      ----      ----      ----      ----    UNCH                    .00
DEC29      ----      ----      ----      ----      ----    UNCH                    .00
JAN30      ----      ----      ----      ----      ----    UNCH                    .00
CL Light Sweet Crude Oil Futures
AUG19     55.72     56.36     55.53     55.72      ----    UNCH       43488      55.30      215361       55908
SEP19     55.84     56.49     55.66     55.85      ----    UNCH      262027      55.42      764491      439205
OCT19     55.90     56.52     55.69     55.87      ----    UNCH       17137      55.44      103384      165484
NOV19     55.90     56.52     55.71     55.88A     ----    UNCH        6269      55.43       53640      133824
DEC19     55.76     56.45     55.67     55.82      ----    UNCH       13010      55.36       86325      299610
JAN20     56.00     56.30     55.54     55.67      ----    UNCH        2197      55.22       20679      102336
FEB20     55.88     56.02     55.42     55.47      ----    UNCH         721      55.03        8904       52316
MAR20     55.41     55.77     55.20     55.25      ----    UNCH        1250      54.80       10580       58061
APR20     55.22     55.46     55.00     55.00      ----    UNCH         345      54.56        4957       37745
MAY20     54.92     55.18     54.76     54.82      ----    UNCH         246      54.33        4326       38257
JUN20     54.63     55.13B    54.52A    54.60      ----    UNCH        2884      54.10       27313      146278
JLY20     54.73     54.73     54.66A    54.66A     ----    UNCH          33      53.87        1411       33061
AUG20      ----     54.12B     ----     54.12B     ----    UNCH          13      53.66         628       26128
SEP20      ----     53.96B     ----     53.96B     ----    UNCH         343      53.46        2606       43642
OCT20      ----     53.78B     ----     53.78B     ----    UNCH          11      53.28         317       28108
NOV20      ----     53.62B     ----     53.62B     ----    UNCH          14      53.12         483       22897
DEC20     53.56     53.97B    53.44A    53.50      ----    UNCH        3825      52.98       30136      154507
JAN21      ----     53.20B     ----     53.20B     ----    UNCH           7      52.79         648       20867
FEB21      ----     52.97B     ----     52.97B     ----    UNCH           2      52.62         215       10237
MAR21      ----     52.86B     ----     52.86B     ----    UNCH          30      52.47         610       10802
APR21      ----     52.67B     ----     52.67B     ----    UNCH                  52.35          15        5317
MAY21      ----     52.56B     ----     52.56B     ----    UNCH                  52.25         297        4403
JUN21     52.70     53.02     52.69     52.69      ----    UNCH         685      52.16        8097       48785
JLY21      ----     52.29B     ----     52.29B     ----    UNCH                  52.04         250        7764
AUG21      ----     52.08B     ----     52.08B     ----    UNCH                  51.93          21        4688
SEP21      ----     51.97B     ----     51.97B     ----    UNCH                  51.85         771        7643
OCT21      ----     51.81B     ----     51.81B     ----    UNCH                  51.79                    4868
NOV21      ----      ----      ----      ----      ----    UNCH                  51.75         200        3682
DEC21     52.15     52.62     52.13A    52.28A     ----    UNCH         898      51.73       11788       56694
JAN22      ----      ----      ----      ----      ----    UNCH                  51.65         220        1916
FEB22      ----      ----      ----      ----      ----    UNCH                  51.58          20        2231
MAR22      ----      ----      ----      ----      ----    UNCH                  51.52          20        3958
APR22      ----      ----      ----      ----      ----    UNCH                  51.47          20        1231
MAY22      ----      ----      ----      ----      ----    UNCH                  51.45          20        1762
JUN22      ----     52.25B     ----     52.04A     ----    UNCH          55      51.44        1083       10091
JLY22      ----      ----      ----      ----      ----    UNCH                  51.39          20        2178
AUG22      ----      ----      ----      ----      ----    UNCH                  51.36          20        4386
SEP22      ----      ----      ----      ----      ----    UNCH                  51.37          20         957
OCT22      ----      ----      ----      ----      ----    UNCH                  51.40          20         355
NOV22      ----      ----      ----      ----      ----    UNCH                  51.46          20         403
DEC22     52.28     52.35B    52.05A    52.05A     ----    UNCH         173      51.54        3349       24217
JAN23      ----      ----      ----      ----      ----    UNCH                  51.55                     200
FEB23      ----      ----      ----      ----      ----    UNCH                  51.57                     100
MAR23      ----      ----      ----      ----      ----    UNCH                  51.58                     200
APR23      ----      ----      ----      ----      ----    UNCH                  51.59                     100
MAY23      ----      ----      ----      ----      ----    UNCH                  51.60                       1
JUN23      ----      ----      ----      ----      ----    UNCH                  51.60          16         564
JLY23      ----      ----      ----      ----      ----    UNCH                  51.59                       1
AUG23      ----      ----      ----      ----      ----    UNCH                  51.61
SEP23      ----      ----      ----      ----      ----    UNCH                  51.66
OCT23      ----      ----      ----      ----      ----    UNCH                  51.74
NOV23      ----      ----      ----      ----      ----    UNCH                  51.84
DEC23      ----      ----      ----      ----      ----    UNCH          44      51.99        1298        7338
JAN24      ----      ----      ----      ----      ----    UNCH                  52.05          10          36
FEB24      ----      ----      ----      ----      ----    UNCH                  52.12          10          36
MAR24      ----      ----      ----      ----      ----    UNCH                  52.09          10          36
APR24      ----      ----      ----      ----      ----    UNCH                  52.13          10          36
MAY24      ----      ----      ----      ----      ----    UNCH                  52.06          10          36
JUN24      ----      ----      ----      ----      ----    UNCH                  52.14          10          92
JLY24      ----      ----      ----      ----      ----    UNCH                  52.20          10          36
AUG24      ----      ----      ----      ----      ----    UNCH                  52.25          10          36
SEP24      ----      ----      ----      ----      ----    UNCH                  52.27          10          36
OCT24      ----      ----      ----      ----      ----    UNCH                  52.32          10          36
NOV24      ----      ----      ----      ----      ----    UNCH                  52.46          10          36
DEC24      ----      ----      ----      ----      ----    UNCH                  52.45         434        1951
JAN25      ----      ----      ----      ----      ----    UNCH                  52.37
FEB25      ----      ----      ----      ----      ----    UNCH                  52.42
MAR25      ----      ----      ----      ----      ----    UNCH                  52.40
APR25      ----      ----      ----      ----      ----    UNCH                  52.46
MAY25      ----      ----      ----      ----      ----    UNCH                  52.45
JUN25      ----      ----      ----      ----      ----    UNCH                  52.47
JLY25      ----      ----      ----      ----      ----    UNCH                  52.52
AUG25      ----      ----      ----      ----      ----    UNCH                  52.57
SEP25      ----      ----      ----      ----      ----    UNCH                  52.54
OCT25      ----      ----      ----      ----      ----    UNCH                  52.61
NOV25      ----      ----      ----      ----      ----    UNCH                  52.66
DEC25      ----      ----      ----      ----      ----    UNCH                  52.69         207         993
JAN26      ----      ----      ----      ----      ----    UNCH                  52.69
FEB26      ----      ----      ----      ----      ----    UNCH                  52.68
MAR26      ----      ----      ----      ----      ----    UNCH                  52.69
APR26      ----      ----      ----      ----      ----    UNCH                  52.69
MAY26      ----      ----      ----      ----      ----    UNCH                  52.70
JUN26      ----      ----      ----      ----      ----    UNCH                  52.66
JLY26      ----      ----      ----      ----      ----    UNCH                  52.66
AUG26      ----      ----      ----      ----      ----    UNCH                  52.67
SEP26      ----      ----      ----      ----      ----    UNCH                  52.70
OCT26      ----      ----      ----      ----      ----    UNCH                  52.72
NOV26      ----      ----      ----      ----      ----    UNCH                  52.76
DEC26      ----      ----      ----      ----      ----    UNCH                  52.81                     514
JAN27      ----      ----      ----      ----      ----    UNCH                  52.77
FEB27      ----      ----      ----      ----      ----    UNCH                  52.75
MAR27      ----      ----      ----      ----      ----    UNCH                  52.81
APR27      ----      ----      ----      ----      ----    UNCH                  52.83
