W Wheat Futures
DEC16     404'0     414'0     402'6     411'2     411'4    +7'2       69000      404'2       61130      292474
MAR17     426'4     434'4     424'4     431'6     432'0    +5'2       26930      426'6       25073      108979
MAY17     441'4     449'4     440'0     447'0     447'2    +4'4        6174      442'6        6520       28323
JLY17     454'6     462'4     452'6     460'4B    460'4    +4'6        8597      455'6        7190       47346
SEP17     471'0     476'2B    469'0A    476'0     476'0    +5'2        1249      470'6        1982        6855
DEC17     487'0     494'0B    485'2     493'0     493'2    +5'6         798      487'4         801       10717
MAR18     507'2     507'6     507'2     507'6     506'6    +5'6          21      501'0          62        2306
MAY18      ----      ----      ----      ----     511'4    +5'6                  505'6                      30
5850       ----      ----      ----      ----     124'5    -4'6                  129'3
5900       ----      ----      ----      ----     129'5    -4'6                  134'3
5950       ----      ----      ----      ----     134'5    -4'6                  139'3
6000       ----      ----      ----      ----     139'5    -4'6                  144'3
6050       ----      ----      ----      ----     144'5    -4'6                  149'3
6100       ----      ----      ----      ----     149'5    -4'6                  154'3
6150       ----      ----      ----      ----     154'5    -4'5                  159'2
6200       ----      ----      ----      ----     159'5    -4'5                  164'2
6250       ----      ----      ----      ----     164'4    -4'6                  169'2
6300       ----      ----      ----      ----     169'4    -4'6                  174'2
6350       ----      ----      ----      ----     174'4    -4'6                  179'2
6400       ----      ----      ----      ----     179'4    -4'6                  184'2
6450       ----      ----      ----      ----     184'4    -4'6                  189'2
6500       ----      ----      ----      ----     189'4    -4'6                  194'2
6550       ----      ----      ----      ----     194'4    -4'6                  199'2
6600       ----      ----      ----      ----     199'4    -4'6                  204'2
6650       ----      ----      ----      ----     204'4    -4'6                  209'2
6700       ----      ----      ----      ----     209'4    -4'6                  214'2
6750       ----      ----      ----      ----     214'4    -4'6                  219'2
6800       ----      ----      ----      ----     219'4    -4'6                  224'2
6850       ----      ----      ----      ----     224'4    -4'6                  229'2
6900       ----      ----      ----      ----     229'4    -4'6                  234'2
6950       ----      ----      ----      ----     234'4    -4'6                  239'2
7000       ----      ----      ----      ----     239'4    -4'6                  244'2
7050       ----      ----      ----      ----     244'4    -4'6                  249'2
7100       ----      ----      ----      ----     249'4    -4'6                  254'2
7150       ----      ----      ----      ----     254'4    -4'6                  259'2
7200       ----      ----      ----      ----     259'4    -4'6                  264'2
7250       ----      ----      ----      ----     264'4    -4'6                  269'2
7300       ----      ----      ----      ----     269'4    -4'6                  274'2
WDF MAR17 Short-Dated New Crop Wheat Option PUT
3300       ----      ----      ----      ----        '1    UNCH                     '1
3350       ----      ----      ----      ----        '1    UNCH                     '1
3400       ----      ----      ----      ----        '1    UNCH                     '1
3450       ----      ----      ----      ----        '1    UNCH                     '1
3500       ----      ----      ----      ----        '1    UNCH                     '1
3550       ----      ----      ----      ----        '1    UNCH                     '1
3600       ----      ----      ----      ----        '1    UNCH                     '1
3650       ----      ----      ----      ----        '2    UNCH                     '2
3700       ----      ----      ----      ----        '2    UNCH                     '2
3750       ----      ----      ----      ----        '2     -'1                     '3
3800       ----      ----      ----      ----        '3     -'1                     '4
3850       ----      ----      ----      ----        '4     -'1                     '5
3900       ----      ----      ----      ----        '6     -'1                     '7
3950       ----      ----      ----      ----       1'1     -'2                    1'3
4000       ----      ----      ----      ----       1'4     -'3                    1'7
4050       ----      ----      ----      ----       2'1     -'4                    2'5
4100       ----      ----      ----      ----       3'0     -'5                    3'5
4150       ----      ----      ----      ----       3'7     -'7                    4'6
4200       ----      ----      ----      ----       5'1    -1'0                    6'1
4250       ----      ----      ----      ----       6'3    -1'2                    7'5
4300       ----      ----      ----      ----       7'7    -1'3                    9'2
4350       ----      ----      ----      ----       9'4    -1'6                   11'2
4400       ----      ----      ----      ----      11'4    -1'6                   13'2
4450       ----      ----      ----      ----      13'5    -1'7                   15'4
4500       ----      ----      ----      ----      15'7    -2'1                   18'0
4550       ----      ----      ----      ----      18'3    -2'2                   20'5
4600       ----      ----      ----      ----      21'1    -2'3                   23'4
4650       ----      ----      ----      ----      24'0    -2'5                   26'5
4700       ----      ----      ----      ----      27'1    -2'5                   29'6
4750       ----      ----      ----      ----      30'3    -2'7                   33'2
4800       ----      ----      ----      ----      33'6    -2'7                   36'5
4850       ----      ----      ----      ----      37'1    -3'2                   40'3
4900       ----      ----      ----      ----      40'7    -3'3                   44'2
4950       ----      ----      ----      ----      44'6    -3'3                   48'1
5000       ----      ----      ----      ----      48'5    -3'5                   52'2
5050       ----      ----      ----      ----      52'6    -3'5                   56'3
5100       ----      ----      ----      ----      56'7    -3'7                   60'6
5150       ----      ----      ----      ----      61'1    -4'0                   65'1
5200       ----      ----      ----      ----      65'4    -4'0                   69'4
5250       ----      ----      ----      ----      70'0    -4'0                   74'0
5300       ----      ----      ----      ----      74'4    -4'1                   78'5                      50
5350       ----      ----      ----      ----      79'0    -4'1                   83'1
5400       ----      ----      ----      ----      83'4    -4'2                   87'6                      26
5450       ----      ----      ----      ----      88'1    -4'2                   92'3
5500       ----      ----      ----      ----      92'6    -4'3                   97'1
5550       ----      ----      ----      ----      97'4    -4'3                  101'7
5600       ----      ----      ----      ----     102'2    -4'3                  106'5
5650       ----      ----      ----      ----     107'0    -4'3                  111'3
5700       ----      ----      ----      ----     111'6    -4'3                  116'1
5750       ----      ----      ----      ----     116'5    -4'3                  121'0
5800       ----      ----      ----      ----     121'4    -4'3                  125'7
5850       ----      ----      ----      ----     126'2    -4'4                  130'6
5900       ----      ----      ----      ----     131'1    -4'4                  135'5
5950       ----      ----      ----      ----     136'0    -4'4                  140'4
6000       ----      ----      ----      ----     140'7    -4'4                  145'3
6050       ----      ----      ----      ----     145'6    -4'4                  150'2
6100       ----      ----      ----      ----     150'5    -4'4                  155'1
6150       ----      ----      ----      ----     155'4    -4'5                  160'1
6200       ----      ----      ----      ----     160'4    -4'4                  165'0
6250       ----      ----      ----      ----     165'3    -4'5                  170'0
6300       ----      ----      ----      ----     170'2    -4'5                  174'7
6350       ----      ----      ----      ----     175'1    -4'5                  179'6
6400       ----      ----      ----      ----     180'0    -4'6                  184'6
6450       ----      ----      ----      ----     185'0    -4'5                  189'5
6500       ----      ----      ----      ----     190'0    -4'5                  194'5
6550       ----      ----      ----      ----     194'7    -4'5                  199'4
6600       ----      ----      ----      ----     199'7    -4'5                  204'4
6650       ----      ----      ----      ----     204'6    -4'6                  209'4
6700       ----      ----      ----      ----     209'6    -4'6                  214'4
6750       ----      ----      ----      ----     214'6    -4'6                  219'4
6800       ----      ----      ----      ----     219'6    -4'5                  224'3
6850       ----      ----      ----      ----     224'5    -4'6                  229'3
6900       ----      ----      ----      ----     229'5    -4'6                  234'3
6950       ----      ----      ----      ----     234'5    -4'6                  239'3
7000       ----      ----      ----      ----     239'5    -4'6                  244'3
7050       ----      ----      ----      ----     244'5    -4'6                  249'3
7100       ----      ----      ----      ----     249'5    -4'6                  254'3
7150       ----      ----      ----      ----     254'5    -4'6                  259'3
7200       ----      ----      ----      ----     259'4    -4'6                  264'2
7250       ----      ----      ----      ----     264'4    -4'6                  269'2
7300       ----      ----      ----      ----     269'4    -4'6                  274'2

WZ DEC16 Wheat Options CALL
2000       ----     212'5B     ----      ----     211'4    +7'2                  204'2
2100       ----      ----      ----      ----     201'4    +7'2                  194'2
2200       ----      ----      ----      ----     191'4    +7'2                  184'2
2300       ----      ----      ----      ----     181'4    +7'2                  174'2
2400       ----      ----      ----      ----     171'4    +7'2                  164'2
2500       ----      ----      ----      ----     161'4    +7'2                  154'2
2600       ----      ----      ----      ----     151'5    +7'2                  144'3
2700       ----      ----      ----      ----     141'5    +7'2                  134'3
2800       ----      ----      ----      ----     131'5    +7'2                  124'3
2900       ----      ----      ----      ----     121'5    +7'2                  114'3
2950       ----     117'6B     ----      ----     116'5    +7'2                  109'3
3000       ----     107'4B     ----      ----     111'5    +7'2                  104'3
3050       ----     102'2B     ----      ----     106'5    +7'2                   99'3
3100       ----      ----      ----      ----     101'5    +7'2                   94'3
3150       ----      ----      ----      ----      96'5    +7'2                   89'3
3200       ----      ----      ----      ----      91'5    +7'2                   84'3
3250       ----      ----      ----      ----      86'5    +7'2                   79'3
3300       ----      76'5B     ----      ----      81'5    +7'2                   74'3
