W Wheat Futures
DEC16     403'0     410'0     400'2     407'0     408'0    +5'0       51687      403'0       60284      136793
MAR17     419'4     427'4     416'6     424'2     425'2    +5'2       46657      420'0       55704      236385
MAY17     433'0     440'2     430'2     438'4     439'0    +5'6       11987      433'2       11508       49188
JLY17     447'4     454'4     444'6     452'6B    453'6    +5'4        5864      448'2        5781       58817
SEP17     462'0     469'0     460'4     467'6     468'4    +4'4         879      464'0         629       10507
DEC17     482'0     488'2     480'0     486'4     487'2    +3'2        1909      484'0         939       18657
MAR18     497'6     497'6     495'6A    497'2     498'4    +2'2          73      496'2          31        3165
MAY18     505'4     506'4     505'4     506'4     506'2    +2'4          36      503'6                     236
JLY18     512'4     512'4     512'4     512'4     510'2    +4'6           2      505'4                     197
SEP18     525'0     527'0     525'0     527'0     524'2    +5'2           2      519'0                     169
DEC18     543'4     543'4     543'4     543'4     543'0    +2'2           5      540'6           5         118
MAR19      ----     556'0B     ----     556'0B    550'4    +9'6                  540'6
6100       ----      ----      ----      ----        '3    UNCH                     '3
6150       ----      ----      ----      ----        '3    UNCH                     '3
6200       ----      ----      ----      ----        '2    UNCH                     '2
6250       ----      ----      ----      ----        '2    UNCH                     '2
6300       ----      ----      ----      ----        '2    UNCH                     '2
6350       ----      ----      ----      ----        '2    UNCH                     '2
6400       ----      ----      ----      ----        '2    UNCH                     '2
6450       ----      ----      ----      ----        '1    UNCH                     '1
6500       ----      ----      ----      ----        '1    UNCH                     '1
6550       ----      ----      ----      ----        '1    UNCH                     '1
6600       ----      ----      ----      ----        '1    UNCH                     '1
6650       ----      ----      ----      ----        '1    UNCH                     '1
6700       ----      ----      ----      ----        '1    UNCH                     '1
6750       ----      ----      ----      ----        '1    UNCH                     '1
6800       ----      ----      ----      ----        '1    UNCH                     '1
6850       ----      ----      ----      ----        '1    UNCH                     '1
6900       ----      ----      ----      ----        '1    UNCH                     '1
6950       ----      ----      ----      ----        '1    UNCH                     '1
7000       ----      ----      ----      ----        '1    UNCH                     '1
7050       ----      ----      ----      ----        '1    UNCH                     '1
7100       ----      ----      ----      ----        '1    UNCH                     '1
7150       ----      ----      ----      ----        '1    UNCH                     '1
7200       ----      ----      ----      ----        '1    UNCH                     '1
7250       ----      ----      ----      ----        '1    UNCH                     '1
7300       ----      ----      ----      ----        '1    UNCH                     '1

WDF DEC16 Short-Dated New Crop Wheat Option PUT
3300       ----      ----      ----      ----        '1    UNCH                     '1
3350       ----      ----      ----      ----        '1    UNCH                     '1
3400       ----      ----      ----      ----        '1    UNCH                     '1
3450       ----      ----      ----      ----        '1    UNCH                     '1
3500       ----      ----      ----      ----        '1    UNCH                     '1
3550       ----      ----      ----      ----        '1    UNCH                     '1
3600       ----      ----      ----      ----        '1    UNCH                     '1
3650       ----      ----      ----      ----        '1    UNCH                     '1
3700       ----      ----      ----      ----        '1    UNCH                     '1
3750       ----      ----      ----      ----        '1    UNCH                     '1
3800       ----      ----      ----      ----        '1    UNCH                     '1
3850       ----      ----      ----      ----        '1    UNCH                     '1
3900       ----      ----      ----      ----        '1    UNCH                     '1
3950       ----      ----      ----      ----        '1    UNCH                     '1
4000       ----      ----      ----      ----        '1    UNCH                     '1
4050       ----      ----      ----      ----        '1    UNCH                     '1
4100       ----      ----      ----      ----        '1    UNCH                     '1
4150       ----      ----      ----      ----        '1    UNCH                     '1
4200       ----      ----      ----      ----        '1     -'1                     '2
4250       ----      ----      ----      ----        '2     -'1                     '3
4300       ----      ----      ----      ----        '3     -'3                     '6
4350       ----      ----      ----      ----        '5     -'6                    1'3
4400       ----      ----      ----      ----       1'1    -1'3                    2'4
4450       ----      ----      ----      ----       2'2    -2'1                    4'3
4500       ----      ----       5'0A      5'0A      4'0    -2'7                    6'7                      35
4550       ----      ----      ----      ----       6'3    -3'4                    9'7
4600       ----      ----      ----      ----       9'3    -4'1                   13'4
4650       ----      ----      ----      ----      13'0    -4'5                   17'5
4700       ----      ----      ----      ----      17'2    -5'0                   22'2
4750       ----      ----      ----      ----      21'7    -5'2                   27'1
4800       ----      ----      ----      ----      26'5    -5'3                   32'0
4850       ----      ----      ----      ----      31'4    -5'3                   36'7
4900       ----      ----      ----      ----      36'3    -5'4                   41'7
4950       ----      ----      ----      ----      41'3    -5'4                   46'7
5000       ----      ----      ----      ----      46'3    -5'4                   51'7
5050       ----      ----      ----      ----      51'3    -5'4                   56'7
5100       ----      ----      ----      ----      56'3    -5'4                   61'7
5150       ----      ----      ----      ----      61'3    -5'4                   66'7
5200       ----      ----      ----      ----      66'3    -5'4                   71'7
5250       ----      ----      ----      ----      71'3    -5'4                   76'7
5300       ----      ----      ----      ----      76'3    -5'4                   81'7
5350       ----      ----      ----      ----      81'3    -5'4                   86'7
5400       ----      ----      ----      ----      86'3    -5'4                   91'7
5450       ----      ----      ----      ----      91'3    -5'4                   96'7
5500       ----      ----      ----      ----      96'3    -5'4                  101'7
5550       ----      ----      ----      ----     101'3    -5'4                  106'7
5600       ----      ----      ----      ----     106'3    -5'4                  111'7
5650       ----      ----      ----      ----     111'3    -5'4                  116'7
5700       ----      ----      ----      ----     116'3    -5'4                  121'7
5750       ----      ----      ----      ----     121'3    -5'4                  126'7
5800       ----      ----      ----      ----     126'3    -5'4                  131'7
5850       ----      ----      ----      ----     131'3    -5'4                  136'7
5900       ----      ----      ----      ----     136'3    -5'4                  141'7
5950       ----      ----      ----      ----     141'3    -5'4                  146'7
6000       ----      ----      ----      ----     146'3    -5'4                  151'7
6050       ----      ----      ----      ----     151'3    -5'4                  156'7
6100       ----      ----      ----      ----     156'3    -5'4                  161'7
6150       ----      ----      ----      ----     161'3    -5'4                  166'7
6200       ----      ----      ----      ----     166'3    -5'4                  171'7
6250       ----      ----      ----      ----     171'3    -5'4                  176'7
6300       ----      ----      ----      ----     176'3    -5'4                  181'7
6350       ----      ----      ----      ----     181'3    -5'4                  186'7
6400       ----      ----      ----      ----     186'3    -5'4                  191'7
6450       ----      ----      ----      ----     191'3    -5'4                  196'7
6500       ----      ----      ----      ----     196'3    -5'4                  201'7
6550       ----      ----      ----      ----     201'3    -5'4                  206'7
6600       ----      ----      ----      ----     206'3    -5'4                  211'7
6650       ----      ----      ----      ----     211'3    -5'4                  216'7
6700       ----      ----      ----      ----     216'3    -5'4                  221'7
6750       ----      ----      ----      ----     221'3    -5'4                  226'7
6800       ----      ----      ----      ----     226'3    -5'4                  231'7
