W Wheat Futures
DEC16     409'0     412'0     404'4     410'0     410'2    +2'2       55696      408'0       53488      129941
MAR17     425'6     429'6     421'2     426'4     427'0    +1'6       58935      425'2       47836      237706
MAY17     439'4     443'4     436'0     440'0B    440'4    +1'4       12061      439'0       12030       51222
JLY17     453'0     457'4     450'6     454'2     454'6    +1'0        7342      453'6        6164       59236
SEP17     469'6     472'2     466'0A    468'4     469'2     +'6         623      468'4         879       10527
DEC17     490'0     490'4     484'4A    487'0A    487'6     +'4         894      487'2        2129       19056
MAR18     500'6     501'4     498'2     499'0     498'4    UNCH          92      498'4          73        3194
MAY18     508'4     508'4     508'4     508'4     506'6     +'4          73      506'2          36         250
JLY18     512'4     512'4     512'4     512'4     513'4    +3'2          41      510'2           2         196
SEP18     527'0     527'0     527'0     527'0     527'2    +3'0           2      524'2           2         171
DEC18     544'0     544'0     542'6     544'0     546'2    +3'2         157      543'0           5         120
MAR19      ----     555'0B     ----     555'0B    555'4    +5'0                  550'4
6600       ----      ----      ----      ----     205'3    -1'0                  206'3
6650       ----      ----      ----      ----     210'3    -1'0                  211'3
6700       ----      ----      ----      ----     215'3    -1'0                  216'3
6750       ----      ----      ----      ----     220'3    -1'0                  221'3
6800       ----      ----      ----      ----     225'3    -1'0                  226'3
6850       ----      ----      ----      ----     230'3    -1'0                  231'3
6900       ----      ----      ----      ----     235'3    -1'0                  236'3
6950       ----      ----      ----      ----     240'3    -1'0                  241'3
7000       ----      ----      ----      ----     245'3    -1'0                  246'3
7050       ----      ----      ----      ----     250'3    -1'0                  251'3
7100       ----      ----      ----      ----     255'3    -1'0                  256'3
7150       ----      ----      ----      ----     260'3    -1'0                  261'3
7200       ----      ----      ----      ----     265'3    -1'0                  266'3
7250       ----      ----      ----      ----     270'3    -1'0                  271'3
7300       ----      ----      ----      ----     275'3    -1'0                  276'3
WDF MAR17 Short-Dated New Crop Wheat Option PUT
3300       ----      ----      ----      ----        '1    UNCH                     '1
3350       ----      ----      ----      ----        '1    UNCH                     '1
3400       ----      ----      ----      ----        '1    UNCH                     '1
3450       ----      ----      ----      ----        '1    UNCH                     '1
3500       ----      ----      ----      ----        '1    UNCH                     '1
3550       ----      ----      ----      ----        '1    UNCH                     '1
3600       ----      ----      ----      ----        '1    UNCH                     '1
3650       ----      ----      ----      ----        '1    UNCH                     '1
3700       ----      ----      ----      ----        '2    UNCH                     '2
3750       ----      ----      ----      ----        '3    UNCH                     '3
3800       ----      ----      ----      ----        '4    UNCH                     '4
3850       ----      ----      ----      ----        '5     -'1                     '6
3900       ----      ----      ----      ----       1'0    UNCH                    1'0
3950       ----      ----      ----      ----       1'3     -'1                    1'4
4000       ----      ----      ----      ----       1'7     -'2                    2'1
4050       ----      ----      ----      ----       2'4     -'2                    2'6
4100       ----      ----      ----      ----       3'3     -'2                    3'5
4150       ----      ----      ----      ----       4'3     -'3                    4'6
4200       ----      ----      ----      ----       5'5     -'3                    6'0
4250       ----      ----      ----      ----       7'0     -'4                    7'4
4300       ----      ----      ----      ----       8'4     -'5                    9'1
4350       ----      ----      ----      ----      10'3     -'4                   10'7
4400       ----      ----      ----      ----      12'3     -'5                   13'0
4450       ----      ----      ----      ----      14'4     -'6                   15'2
4500       ----      ----      ----      ----      17'0     -'5                   17'5
4550       ----      ----      ----      ----      19'5     -'6                   20'3
4600       ----      ----      ----      ----      22'4     -'6                   23'2
4650       ----      ----      ----      ----      25'4     -'7                   26'3
4700       ----      ----      ----      ----      28'6     -'7                   29'5
4750       ----      ----      ----      ----      32'2     -'7                   33'1
4800       ----      ----      ----      ----      35'6    -1'0                   36'6
4850       ----      ----      ----      ----      39'3    -1'0                   40'3
4900       ----      ----      ----      ----      43'2    -1'0                   44'2
4950       ----      ----      ----      ----      47'2    -1'0                   48'2
5000       ----      ----      ----      ----      51'2    -1'1                   52'3
5050       ----      ----      ----      ----      55'4    -1'1                   56'5
5100       ----      ----      ----      ----      59'7    -1'1                   61'0
5150       ----      ----      ----      ----      64'2    -1'1                   65'3
5200       ----      ----      ----      ----      68'6    -1'1                   69'7
5250       ----      ----      ----      ----      73'2    -1'1                   74'3
5300       ----      ----      ----      ----      77'7    -1'1                   79'0                      50
5350       ----      ----      ----      ----      82'4    -1'1                   83'5
5400       ----      ----      ----      ----      87'2    -1'1                   88'3                      26
5450       ----      ----      ----      ----      92'0    -1'1                   93'1
5500       ----      ----      ----      ----      96'6    -1'1                   97'7
5550       ----      ----      ----      ----     101'4    -1'1                  102'5
5600       ----      ----      ----      ----     106'3    -1'0                  107'3
5650       ----      ----      ----      ----     111'2    -1'0                  112'2
5700       ----      ----      ----      ----     116'0    -1'0                  117'0
5750       ----      ----      ----      ----     120'7    -1'0                  121'7
5800       ----      ----      ----      ----     125'6    -1'1                  126'7
5850       ----      ----      ----      ----     130'5    -1'1                  131'6
5900       ----      ----      ----      ----     135'5    -1'0                  136'5
5950       ----      ----      ----      ----     140'4    -1'0                  141'4
6000       ----      ----      ----      ----     145'4    -1'0                  146'4
6050       ----      ----      ----      ----     150'3    -1'0                  151'3
6100       ----      ----      ----      ----     155'3    -1'0                  156'3
6150       ----      ----      ----      ----     160'3    -1'0                  161'3
6200       ----      ----      ----      ----     165'3    -1'0                  166'3
6250       ----      ----      ----      ----     170'3    -1'0                  171'3
6300       ----      ----      ----      ----     175'3    -1'0                  176'3
6350       ----      ----      ----      ----     180'3     -'7                  181'2
6400       ----      ----      ----      ----     185'3     -'7                  186'2
6450       ----      ----      ----      ----     190'2    -1'0                  191'2
6500       ----      ----      ----      ----     195'2    -1'0                  196'2
6550       ----      ----      ----      ----     200'2    -1'0                  201'2
6600       ----      ----      ----      ----     205'2    -1'0                  206'2
6650       ----      ----      ----      ----     210'2    -1'0                  211'2
6700       ----      ----      ----      ----     215'2    -1'0                  216'2
6750       ----      ----      ----      ----     220'2    -1'0                  221'2
6800       ----      ----      ----      ----     225'2    -1'0                  226'2
6850       ----      ----      ----      ----     230'2    -1'0                  231'2
6900       ----      ----      ----      ----     235'2    -1'0                  236'2
6950       ----      ----      ----      ----     240'2    -1'0                  241'2
7000       ----      ----      ----      ----     245'2    -1'0                  246'2
7050       ----      ----      ----      ----     250'2    -1'0                  251'2
7100       ----      ----      ----      ----     255'2    -1'0                  256'2
7150       ----      ----      ----      ----     260'2    -1'0                  261'2
7200       ----      ----      ----      ----     265'2    -1'0                  266'2
7250       ----      ----      ----      ----     270'2    -1'0                  271'2
7300       ----      ----      ----      ----     275'2    -1'0                  276'2

WZ DEC16 Wheat Options CALL
2000       ----     210'0B    206'2A     ----     210'3    +2'2                  208'1
2100       ----      ----      ----      ----     200'3    +2'2                  198'1
2200       ----      ----      ----      ----     190'3    +2'2                  188'1
2300       ----      ----      ----      ----     180'3    +2'2                  178'1
2400       ----     170'2B    166'0A     ----     170'3    +2'2                  168'1
2500       ----     160'2B    156'0A     ----     160'3    +2'2                  158'1
2600       ----     150'2B    146'0A     ----     150'3    +2'2                  148'1
2700       ----     140'2B    136'0A     ----     140'3    +2'2                  138'1
2800       ----     130'2B    126'0A     ----     130'3    +2'2                  128'1
2900       ----     120'2B    116'0A     ----     120'3    +2'2                  118'1
2950       ----     115'2B    111'0A     ----     115'3    +2'2                  113'1
3000       ----     110'2B    106'0A     ----     110'3    +2'2                  108'1
3050       ----     105'2B    101'0A     ----     105'3    +2'2                  103'1
3100       ----     100'2B     96'0A     ----     100'3    +2'2                   98'1
3150       ----      95'2B     91'0A     ----      95'3    +2'2                   93'1
3200       ----      90'2B     86'0A     ----      90'3    +2'2                   88'1
3250       ----      85'2B     81'0A     ----      85'3    +2'2                   83'1
3300       ----      80'2B     76'0A     ----      80'3    +2'2                   78'1
3350       ----      75'2B     71'0A     ----      75'3    +2'2                   73'1
3400       ----      70'2B     66'0A     ----      70'3    +2'2                   68'1
3450       ----      65'2B     61'0A     ----      65'3    +2'2                   63'1
3500       ----      60'2B     56'0A     ----      60'3    +2'2                   58'1
3550       ----      55'2B     51'0A     ----      55'3    +2'2                   53'1
3600       ----      50'2B     46'0A     ----      50'3    +2'2                   48'1
3650       ----      45'2B     41'0A     ----      45'3    +2'2                   43'1                       1
3700       ----      40'2B     36'0A     ----      40'3    +2'2                   38'1                      80
3750       ----      35'4B     31'0A     ----      35'3    +2'2                   33'1                      20
3800       ----      30'4B     26'0A     ----      30'3    +2'2                   28'1                     137
3850       ----      25'4B     21'1A     ----      25'3    +2'1                   23'2                      29
3900       18'2      20'5B     16'2A     ----      20'4    +2'1           1       18'3          51         396
3950       16'0      16'0      11'7A     ----      15'5    +1'7           2       13'6          44         702
4000       10'6      12'2B      7'2A     12'2B     11'2    +1'4         399        9'6        1737        5523
4050        8'5       8'5       4'6A     ----       7'6    +1'0         541        6'6         345        1974
4100        5'0       6'0       3'1A     ----       5'2     +'4        3363        4'6        3164       15502
4150        4'0       4'1B      2'0A     ----       3'5     +'4        1115        3'1        2015        4110
4200        2'5       2'7       1'1      ----       2'3     +'3        2427        2'0        2927       11127
4250        1'4       1'5        '6      ----       1'3     +'1         762        1'2        1860        4467
4300        1'0       1'2        '3      ----        '7     +'1        1522         '6         774        6826
4350         '4        '4        '2      ----        '4    UNCH         319         '4         361        4193
4400         '2        '3        '2      ----        '3    UNCH         934         '3         331        6467
4450         '1        '1        '1      ----        '2    UNCH         169         '2          92        3900
4500       ----      ----      ----      ----        '1    UNCH                     '1          22        6672
4550       ----      ----      ----      ----        '1    UNCH           1         '1          25         616
4600         '1        '1        '1      ----        '1    UNCH           4         '1                    3858
4650       ----      ----      ----      ----        '1    UNCH                     '1           1         973
4700       ----      ----      ----      ----        '1    UNCH                     '1           7        3349
4750       ----      ----      ----      ----        '1    UNCH                     '1                     432
4800       ----      ----      ----      ----        '1    UNCH                     '1           3        3593
4850       ----      ----      ----      ----        '1    UNCH                     '1                     227
4900       ----      ----      ----      ----        '1    UNCH                     '1                    1807
4950       ----      ----      ----      ----        '1    UNCH                     '1                     201
5000       ----      ----      ----      ----        '1    UNCH          19         '1                    5845
5050       ----      ----      ----      ----        '1    UNCH                     '1                     299
5100       ----      ----      ----      ----        '1    UNCH                     '1                    1837
5150       ----      ----      ----      ----        '1    UNCH                     '1                     361
5200       ----      ----      ----      ----        '1    UNCH                     '1                    2996
5250       ----      ----      ----      ----        '1    UNCH                     '1                       6
5300       ----      ----      ----      ----        '1    UNCH                     '1                    2419
5400       ----      ----      ----      ----        '1    UNCH                     '1                    1536
5500       ----      ----      ----      ----        '1    UNCH                     '1                    4322
5600       ----      ----      ----      ----        '1    UNCH                     '1                     867
5700       ----      ----      ----      ----        '1    UNCH                     '1                     740
5800       ----      ----      ----      ----        '1    UNCH                     '1                    2352
5900       ----      ----      ----      ----        '1    UNCH                     '1                     631
6000       ----      ----      ----      ----        '1    UNCH                     '1                    3174
6100       ----      ----      ----      ----        '1    UNCH                     '1                     244
6200       ----      ----      ----      ----        '1    UNCH                     '1                    2613
6300       ----      ----      ----      ----        '1    UNCH                     '1                     131
6400       ----      ----      ----      ----        '1    UNCH                     '1                     222
6500       ----      ----      ----      ----        '1    UNCH                     '1                    1838
6600       ----      ----      ----      ----        '1    UNCH                     '1                     114
6700       ----      ----      ----      ----        '1    UNCH                     '1                     101
6800       ----      ----      ----      ----        '1    UNCH                     '1                     601
6900       ----      ----      ----      ----        '1    UNCH                     '1                      97
7000       ----      ----      ----      ----        '1    UNCH                     '1                    1861
7100       ----      ----      ----      ----        '1    UNCH                     '1                     109
7200       ----      ----      ----      ----        '1    UNCH                     '1                      49
7300       ----      ----      ----      ----        '1    UNCH                     '1                      51
7400       ----      ----      ----      ----        '1    UNCH                     '1                      22
7500       ----      ----      ----      ----        '1    UNCH                     '1                    1177
7600       ----      ----      ----      ----        '1    UNCH                     '1                       3
7700       ----      ----      ----      ----        '1    UNCH                     '1                      58
7800       ----      ----      ----      ----        '1    UNCH                     '1                     153
7900       ----      ----      ----      ----        '1    UNCH                     '1                      60
8000       ----      ----      ----      ----        '1    UNCH                     '1                     160
8100       ----      ----      ----      ----        '1    UNCH                     '1                      16
8200       ----      ----      ----      ----        '1    UNCH                     '1                      30
8300       ----      ----      ----      ----        '1    UNCH                     '1                      40
8400       ----      ----      ----      ----        '1    UNCH                     '1                      56
10500      ----      ----      ----      ----        '1    UNCH                     '1                     121
11000      ----      ----      ----      ----        '1    UNCH                     '1                     718
WZ JAN17 Wheat Options CALL
3100       ----     117'2B    112'7A     ----     117'1    +1'6                  115'3
3150       ----     112'2B    107'7A     ----     112'1    +1'6                  110'3
3200       ----     107'2B    102'7A     ----     107'1    +1'6                  105'3
3250       ----     102'2B     97'7A     ----     102'1    +1'6                  100'3
3300       ----      97'2B     92'7A     ----      97'1    +1'6                   95'3
3350       ----      92'2B     87'7A     ----      92'1    +1'6                   90'3
3400       ----      87'2B     82'7A     ----      87'1    +1'6                   85'3
