W Wheat Futures
DEC16     376'4     379'6     369'4     370'2     371'4    -9'0        1517      380'4        4932        2221
MAR17     402'6     404'4     393'0     395'6     395'4    -7'2       85545      402'6       77050      279514
MAY17     416'0     418'4     406'4     408'6     408'6    -6'6       21344      415'4       19500       64030
JLY17     431'0     434'0     422'0     423'6     424'0    -7'2       16342      431'2       12164       65202
SEP17     447'4     449'6     438'2     439'6     440'0    -7'2        2000      447'2        3773       11562
DEC17     465'2     469'2     457'2     459'2B    459'4    -6'0        3399      465'4        2208       20763
MAR18     478'2     478'2     472'4     472'4     472'6    -5'6         169      478'4         409        3546
MAY18     489'6     489'6     486'4A    486'4A    482'4    -5'4          18      488'0          61         360
JLY18     502'0     502'0     490'6     491'2B    491'2    -6'0          31      497'2         134         408
SEP18     517'4     517'4     517'4     517'4     506'4    -6'4           8      513'0          48         279
DEC18     535'0     535'0     534'0     534'0     526'4    -7'2           4      533'6          67         311
MAR19     542'0     542'0     542'0     542'0     543'0    -4'6           1      547'6          20          67
MAY19      ----      ----      ----      ----     547'0     -'6                  547'6
JLY19      ----      ----      ----      ----     527'0     -'6                  527'6                       1

WDF MAR17 Short-Dated New Crop Wheat Option CALL
3800       ----      ----      15'7A     ----      17'3    -6'2                   23'5
3850       ----      ----      12'2A     ----      13'5    -5'5                   19'2
3900       13'1      13'3       9'2A     ----      10'4    -4'6          51       15'2          24          24
3950        9'7      10'4B      6'6      ----       7'7    -4'0          77       11'7
4000        8'0       9'1B      5'1       7'0       6'0    -3'0        1885        9'0         105         104
4050        7'0       7'3       3'6A     ----       4'3    -2'2         435        6'5          84          56
4100        4'4       5'2B      2'6A      4'6       3'2    -1'5        2793        4'7        1320        1819
4150        3'2       3'6       2'0A     ----       2'3    -1'1          93        3'4         757         701
4200        2'2       2'6B      1'3      ----       1'6     -'7        1007        2'5         599        1075
4250        1'2       2'0B      1'0      ----       1'2     -'5          50        1'7         216         642
4300        1'2       1'3B       '6      ----        '7     -'4        2255        1'3         507        1764
4350        1'0       1'0        '5      ----        '5     -'3         333        1'0          66         942
4400         '7        '7        '4      ----        '4     -'2        1217         '6         574        2742
4450         '4        '4        '3A     ----        '3     -'1          40         '4          14         927
4500       ----      ----      ----      ----        '3    UNCH           6         '3         246        1236
4550         '2        '3B       '2      ----        '2    UNCH          61         '2           3         555
4600       ----      ----      ----      ----        '2    UNCH          20         '2           6        1451
4650       ----      ----      ----      ----        '2    UNCH          18         '2          50         186
4700       ----      ----      ----      ----        '1    UNCH                     '1                     158
4750       ----      ----      ----      ----        '1    UNCH          66         '1                     222
4800       ----      ----      ----      ----        '1    UNCH                     '1          99         814
4850         '1        '1        '1      ----        '1    UNCH          75         '1          51         102
4900       ----      ----      ----      ----        '1    UNCH                     '1                     251
4950       ----      ----      ----      ----        '1    UNCH                     '1                      57
5000       ----      ----      ----      ----        '1    UNCH                     '1                     423
5050       ----      ----      ----      ----        '1    UNCH                     '1                      57
5100       ----      ----      ----      ----        '1    UNCH                     '1                      90
5150       ----      ----      ----      ----        '1    UNCH                     '1                      92
5200       ----      ----      ----      ----        '1    UNCH                     '1                      22
5250       ----      ----      ----      ----        '1    UNCH                     '1                       8
5300       ----      ----      ----      ----        '1    UNCH                     '1                      46
5350       ----      ----      ----      ----        '1    UNCH                     '1                      78
5400       ----      ----      ----      ----        '1    UNCH                     '1                       1
5450       ----      ----      ----      ----        '1    UNCH                     '1                       9
5500       ----      ----      ----      ----        '1    UNCH                     '1                      22
WZ FEB17 Wheat Options CALL
3050       ----      ----      ----      ----      90'4    UNCH                   ----
3100       ----      ----      84'5A     ----      85'4    -7'2                   92'6
3150       ----      ----      79'5A     ----      80'5    -7'1                   87'6
3200       ----      ----      74'5A     ----      75'5    -7'1                   82'6
3250       ----      ----      69'5A     ----      70'5    -7'2                   77'7
3300       ----      ----      64'6A     ----      65'5    -7'2                   72'7
3350       ----      ----      59'7A     ----      60'6    -7'1                   67'7
3400       ----      ----      55'0A     ----      55'7    -7'1                   63'0
3450       ----      ----      50'1A     ----      51'1    -7'0                   58'1
3500       ----      ----      45'3A     ----      46'3    -6'7                   53'2
3550       ----      ----      40'6A     ----      41'5    -6'7                   48'4
3600       ----      ----      36'2A     ----      37'1    -6'6                   43'7
3650       ----      ----      32'0A     ----      32'7    -6'3                   39'2
3700       ----      ----      27'3A     ----      28'7    -6'0                   34'7
3750       ----      ----      23'6A     ----      25'0    -5'5                   30'5
3800       ----      ----      20'3A     ----      21'5    -5'0                   26'5
3850       ----      ----      17'2A     ----      18'5    -4'3                   23'0
3900       16'0      16'1B     14'6A     ----      15'7    -4'0          30       19'7           4           4
3950       13'4      13'6B     12'4A     ----      13'4    -3'4           4       17'0
4000       12'3      14'4B     10'5      ----      11'4    -2'7          58       14'3           2           3
4050       10'1      12'4B      8'7      ----       9'6    -2'3         540       12'1           1           1
4100       10'5      10'5       7'4A     ----       8'2    -1'7        5586       10'1          28          28
4150        7'0       8'7B      6'2      ----       6'7    -1'5         132        8'4         423         450
4200        6'2       7'4B      5'2      ----       5'7    -1'2        1885        7'1           5        1329
4250        4'7       6'2B      4'3      ----       5'0    -1'0          53        6'0          62         137
4300        5'2       5'2       3'6A      4'5       4'2     -'6         149        5'0         620        1752
4350        3'4       3'5B      3'1A     ----       3'4     -'6          13        4'2         263        2099
4400        2'7       3'0       2'5       3'0       2'7     -'6          74        3'5         100        1975
4450        2'3       2'4B      2'2A     ----       2'3     -'5           6        3'0          97         163
4500        2'3       2'4B      1'7      ----       2'0     -'4        1165        2'4         167         741
4550        1'6       1'6       1'6      ----       1'6     -'3           1        2'1          15          23
4600        1'4       1'5B      1'4      ----       1'4     -'2           5        1'6                     182
4650       ----      ----       1'2A     ----       1'3     -'1           1        1'4          10          41
4700        1'0       1'1B      1'0      ----       1'2    UNCH           1        1'2           2        1799
4750         '6       1'0B       '6      ----       1'1     +'1           4        1'0          32          37
4800       ----      ----      ----      ----       1'0     +'1                     '7                     542
4850       ----      ----      ----      ----        '7     +'1                     '6                      18
4900         '5        '5        '5      ----        '6     +'1         250         '5                     508
4950       ----      ----      ----      ----        '5     +'1                     '4                      75
5000       ----        '4B     ----      ----        '4     +'1                     '3                      29
5050       ----      ----      ----      ----        '4     +'1                     '3                      19
5100         '3        '3        '3      ----        '3    UNCH          10         '3                      34
5150       ----      ----      ----      ----        '3    UNCH                     '3                      94
5200       ----      ----      ----      ----        '3     +'1                     '2                      31
5250       ----      ----      ----      ----        '2    UNCH                     '2                      15
5300       ----      ----      ----      ----        '2    UNCH                     '2                      28
5350       ----      ----      ----      ----        '1     -'1                     '2                      10
5400       ----      ----      ----      ----        '1     -'1                     '2                      12
WZ MAR17 Wheat Options CALL
2000       ----      ----      ----      ----     195'4    UNCH                   ----
2100       ----      ----     185'2A     ----     185'4    -7'2                  192'6
2200       ----      ----     175'1A     ----     175'4    -7'2                  182'6
2300       ----      ----     165'3A     ----     165'4    -7'2                  172'6
2400       ----      ----     155'2A     ----     155'4    -7'2                  162'6
2500       ----      ----     145'1A     ----     145'4    -7'2                  152'6
2600       ----      ----     135'3A     ----     135'4    -7'2                  142'6
