SP   S&P 500 FUTURES
MAR19   2787.50   2796.50   2787.50   2792.00   2792.10   +8.10        8894    2784.00       13700       36358
JUN19   2790.40   2803.00   2785.70A  2797.50   2797.20   +8.20        4478    2789.00        7427       10465
2370       ----      ----      ----      ----    422.00   +8.00                 414.00                       7
2375       ----      ----      ----      ----    417.00   +8.00                 409.00                     463
2380       ----      ----      ----      ----    412.00   +8.00                 404.00                     631
2385       ----      ----      ----      ----    407.00   +8.00                 399.00                      68
2390       ----      ----      ----      ----    402.00   +8.00                 394.00                     227
2395       ----      ----      ----      ----    397.00   +8.00                 389.00                      71
2400       ----      ----      ----      ----    392.00   +8.00                 384.00                    2584
2405       ----      ----      ----      ----    387.00   +8.00                 379.00                     404
2410       ----      ----      ----      ----    382.00   +8.00                 374.00                     309
2415       ----      ----      ----      ----    377.00   +8.00                 369.00                      90
2420       ----      ----      ----      ----    372.00   +8.00                 364.00                     724
2425     366.00    366.00    366.00    366.00    367.00   +8.00           2     359.00           2         359
2430       ----      ----      ----      ----    362.00   +8.00                 354.00                     760
2435       ----      ----      ----      ----    357.00   +8.00                 349.00                     224
2440       ----      ----      ----      ----    352.00   +8.00                 344.00                     626
2445       ----      ----      ----      ----    347.00   +8.00                 339.00                      94
2450     340.75    341.25    340.75    341.25    342.00   +8.00           3     334.00           8         899
2455       ----      ----      ----      ----    337.00   +8.00                 329.00                     221
2460       ----      ----      ----      ----    332.00   +8.00                 324.00                     460
2465       ----      ----      ----      ----    327.00   +8.00                 319.00                     639
2470       ----      ----      ----      ----    322.00   +8.00                 314.00                     658
2475       ----      ----      ----      ----    317.00   +8.00                 309.00                    1759
2480       ----      ----      ----      ----    312.00   +8.00                 304.00                     885
2485       ----      ----      ----      ----    307.00   +8.00                 299.00                     514
2490       ----      ----      ----      ----    302.00   +8.00                 294.00                     470
2495       ----      ----      ----      ----    297.00   +8.00                 289.00                     394
2500     295.25    296.50B   288.75A   291.00B   292.00   +8.00        5822     284.00                   10205
2505       ----      ----      ----      ----    287.00   +8.00                 279.00                     769
2510       ----      ----      ----      ----    282.00   +8.00                 274.00                     761
2515       ----      ----      ----      ----    277.00   +8.00                 269.00                     538
2520       ----      ----      ----      ----    272.00   +8.00                 264.00                     272
2525       ----      ----      ----      ----    267.00   +8.00          10     259.00          10        2410
2530       ----      ----      ----      ----    262.00   +8.00                 254.00                     658
2535       ----      ----      ----      ----    257.00   +8.00                 249.00                     300
2540       ----      ----      ----      ----    252.00   +8.00                 244.00                    1010
2545       ----      ----      ----      ----    247.00   +8.00                 239.00                     302
2550     241.00    246.50B   232.25A   242.25B   242.00   +8.00           2     234.00           1        4470
2555       ----    241.50B   227.25A   237.25B   237.00   +8.00                 229.00           2         723
2560       ----    236.75B   222.25A   232.25B   232.00   +8.00                 224.00                    1358
2565       ----    231.75B   217.25A   227.25B   227.25   +8.25                 219.00                     199
2570       ----    226.75B   212.25A   222.25B   222.25   +8.25                 214.00                     756
2575       ----    221.75B   207.25A   217.50B   217.25   +8.25                 209.00                    3198
2580       ----    216.75B   202.25A   212.50B   212.25   +8.25                 204.00          17        1929
2585       ----    211.75B   197.25A   207.50B   207.25   +8.25                 199.00                     866
2590       ----    206.75B   192.50A   202.50B   202.25   +8.25                 194.00                     855
2595       ----    201.50B   187.25A   197.50B   197.25   +8.00                 189.25                     606
2600     194.50    196.75B   182.25A   192.50B   192.25   +8.00           4     184.25           2        5545
2605       ----    191.75B   177.25A   187.50B   187.25   +8.00           1     179.25                     528
2610       ----    186.75B   172.50A   182.50B   182.25   +8.00                 174.25                    1199
2615       ----    181.75B   167.50A   177.50B   177.25   +8.00                 169.25                     547
2620       ----    176.75B   162.50A   172.50B   172.25   +8.00           1     164.25                    1128
2625       ----    171.75B   157.50A   167.50B   167.25   +8.00           1     159.25                    2878
2630       ----    166.75B   152.50A   162.50B   162.25   +8.00           1     154.25                     821
2635       ----    161.75B   147.50A   157.50B   157.25   +8.00           1     149.25                    1105
2640       ----    156.75B   142.50A   152.50B   152.25   +8.00           1     144.25                    1332
2645       ----    151.75B   137.50A   147.50B   147.25   +8.00           1     139.25           1         679
2650       ----    146.75B   132.50A   142.50B   142.25   +7.75           4     134.50           5        6339
