W Wheat Futures
DEC16     396'4     396'4     389'6     389'6     390'6    +4'4          34      386'2         257         133
MAR17     402'0     409'2     401'4     409'0     408'2    +7'2       68072      401'0       50867      268725
MAY17     413'4     420'4     413'2     417'0     418'6    +6'2       11130      412'4       10169       64328
JLY17     427'0     432'2     425'2     430'6     430'2    +5'4       10461      424'6       12374       64760
SEP17     440'6     446'2     440'6     444'4     444'2    +5'4        2764      438'6        2305       11761
DEC17     458'0     462'6     457'6A    462'2     462'0    +6'2        3385      455'6        2704       23165
MAR18     470'6     472'2B    469'6     472'2B    473'6    +6'0          94      467'6         414        3876
MAY18     478'6     481'4     478'0     481'4     480'6    +4'0          45      476'6         105         406
JLY18     490'4     490'4     485'6     486'2     488'2    +2'6          31      485'4          45         438
SEP18     501'0     501'0     501'0     501'0     500'4    +1'0           3      499'4          12         318
DEC18      ----      ----      ----      ----     519'4     +'6                  518'6          15         325
MAR19      ----      ----      ----      ----     535'4     +'6                  534'6           2          70
MAY19      ----      ----      ----      ----     547'6     +'6                  547'0
JLY19      ----      ----      ----      ----     527'6     +'6                  527'0                       1

WDF MAR17 Short-Dated New Crop Wheat Option CALL
7400       ----      ----      ----      ----        '1    UNCH                     '1                      20
7500       ----      ----      ----      ----        '1    UNCH                     '1                     514
7600       ----      ----      ----      ----        '1    UNCH                     '1                       9
7700       ----      ----      ----      ----        '1    UNCH                     '1
7800       ----      ----      ----      ----        '1    UNCH                     '1                       3
7900       ----      ----      ----      ----        '1    UNCH                     '1                       1
8000       ----      ----      ----      ----        '1    UNCH                     '1                     194
8100       ----      ----      ----      ----        '1    UNCH                     '1                       2
8200       ----      ----      ----      ----        '1    UNCH                     '1                      51
8300       ----      ----      ----      ----        '1    UNCH                     '1
8400       ----      ----      ----      ----        '1    UNCH                     '1
8500       ----      ----      ----      ----        '1    UNCH                     '1                       1
9000       ----      ----      ----      ----        '1    UNCH                     '1                      51
10500      ----      ----      ----      ----        '1    UNCH                     '1                     101
11000      ----      ----      ----      ----        '1    UNCH                     '1                       1
WZ MAY17 Wheat Options CALL
2100       ----      ----      ----      ----     208'6    +6'2                  202'4
2200       ----      ----      ----      ----     198'6    +6'2                  192'4
2300       ----      ----      ----      ----     188'6    +6'2                  182'4
2400       ----     178'4B     ----      ----     178'6    +6'2                  172'4
2500       ----     168'2B     ----      ----     168'6    +6'2                  162'4
2600       ----     157'6B     ----      ----     158'6    +6'2                  152'4
2700       ----     147'4B     ----      ----     148'6    +6'2                  142'4
2800       ----     137'4B     ----      ----     138'6    +6'2                  132'4
2900       ----     127'4B     ----      ----     128'6    +6'1                  122'5
3000       ----     118'4B     ----      ----     118'7    +6'2                  112'5
3100       ----     108'5B     ----      ----     108'7    +6'1                  102'6
3200       ----      98'6B     ----      ----      99'0    +6'1                   92'7
3300       ----      89'1B     ----      ----      89'2    +6'1                   83'1
3400       ----      79'4B     ----      ----      79'5    +5'7                   73'6
3500       ----      70'1B     ----      ----      70'3    +5'7                   64'4
3600       ----      61'1B     ----      ----      61'3    +5'5                   55'6
3700       ----      52'5B     ----      ----      52'7    +5'2                   47'5
3800       ----      45'5B     ----      ----      45'0    +4'6                   40'2
3900       ----      38'5B     ----      ----      38'0    +4'2                   33'6                       1
4000       ----      32'4B     ----      ----      31'7    +3'5                   28'2                      23
4100       ----      27'2B     ----      ----      26'4    +3'0                   23'4           1         369
4200       ----      22'6B     ----      ----      22'0    +2'5                   19'3         110         347
4300       17'0      19'0B     17'0      ----      18'2    +2'2         351       16'0                     577
4400       ----      15'7B     ----      ----      15'1    +2'0                   13'1          20         234
4500       12'1      13'0B     12'1      ----      12'4    +1'5          10       10'7         225         546
4600       ----      10'7B     ----      ----      10'3    +1'3                    9'0         115         193
4700       ----       9'0B     ----      ----       8'4    +1'1                    7'3          15         542
4800        7'1       7'4B      6'5A     ----       7'0     +'7         515        6'1                    4172
4900       ----       6'1B     ----      ----       5'7     +'6                    5'1                     532
5000        4'4       5'2B      4'4      ----       4'7     +'5          62        4'2          10         422
5100       ----       4'2B     ----      ----       4'1     +'4                    3'5          66         171
5200       ----       3'4B     ----      ----       3'4     +'4                    3'0          74        1522
5300       ----       3'0B     ----      ----       3'0     +'4                    2'4          26         102
5400       ----       2'3B     ----      ----       2'4     +'3                    2'1           6        4036
