date,S_up_gamma,S_up_gamma_5,S_down_gamma,S_down_gamma_5,S_up_diff_5,S_down_diff_5
2016-12-09,12311.893929826776,19198.677611260653,18872.408818343476,34702.29318887916,6886.783681433877,15829.884370535681
2016-12-12,12696.788548295595,18295.51149072697,19034.055468112387,36921.907599325095,5598.7229424313755,17887.85213121271
2016-12-13,12644.683848726749,20024.93117922954,17429.278587737364,36155.1734918279,7380.2473305027925,18725.89490409054
2016-12-14,12281.723496958708,20401.605587699727,18244.755041377157,36323.38879159373,8119.882090741019,18078.633750216573
2016-12-15,12585.810540675673,21207.027677043712,15861.55325182434,31770.884652841705,8621.217136368039,15909.331401017365
2016-12-16,13809.73395753274,22569.550099599663,22271.78424748178,42239.23263555895,8759.816142066922,19967.448388077166
2016-12-19,13614.909520753095,21496.215639115093,22042.784715415637,43748.30353922963,7881.3061183619975,21705.518823813993
2016-12-20,14869.942560229469,25812.630488296203,19454.881576720574,37746.986042391676,10942.687928066734,18292.104465671102
2016-12-21,14444.566760117814,27675.506996585016,17842.044841370735,32555.898308393567,13230.940236467202,14713.853467022833
2016-12-22,13843.923142607928,25078.796787850257,16916.357838112228,32940.11569287471,11234.873645242329,16023.75785476248
2016-12-26,14802.591180675585,21819.09148756439,10830.101214035303,17881.967661039118,7016.500306888805,7051.866447003815
2016-12-27,10173.378153824244,15270.4629972486,10250.774314519218,14653.56056942206,5097.084843424356,4402.786254902841
2016-12-28,13570.430045568128,19464.210170106406,14818.153496792836,23403.627576046063,5893.780124538278,8585.474079253227
2016-12-29,13201.745812144854,19774.075535686,13337.083184672978,20936.758624209826,6572.329723541145,7599.675439536848
2017-01-02,15750.141029581,22312.992139606555,13451.37116388515,20432.662213094136,6562.851110025555,6981.291049208987
2017-01-03,12054.172461432217,16833.155478849993,9922.952366913603,14338.400079899086,4778.983017417775,4415.447712985482
2017-01-04,16457.78850382732,24685.186560958377,13263.885351081675,19348.449627027563,8227.398057131057,6084.564275945888
2017-01-05,14106.000994006119,20907.872060421836,15661.237692115563,24698.60891020619,6801.871066415717,9037.371218090626
2017-01-06,15807.124008892208,23095.5433195221,15975.32856526744,25157.48718808315,7288.4193106298935,9182.158622815708
2017-01-09,17515.56339715022,26911.816169447848,12101.430349277098,19261.016647547385,9396.252772297627,7159.586298270287
2017-01-10,14352.345849706224,22230.03133509056,16052.62591332073,25075.001812761348,7877.685485384336,9022.375899440618
2017-01-11,13866.438333772101,21072.711489266625,16459.24968148922,27482.388080441506,7206.273155494524,11023.138398952287
2017-01-12,15289.439396185418,24965.727812193007,17244.967997707216,28016.453558355297,9676.288416007588,10771.485560648081
2017-01-16,11816.176246176592,19670.0962678711,19874.05243080725,38393.23956686745,7853.920021694508,18519.1871360602
2017-01-17,12255.124461852083,17550.77815868293,20195.801662939983,31823.064664484475,5295.6536968308465,11627.263001544492
2017-01-18,14812.611057862212,19575.762428673264,21743.94474814543,42376.453643263296,4763.151370811052,20632.508895117866
2017-01-19,12827.574936274747,17728.478130687465,21660.730201122642,40739.60225494661,4900.903194412718,19078.872053823965
2017-01-20,14653.012387768164,19850.33543775723,21582.293874111012,40844.980706300135,5197.323049989065,19262.686832189123
2017-01-23,13538.067134428895,19199.108549408695,22165.948208677895,41578.9508804813,5661.0414149798,19413.002671803406
2017-01-24,14334.892886332986,21328.29991337403,20106.292887222364,37560.91854288253,6993.407027041045,17454.625655660166
2017-01-25,12860.101155799197,19857.515020950468,19597.9443953486,38103.29108680136,6997.413865151271,18505.346691452756
2017-01-26,13189.720844466625,20927.993776185063,18783.463119048418,36709.735635353274,7738.2729317184385,17926.272516304856
2017-01-27,13942.969280611818,22061.197564267353,20457.776977422174,35329.98905848952,8118.228283655535,14872.212081067344
2017-01-30,14447.284944471376,22004.876294050886,22108.332292590283,36407.41542060944,7557.59134957951,14299.083128019156
2017-01-31,15689.139282102873,25382.9513705526,14062.700667908968,23235.40198233481,9693.812088449728,9172.701314425842
2017-02-01,13300.010451406146,22936.23798581812,13260.334215916577,22408.451487160673,9636.227534411973,9148.117271244097
2017-02-02,12623.168692353978,20605.15601648704,19965.65668561391,31844.26208824477,7981.987324133061,11878.60540263086
2017-02-03,12890.527422091227,20772.518577730814,19787.027634012276,32694.12829241168,7881.991155639587,12907.100658399402
2017-02-06,14431.849443684576,24880.315510251156,20379.616481935656,32987.96415028934,10448.46606656658,12608.347668353686
2017-02-07,12574.350868174834,20948.21219330113,20308.696931907652,34702.09177180743,8373.861325126296,14393.394839899775
2017-02-08,14170.292358229695,22074.56303046125,18918.111703244747,35217.499856609415,7904.270672231554,16299.388153364667
2017-02-09,12622.087938909573,19581.806452368488,25678.78332793583,45059.69631045588,6959.7185134589145,19380.91298252005
2017-02-10,12718.404147194626,20356.675585499986,23223.255552612838,40883.08661892998,7638.271438305361,17659.83106631714
2017-02-13,11643.152600725285,18294.86356226521,23354.972298037996,44306.49546948206,6651.710961539926,20951.523171444067
2017-02-14,10692.619372222698,18104.818039640457,19823.67325935177,39271.12318672443,7412.198667417759,19447.449927372658
2017-02-15,11879.938396058278,21700.632108358528,14193.609047439035,30492.525525433095,9820.69371230025,16298.91647799406
2017-02-16,11910.715608598008,18817.34810626762,19364.860299546694,41283.77643973599,6906.6324976696105,21918.9161401893
2017-02-20,16824.85888230988,27586.54935347399,16994.95026510696,35749.441909322864,10761.690471164111,18754.491644215905
2017-02-21,14829.338128245457,26321.954658704595,15053.913720206489,28993.450466264738,11492.616530459138,13939.53674605825
2017-02-22,16386.100866015666,32152.103516896965,18008.679543173763,29235.88246741853,15766.002650881299,11227.202924244768
2017-02-23,18028.842379754053,32339.630381710016,16101.66316191312,26545.44083150279,14310.788001955963,10443.77766958967
2017-02-24,17796.94056165658,31724.60613878349,13048.31398940544,19996.648035573115,13927.66557712691,6948.334046167674
2017-02-28,16693.973054088543,24698.60448420525,13540.610972990955,20497.698109391917,8004.631430116708,6957.087136400962
2017-03-01,16023.177343818807,22712.019265065865,17194.85472245366,25729.75705187006,6688.841921247058,8534.9023294164
2017-03-02,14788.725596359942,19912.194610686016,19355.667653748784,30435.056210272553,5123.469014326074,11079.388556523769
2017-03-03,15466.501135544206,22635.904376152077,16231.344642855123,25648.159545273524,7169.403240607871,9416.8149024184
2017-03-06,15638.691889544796,23037.496765516335,17430.338268709555,27627.552092967915,7398.804875971538,10197.21382425836
2017-03-07,15866.867483113041,23816.04270593299,17338.957426328663,27774.89590340363,7949.1752228199475,10435.938477074968
2017-03-08,17827.32518961363,27285.999602678145,14363.985648692797,22283.505059345902,9458.674413064513,7919.519410653105
2017-03-09,19941.086880017527,30039.186305072875,15755.031830894504,24125.496081047422,10098.099425055349,8370.464250152918
2017-03-10,17929.107798781788,30189.936543637723,13350.061646718686,20872.432353333163,12260.828744855935,7522.370706614476
2017-03-13,17226.033602093947,28499.714441574368,13133.125955503354,19778.59652622479,11273.680839480421,6645.470570721434
2017-03-14,16511.915964127908,28095.541177756088,13284.515459947268,20173.8807538976,11583.62521362818,6889.365293950332
2017-03-15,16809.642374304967,29965.96464386588,10288.784946400156,16640.091786809622,13156.322269560911,6351.3068404094665
2017-03-16,16362.163863120682,29628.52556269744,10184.553956948443,16361.647446991274,13266.361699576757,6177.093490042831
2017-03-17,17332.401365362362,29483.48174433923,10331.546217376655,17637.377255493888,12151.080378976869,7305.831038117232
2017-03-20,17090.016190924518,29927.357815903186,10665.863456502646,18011.38622855537,12837.341624978668,7345.522772052724
2017-03-21,17047.993263094868,28137.724225198843,11367.728081683494,18945.18044676864,11089.730962103975,7577.452365085148
2017-03-22,16443.005350799132,27624.273543824096,10852.37890608655,18665.361578454023,11181.268193024964,7812.982672367474
2017-03-23,15677.57883841716,26179.153853334115,11570.913261664406,19378.194468396374,10501.575014916956,7807.281206731968
2017-03-24,16416.704774238977,25993.509628729294,10712.171203699694,17559.357452026255,9576.804854490318,6847.186248326561
2017-03-27,16921.533889901733,28104.45192415011,12554.763981277107,17963.595379818762,11182.918034248378,5408.831398541655
2017-03-28,15439.494396410524,26463.53015713039,9639.537369936974,14978.000350125161,11024.035760719866,5338.462980188187
2017-03-29,16416.541256002984,27434.17981320399,10734.937628434987,16524.822218397596,11017.638557201008,5789.8845899626085
2017-03-30,16830.174984217803,28877.429711555553,12037.62347019021,18141.391769408474,12047.25472733775,6103.768299218264
2017-03-31,18610.096436179625,31611.86419819082,9628.455090659962,15227.973292155826,13001.767762011194,5599.518201495865
2017-04-03,15840.340788335408,31161.393000304844,7850.380708213915,12141.49843450959,15321.052211969436,4291.117726295676
2017-04-04,14253.439261706782,29755.965524214822,7648.652019684538,11811.71597084121,15502.52626250804,4163.0639511566715
2017-04-05,13204.426900354296,28241.86933747397,8045.680182464492,12587.10357348739,15037.442437119675,4541.423391022898
2017-04-06,15022.415590262963,29565.05374175099,9487.33852743402,14826.262040644075,14542.638151488029,5338.923513210055
2017-04-07,13560.372277408293,28680.546609442117,7576.283085376058,12749.370462978035,15120.174332033825,5173.087377601977
2017-04-10,14141.140191755881,29184.03681427118,7628.687993827414,12844.764684923925,15042.8966225153,5216.07669109651
2017-04-11,13966.945520656634,29191.986311139506,7964.671889836981,13578.945033839791,15225.040790482872,5614.27314400281
2017-04-12,12898.936887403826,28547.379482746503,9283.27974337857,16191.12053463193,15648.442595342676,6907.8407912533585
2017-04-14,12952.073709764576,27540.70755244157,9781.058003952327,18239.539322517303,14588.633842676994,8458.481318564976
