date,W_up_gamma,W_up_gamma_5,W_down_gamma,W_down_gamma_5,W_up_diff_5,W_down_diff_5
2017-07-25,11543.865777584182,15633.042800918573,11932.518360887667,17112.82396617721,4089.1770233343905,5180.305605289543
2017-07-26,11207.975446236514,15818.07175032265,8667.849203138641,13001.55331468494,4610.096304086135,4333.704111546298
2017-07-28,12606.289323140683,17118.872676246705,9161.732223390012,13321.28481359697,4512.583353106022,4159.5525902069585
2017-07-31,12769.575915864905,17143.29724759011,9322.897136333486,13213.65668049799,4373.721331725206,3890.7595441645044
2017-08-01,11280.668160238965,15918.884026964859,9099.872148693805,12965.896109159825,4638.215866725894,3866.02396046602
2017-08-03,12239.294166712743,18000.921729438825,6359.188942046577,9275.335391997889,5761.627562726082,2916.146449951312
2017-08-04,12359.867760751335,18167.341089900165,6681.870965321046,9351.04427493236,5807.47332914883,2669.173309611313
2017-08-07,9857.911032510063,15139.196422000394,6855.107858084766,9367.659052103254,5281.285389490331,2512.551194018488
2017-08-08,9178.177944586281,14098.524745610686,8129.113520627324,12454.883405764867,4920.346801024405,4325.7698851375435
2017-08-09,9807.17064108251,14934.849081049884,7112.907120598097,10511.825056493912,5127.678439967374,3398.9179358958145
2017-08-10,9040.390535645503,14224.229344922496,6623.984700079967,10762.556119320605,5183.838809276993,4138.571419240638
2017-08-11,9419.052184791695,17569.665073910634,3653.6255445926754,6143.433895580258,8150.612889118938,2489.8083509875823
2017-08-18,10197.213704831809,17124.352647626874,3154.8269216906356,4462.482243166429,6927.138942795065,1307.6553214757932
2017-08-21,10304.745584580221,17079.709465179472,3553.5833526199626,5321.547258850814,6774.963880599251,1767.963906230851
2017-08-22,10268.942019330985,17114.66033991849,2530.307640454544,3775.6773821881816,6845.718320587504,1245.3697417336375
2017-08-23,8696.410101863057,14221.1453183578,1992.0634333595729,2868.398707342257,5524.735216494742,876.3352739826839
2017-08-24,9140.044911750618,13672.79906920995,1955.7569397821503,2885.9549990220416,4532.754157459332,930.1980592398913
2017-08-25,11062.651312602096,14106.172626023112,3066.0102192938516,4230.90616814057,3043.5213134210153,1164.8959488467185
2017-08-28,11044.48843677476,14159.547399760482,2911.530809760108,4145.422693439882,3115.0589629857222,1233.8918836797743
2017-08-30,10123.480845493386,13699.52873313326,2918.405656379377,4128.211089583502,3576.047887639874,1209.8054332041252
2017-08-31,10792.067620358528,14629.773338750812,2760.1296080087545,4017.7384131448953,3837.7057183922843,1257.6088051361407
2017-09-05,7998.5347001398,9764.953597534808,2542.671464079492,3384.092543920632,1766.4188973950077,841.42107984114
2017-09-07,11707.713206564766,14946.27002065235,4029.252380834829,7008.40573033129,3238.556814087584,2979.153349496461
2017-09-11,10373.817486296872,13808.694380247853,3661.663890316144,6060.504202100078,3434.876893950981,2398.8403117839343
2017-09-13,11914.747506509275,16692.05780639545,4913.205621105236,8200.816316314189,4777.310299886174,3287.610695208953
2017-09-14,12375.053323982911,17193.48588946323,4736.922362001437,8157.026383814599,4818.43256548032,3420.104021813162
2017-09-15,10953.188634507249,15433.51277734592,4507.250351470592,7867.7380705875485,4480.324142838672,3360.487719116956
2017-09-20,15234.414314550864,21385.760060225064,6882.837422795189,9473.38087206117,6151.3457456742,2590.5434492659815
2017-09-21,12364.516726321308,17535.97842538339,7063.245398837047,11034.542004973882,5171.461699062082,3971.296606136835
2017-09-28,12499.801698903671,16285.127796686711,7056.17314442311,12460.374063844323,3785.3260977830396,5404.200919421213
2017-10-02,16107.652119973245,22240.15601535029,8227.602880393471,12598.464899374627,6132.503895377045,4370.862018981155
2017-10-06,12417.670399831162,19488.769585312137,3329.496016297733,5672.184575481042,7071.0991854809745,2342.688559183309
2017-10-10,13066.130010035977,21433.55128296119,3940.9016552494027,6777.653297083763,8367.421272925214,2836.7516418343607
