,0,ret_5
2018-11-21 09:14:00-06:00,"b'Great new book out, \\u201cMad Politics: Keeping Your Sanity in a World Gone Crazy\\u201d by @RealDrGina Loudon. Go out and get\\u2026 https://t.co/yWaBUwHob1'",-0.0029007205015439317
2017-10-19 20:44:00-05:00,"b'Keep up the GREAT work. I am with you 100%!\\n\\n""ISIS is losing its grip...""\\nArmy Colonel Ryan Dillon\\nCJTF\\u2013OIR\\u2026 https://t.co/EXqgvquLiK'",-0.0028929604628736743
2019-09-03 09:29:00-05:00,"b'Based on the IG Report, the whole Witch Hunt against me and my administration was a giant and illegal SCAM. The Hou\\u2026 https://t.co/X5kECFVV86'",-0.002847036493831421
2018-10-25 13:32:00-05:00,"b'To those in the Caravan, turnaround, we are not letting people into the United States illegally. Go back to your Co\\u2026 https://t.co/Er8gCUfVYU'",-0.00284064876752497
2019-08-28 08:37:00-05:00,"b'Would be very hard for Jeremy Corbyn, the leader of Britain\\u2019s Labour Party, to seek a no-confidence vote against Ne\\u2026 https://t.co/zG5Il2b27p'",-0.0027981811822315496
2019-08-26 04:31:00-05:00,b'Great respect for the fact that President Xi &amp; his Representatives want \\u201ccalm resolution.\\u201d So impressed that they a\\u2026 https://t.co/omV7rMfrkO',-0.0027794666898288893
2019-02-07 09:21:00-06:00,b'2019 National Prayer Breakfast https://t.co/cKvv3ygOOt',-0.0027568461679838264
2018-06-27 14:14:00-05:00,b'Statement on Justice Anthony Kennedy. #SCOTUS https://t.co/8aWJ6fWemA',-0.002751031636863824
2019-08-14 12:15:00-05:00,b'The Great Charles Payne @cvpayne correctly stated that Fed Chair Jay Powell made TWO enormous mistakes. 1. When he\\u2026 https://t.co/6moIF2h3pv',-0.002718106093818501
2019-01-09 13:32:00-06:00,"b""Thank you to all of America's brave police, deputies, sheriffs, and federal law enforcement on National Law Enforce\\u2026 https://t.co/MUgdVhnjb8""",-0.002699315530704714
2018-04-02 10:42:00-05:00,b'An honor to host the Annual @WhiteHouse Easter Egg Roll! https://t.co/bOMJRK8FyK',-0.002694898941289702
